object_label,seed,epoch,train_loss,val_loss
ft_transformer_ae,101,1.0,0.7412768542766571,0.7021600919961929
ft_transformer_ae,101,2.0,0.6823552864789962,0.6622222089767456
ft_transformer_ae,101,3.0,0.6424163955450058,0.6060125708580018
ft_transformer_ae,101,4.0,0.6109191864728928,0.5468160003423691
ft_transformer_ae,101,5.0,0.5677872925996781,0.5104089456796647
ft_transformer_ae,101,6.0,0.5097973889112473,0.44558275789022445
ft_transformer_ae,101,7.0,0.43971466049551966,0.4112044459581375
ft_transformer_ae,101,8.0,0.3936873965710401,0.3758903670310974
ft_transformer_ae,101,9.0,0.34761892318725585,0.36315000176429746
ft_transformer_ae,101,10.0,0.26452974826097486,0.31519031777977946
ft_transformer_ae,101,11.0,0.18628756538033486,0.2780756971240044
ft_transformer_ae,101,12.0,0.164849206879735,0.28347118824720385
