holdout,seed,seed_group,top_k,rank,feature_index,feature_name,selection_score,effect_vs_ood_val,effect_vs_id_calib,support_q25_minus_ood_val_q99,selection_uses_attack_eval,selection_uses_final_ood_eval
chrono_late_train_early_eval,42,main_42_46,16,1,53,HH_jit_3_weight,3.054764747619629,-1.5442801713943481,-3.0209693908691406,-1.218343734741211,False,False
chrono_late_train_early_eval,42,main_42_46,16,2,121,source_rich_121,2.9322643280029297,0.8515468239784241,4.161435127258301,-6.0,False,False
chrono_late_train_early_eval,42,main_42_46,16,3,40,HH_0.1_magnitude_0_1,2.883831024169922,-1.2726813554763794,-3.222299575805664,-1.461845874786377,False,False
chrono_late_train_early_eval,42,main_42_46,16,4,120,source_rich_120,2.543567180633545,-1.179239273071289,-2.728656053543091,-4.281541347503662,False,False
chrono_late_train_early_eval,42,main_42_46,16,5,237,source_rich_237,2.50892972946167,1.4219024181365967,-2.1740546226501465,-5.818262577056885,False,False
chrono_late_train_early_eval,42,main_42_46,16,6,42,HH_0.1_pcc_0_1,2.1615443229675293,-0.761322557926178,-2.800443649291992,-4.418095111846924,False,False
chrono_late_train_early_eval,42,main_42_46,16,7,235,source_rich_235,2.011093854904175,-0.6533216238021851,-2.7155444622039795,-1.4770903587341309,False,False
chrono_late_train_early_eval,42,main_42_46,16,8,122,source_rich_122,1.753692626953125,-0.11571601033210754,3.2759532928466797,-5.999999046325684,False,False
chrono_late_train_early_eval,42,main_42_46,16,9,151,source_rich_151,1.7004036903381348,-1.5038241147994995,0.39315927028656006,-1.0211853981018066,False,False
chrono_late_train_early_eval,42,main_42_46,16,10,224,source_rich_224,1.6462348699569702,0.9679588675498962,-1.356552004814148,-5.9994611740112305,False,False
chrono_late_train_early_eval,42,main_42_46,16,11,77,HpHp_3_covariance_0_1,1.6050329208374023,-1.4918949604034424,-0.22627584636211395,-3.9999988079071045,False,False
chrono_late_train_early_eval,42,main_42_46,16,12,164,source_rich_164,1.5956931114196777,-1.2931019067764282,0.6051824688911438,-0.7939368486404419,False,False
chrono_late_train_early_eval,42,main_42_46,16,13,182,source_rich_182,1.576901912689209,1.2616422176361084,-0.6288140416145325,0.017054319381713867,False,False
chrono_late_train_early_eval,42,main_42_46,16,14,27,HH_3_covariance_0_1,1.5615642070770264,-0.7987898588180542,-1.5255488157272339,-1.5352377891540527,False,False
chrono_late_train_early_eval,42,main_42_46,16,15,52,HH_jit_5_std,1.5250442028045654,1.3481041193008423,-0.35388028621673584,-0.11421346664428711,False,False
chrono_late_train_early_eval,42,main_42_46,16,16,223,source_rich_223,1.4733631610870361,0.980997622013092,-0.9847310781478882,-5.95198392868042,False,False
chrono_late_train_early_eval,42,main_42_46,32,1,53,HH_jit_3_weight,3.054764747619629,-1.5442801713943481,-3.0209693908691406,-1.218343734741211,False,False
chrono_late_train_early_eval,42,main_42_46,32,2,121,source_rich_121,2.9322643280029297,0.8515468239784241,4.161435127258301,-6.0,False,False
chrono_late_train_early_eval,42,main_42_46,32,3,40,HH_0.1_magnitude_0_1,2.883831024169922,-1.2726813554763794,-3.222299575805664,-1.461845874786377,False,False
chrono_late_train_early_eval,42,main_42_46,32,4,120,source_rich_120,2.543567180633545,-1.179239273071289,-2.728656053543091,-4.281541347503662,False,False
