holdout,top_k,feature_index,feature_name,selection_count,mean_rank,mean_score
chrono_late_train_early_eval,16,53,HH_jit_3_weight,10,1.0,3.054764747619629
chrono_late_train_early_eval,16,121,source_rich_121,10,2.0,2.9322643280029297
chrono_late_train_early_eval,16,40,HH_0.1_magnitude_0_1,10,3.0,2.883831024169922
chrono_late_train_early_eval,16,120,source_rich_120,10,4.0,2.543567180633545
chrono_late_train_early_eval,16,237,source_rich_237,10,5.0,2.50892972946167
chrono_late_train_early_eval,16,42,HH_0.1_pcc_0_1,10,6.0,2.1615443229675293
chrono_late_train_early_eval,16,235,source_rich_235,10,7.0,2.011093854904175
chrono_late_train_early_eval,16,122,source_rich_122,10,8.0,1.753692626953125
chrono_late_train_early_eval,16,151,source_rich_151,10,9.0,1.7004036903381348
chrono_late_train_early_eval,16,224,source_rich_224,10,10.0,1.6462348699569702
chrono_late_train_early_eval,16,77,HpHp_3_covariance_0_1,10,11.0,1.6050329208374023
chrono_late_train_early_eval,16,164,source_rich_164,10,12.0,1.5956931114196777
chrono_late_train_early_eval,16,182,source_rich_182,10,13.0,1.576901912689209
chrono_late_train_early_eval,16,27,HH_3_covariance_0_1,10,14.0,1.5615642070770264
chrono_late_train_early_eval,16,52,HH_jit_5_std,10,15.0,1.5250442028045654
chrono_late_train_early_eval,16,223,source_rich_223,10,16.0,1.4733631610870361
chrono_late_train_early_eval,32,53,HH_jit_3_weight,10,1.0,3.054764747619629
chrono_late_train_early_eval,32,121,source_rich_121,10,2.0,2.9322643280029297
chrono_late_train_early_eval,32,40,HH_0.1_magnitude_0_1,10,3.0,2.883831024169922
chrono_late_train_early_eval,32,120,source_rich_120,10,4.0,2.543567180633545
chrono_late_train_early_eval,32,237,source_rich_237,10,5.0,2.50892972946167
chrono_late_train_early_eval,32,42,HH_0.1_pcc_0_1,10,6.0,2.1615443229675293
chrono_late_train_early_eval,32,235,source_rich_235,10,7.0,2.011093854904175
chrono_late_train_early_eval,32,122,source_rich_122,10,8.0,1.753692626953125
chrono_late_train_early_eval,32,151,source_rich_151,10,9.0,1.7004036903381348
chrono_late_train_early_eval,32,224,source_rich_224,10,10.0,1.6462348699569702
chrono_late_train_early_eval,32,77,HpHp_3_covariance_0_1,10,11.0,1.6050329208374023
chrono_late_train_early_eval,32,164,source_rich_164,10,12.0,1.5956931114196777
chrono_late_train_early_eval,32,182,source_rich_182,10,13.0,1.576901912689209
chrono_late_train_early_eval,32,27,HH_3_covariance_0_1,10,14.0,1.5615642070770264
chrono_late_train_early_eval,32,52,HH_jit_5_std,10,15.0,1.5250442028045654
chrono_late_train_early_eval,32,223,source_rich_223,10,16.0,1.4733631610870361
chrono_late_train_early_eval,32,8,MI_dir_1_std,10,17.0,1.451149344444275
chrono_late_train_early_eval,32,125,source_rich_125,10,18.0,1.4144818782806396
chrono_late_train_early_eval,32,251,source_rich_251,10,19.0,1.3911943435668945
chrono_late_train_early_eval,32,236,source_rich_236,10,20.0,1.380800485610962
chrono_late_train_early_eval,32,234,source_rich_234,10,21.0,1.3746860027313232
