holdout,method,method_group,seed,seed_group,support_method,representation,adapter,positive_budget,ood_target_label,attack_high_detection,ood_high_alarm,feasible,threshold,roc_auc,pr_auc,attack_eval_size,ood_eval_size,feature_dim,selected_feature_count,margin_weight,hard_negative_count,parameter_count,train_time,inference_time,result_source
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,42,main_42_46,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,43,main_42_46,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,44,main_42_46,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,45,main_42_46,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,46,main_42_46,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,47,heldout_47_51,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,48,heldout_47_51,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,49,heldout_47_51,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,50,heldout_47_51,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,A_baseline,51,heldout_47_51,kcenter_32shot,original100,fixed_guard_lr,32,1pct,0.3264094955489614,0.0011,True,-3.126371385544741,0.3912014094955489,0.4045698979159527,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,42,main_42_46,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.4124629080118694,0.0006,True,-4.493964740794713,0.4713884272997032,0.4894496027323633,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,43,main_42_46,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.4525222551928783,0.003,True,-4.020133028854047,0.5392678041543026,0.4927025210236981,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,44,main_42_46,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.2596439169139466,0.0014,True,-3.559022389761504,0.3424800445103857,0.3361755748014875,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
holdout_bin_2,baseline_original100_random32_fixed_guard,A_baseline,45,main_42_46,random_32shot_baseline,original100,fixed_guard_lr,32,1pct,0.2329376854599406,0.0014,True,-3.481806003392498,0.319538649851632,0.3000940031545849,1348,10000,100,0,,0,101,,,reused_issue18_row_level_diagnostic
