holdout,method,seed_group,method_group,representation,adapter,n_seeds,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,ood_high_alarm_mean,ood_high_alarm_max,feasible_rate,roc_auc_mean,pr_auc_mean,threshold_mean,feature_dim,selected_feature_count,margin_weight,hard_negative_count,parameter_count,train_time_mean,inference_time_mean,baseline_detection_mean,baseline_ood_alarm_mean,baseline_feasible_rate,delta_detection_vs_kcenter_original100,delta_ood_alarm_vs_kcenter_original100
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,heldout_47_51,A_baseline,original100,fixed_guard_lr,5,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,0.3912014094955489,0.40456989791595277,-3.126371385544741,100,0,,0,101,,,0.3264094955489614,0.0011,1.0,0.0,0.0
holdout_bin_2,baseline_original100_random32_fixed_guard,heldout_47_51,A_baseline,original100,fixed_guard_lr,5,0.222700296735905,0.02075428492806378,0.1995548961424332,0.2477744807121661,0.00148,0.0018,1.0,0.2938357418397626,0.2874527532384549,-3.476912792399278,100,0,,0,101,,,0.3264094955489614,0.0011,1.0,-0.10370919881305643,0.0003799999999999999
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,heldout_47_51,B_representation_repair,original100_plus_selected_source_rich_top16,fixed_guard_lr,5,0.3775964391691395,0.0,0.3775964391691395,0.3775964391691395,0.0008,0.0008,1.0,0.4320060089020772,0.4546790682635596,-3.2305800795207773,116,16,,0,117,1.159585259994492,0.041244799923151734,0.3264094955489614,0.0011,1.0,0.05118694362017806,-0.00030000000000000003
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,heldout_47_51,B_representation_repair,original100_plus_selected_source_rich_top32,fixed_guard_lr,5,0.40281899109792285,0.0,0.40281899109792285,0.40281899109792285,0.0021,0.0021,1.0,0.45309621661721067,0.4754687407299799,-4.246583352643144,132,32,,0,133,1.4459658200852572,0.04659191993996501,0.3264094955489614,0.0011,1.0,0.07640949554896143,0.0009999999999999998
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,heldout_47_51,B_representation_repair,selected_source_rich_top16,fixed_guard_lr,5,0.6172106824925816,0.0,0.6172106824925816,0.6172106824925816,0.0031,0.0031,1.0,0.9001278931750744,0.751913278526875,2.1805875526183174,16,16,,0,17,0.11669855997897685,0.005945180030539632,0.3264094955489614,0.0011,1.0,0.29080118694362017,0.002
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,heldout_47_51,B_representation_repair,selected_source_rich_top32,fixed_guard_lr,5,0.8093471810089021,0.0,0.8093471810089021,0.8093471810089021,0.006799999999999999,0.0068,1.0,0.9406764094955488,0.8874848250315692,-1.9876145615455427,32,32,,0,33,0.26492498004809023,0.012719859974458814,0.3264094955489614,0.0011,1.0,0.4829376854599407,0.0056999999999999985
holdout_bin_2,baseline_original100_kcenter32_fixed_guard,main_42_46,A_baseline,original100,fixed_guard_lr,5,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,0.3912014094955489,0.40456989791595277,-3.126371385544741,100,0,,0,101,,,0.3264094955489614,0.0011,1.0,0.0,0.0
holdout_bin_2,baseline_original100_random32_fixed_guard,main_42_46,A_baseline,original100,fixed_guard_lr,5,0.32121661721068245,0.10300091808966884,0.2329376854599406,0.4525222551928783,0.0015400000000000001,0.003,1.0,0.4011678783382789,0.38782756669170343,-3.8304524225214047,100,0,,0,101,,,0.3264094955489614,0.0011,1.0,-0.005192878338278972,0.00044000000000000007
holdout_bin_2,original100_plus_selected_source_rich_top16_fixed_guard_lr,main_42_46,B_representation_repair,original100_plus_selected_source_rich_top16,fixed_guard_lr,5,0.3775964391691395,0.0,0.3775964391691395,0.3775964391691395,0.0008,0.0008,1.0,0.4320060089020772,0.4546790682635596,-3.2305800795207773,116,16,,0,117,1.1737876600585877,0.04467678000219166,0.3264094955489614,0.0011,1.0,0.05118694362017806,-0.00030000000000000003
holdout_bin_2,original100_plus_selected_source_rich_top32_fixed_guard_lr,main_42_46,B_representation_repair,original100_plus_selected_source_rich_top32,fixed_guard_lr,5,0.40281899109792285,0.0,0.40281899109792285,0.40281899109792285,0.0021,0.0021,1.0,0.45309621661721067,0.4754687407299799,-4.246583352643144,132,32,,0,133,1.4622776999138296,0.04918569996953011,0.3264094955489614,0.0011,1.0,0.07640949554896143,0.0009999999999999998
holdout_bin_2,selected_source_rich_top16_fixed_guard_lr,main_42_46,B_representation_repair,selected_source_rich_top16,fixed_guard_lr,5,0.6172106824925816,0.0,0.6172106824925816,0.6172106824925816,0.0031,0.0031,1.0,0.9001278931750744,0.751913278526875,2.1805875526183174,16,16,,0,17,0.12077462002635002,0.006431959988549352,0.3264094955489614,0.0011,1.0,0.29080118694362017,0.002
holdout_bin_2,selected_source_rich_top32_fixed_guard_lr,main_42_46,B_representation_repair,selected_source_rich_top32,fixed_guard_lr,5,0.8093471810089021,0.0,0.8093471810089021,0.8093471810089021,0.006799999999999999,0.0068,1.0,0.9406764094955488,0.8874848250315692,-1.9876145615455427,32,32,,0,33,0.25568856005556884,0.011243180092424154,0.3264094955489614,0.0011,1.0,0.4829376854599407,0.0056999999999999985
