device_key,arm,budget_type,budget,calibration_sessions,calibration_records,q_raw,requested_delta,accepted_delta,threshold,status
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,Q-R500,RECORD,500,261,300,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,Q-R1000,RECORD,1000,261,300,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,Q-S64,SESSION,64,64,74,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,Q-S128,SESSION,128,128,149,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,Q-S256,SESSION,256,256,293,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,Q-R100,RECORD,100,85,100,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,Q-R500,RECORD,500,260,298,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,Q-R1000,RECORD,1000,260,298,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
