budget,support_train_target,support_val_target,budget_scope,not_per_attack_type,candidate_pool_rows
32,24,8,global_total_attack_samples,true,89900
64,48,16,global_total_attack_samples,true,89900
128,96,32,global_total_attack_samples,true,89900
256,192,64,global_total_attack_samples,true,89900
