seed,feature_set,model_kind,attack_q,risk_threshold,strong_attack_q,d_attack_thr,attack_threshold,strong_attack_threshold,dev_attack_min,dev_ood_max,dev_review_max,report_attack_min,final_ood_max,feasible_1pct,feasible_5pct,selection_uses_final_ood,selection_uses_report_only_attack,dev_score
42,current_evidence,logreg_balanced,0.99,0.5,0.75,1.0,0.017358185254647752,0.9999977712350456,0.96875,0.37964912280701757,0.0,nan,nan,False,False,False,False,0.39927631578947365
42,current_evidence,logreg_balanced,0.99,0.5,0.75,1.25,0.017358185254647752,0.9999977712350456,0.96875,0.37964912280701757,0.0,nan,nan,False,False,False,False,0.39927631578947365
42,current_evidence,logreg_balanced,0.99,0.7,0.75,1.0,0.017358185254647752,0.9999977712350456,1.0,0.39789473684210525,0.0,nan,nan,False,False,False,False,0.40315789473684216
42,current_evidence,logreg_balanced,0.99,0.7,0.75,1.25,0.017358185254647752,0.9999977712350456,1.0,0.39789473684210525,0.0,nan,nan,False,False,False,False,0.40315789473684216
42,current_evidence,logreg_balanced,0.99,0.9,0.75,1.0,0.017358185254647752,0.9999977712350456,1.0,0.4336842105263158,0.0,nan,nan,False,False,False,False,0.3494736842105264
42,current_evidence,logreg_balanced,0.99,0.9,0.75,1.25,0.017358185254647752,0.9999977712350456,1.0,0.4336842105263158,0.0,nan,nan,False,False,False,False,0.3494736842105264
42,current_evidence,logreg_balanced,0.995,0.5,0.75,1.0,0.021750430708124796,0.9999977712350456,0.96875,0.37964912280701757,0.0,nan,nan,False,False,False,False,0.39927631578947365
42,current_evidence,logreg_balanced,0.995,0.5,0.75,1.25,0.021750430708124796,0.9999977712350456,0.96875,0.37964912280701757,0.0,nan,nan,False,False,False,False,0.39927631578947365
42,current_evidence,logreg_balanced,0.995,0.7,0.75,1.0,0.021750430708124796,0.9999977712350456,1.0,0.39789473684210525,0.0,nan,nan,False,False,False,False,0.40315789473684216
42,current_evidence,logreg_balanced,0.995,0.7,0.75,1.25,0.021750430708124796,0.9999977712350456,1.0,0.39789473684210525,0.0,nan,nan,False,False,False,False,0.40315789473684216
42,current_evidence,logreg_balanced,0.995,0.9,0.75,1.0,0.021750430708124796,0.9999977712350456,1.0,0.4336842105263158,0.0,nan,nan,False,False,False,False,0.3494736842105264
42,current_evidence,logreg_balanced,0.995,0.9,0.75,1.25,0.021750430708124796,0.9999977712350456,1.0,0.4336842105263158,0.0,nan,nan,False,False,False,False,0.3494736842105264
42,current_evidence,histgb_shallow,0.99,0.5,0.75,1.0,0.113699272280086,0.9853149088967149,1.0,0.0013333333333333333,0.0,nan,nan,True,True,False,False,0.998
42,current_evidence,histgb_shallow,0.99,0.5,0.75,1.25,0.113699272280086,0.9853149088967149,1.0,0.0013333333333333333,0.0,nan,nan,True,True,False,False,0.998
42,current_evidence,histgb_shallow,0.99,0.7,0.75,1.0,0.113699272280086,0.9853149088967149,1.0,0.0026666666666666666,0.0,nan,nan,True,True,False,False,0.996
42,current_evidence,histgb_shallow,0.99,0.7,0.75,1.25,0.113699272280086,0.9853149088967149,1.0,0.0026666666666666666,0.0,nan,nan,True,True,False,False,0.996
42,current_evidence,histgb_shallow,0.99,0.9,0.75,1.0,0.113699272280086,0.9853149088967149,1.0,0.01,0.0,nan,nan,True,True,False,False,0.985
