seed,role,phase,role_type,is_report_only,rows
42,dev_future_far,fit,dev_attack,False,169
42,dev_future_far,select,dev_attack,False,170
42,dev_future_mid,fit,dev_attack,False,169
42,dev_future_mid,select,dev_attack,False,170
42,dev_future_near,fit,dev_attack,False,173
42,dev_future_near,select,dev_attack,False,173
42,final_ood_report_only,report_only,report_only_benign_ood,True,3000
42,id_calib,fit,dev_benign_ood,False,300
42,id_calib,select,dev_benign_ood,False,300
42,ood_stress_val,fit,dev_benign_ood,False,1425
42,ood_stress_val,select,dev_benign_ood,False,1425
42,ood_val,fit,dev_benign_ood,False,750
42,ood_val,select,dev_benign_ood,False,750
42,sealed_dev_heavy_query_report_only,report_only,report_only_attack,True,4000
42,sealed_heavy_future_far,report_only,report_only_attack,True,1332
42,sealed_heavy_future_mid,report_only,report_only_attack,True,1332
42,sealed_heavy_future_near,report_only,report_only_attack,True,1336
42,sealed_medium_attack_eval_report_only,report_only,report_only_attack,True,2250
42,support_val,fit,dev_attack,False,32
42,support_val,select,dev_attack,False,32
43,dev_future_far,fit,dev_attack,False,169
43,dev_future_far,select,dev_attack,False,170
43,dev_future_mid,fit,dev_attack,False,169
43,dev_future_mid,select,dev_attack,False,170
43,dev_future_near,fit,dev_attack,False,173
43,dev_future_near,select,dev_attack,False,173
43,final_ood_report_only,report_only,report_only_benign_ood,True,3000
43,id_calib,fit,dev_benign_ood,False,300
43,id_calib,select,dev_benign_ood,False,300
43,ood_stress_val,fit,dev_benign_ood,False,1425
43,ood_stress_val,select,dev_benign_ood,False,1425
43,ood_val,fit,dev_benign_ood,False,750
43,ood_val,select,dev_benign_ood,False,750
43,sealed_dev_heavy_query_report_only,report_only,report_only_attack,True,4000
43,sealed_heavy_future_far,report_only,report_only_attack,True,1332
43,sealed_heavy_future_mid,report_only,report_only_attack,True,1332
43,sealed_heavy_future_near,report_only,report_only_attack,True,1336
43,sealed_medium_attack_eval_report_only,report_only,report_only_attack,True,2250
43,support_val,fit,dev_attack,False,32
43,support_val,select,dev_attack,False,32
44,dev_future_far,fit,dev_attack,False,169
44,dev_future_far,select,dev_attack,False,170
44,dev_future_mid,fit,dev_attack,False,169
44,dev_future_mid,select,dev_attack,False,170
44,dev_future_near,fit,dev_attack,False,173
44,dev_future_near,select,dev_attack,False,173
44,final_ood_report_only,report_only,report_only_benign_ood,True,3000
44,id_calib,fit,dev_benign_ood,False,300
44,id_calib,select,dev_benign_ood,False,300
44,ood_stress_val,fit,dev_benign_ood,False,1425
44,ood_stress_val,select,dev_benign_ood,False,1425
44,ood_val,fit,dev_benign_ood,False,750
44,ood_val,select,dev_benign_ood,False,750
44,sealed_dev_heavy_query_report_only,report_only,report_only_attack,True,4000
44,sealed_heavy_future_far,report_only,report_only_attack,True,1332
44,sealed_heavy_future_mid,report_only,report_only_attack,True,1332
44,sealed_heavy_future_near,report_only,report_only_attack,True,1336
44,sealed_medium_attack_eval_report_only,report_only,report_only_attack,True,2250
44,support_val,fit,dev_attack,False,32
44,support_val,select,dev_attack,False,32
45,dev_future_far,fit,dev_attack,False,169
45,dev_future_far,select,dev_attack,False,170
45,dev_future_mid,fit,dev_attack,False,169
45,dev_future_mid,select,dev_attack,False,170
45,dev_future_near,fit,dev_attack,False,173
45,dev_future_near,select,dev_attack,False,173
45,final_ood_report_only,report_only,report_only_benign_ood,True,3000
45,id_calib,fit,dev_benign_ood,False,300
45,id_calib,select,dev_benign_ood,False,300
45,ood_stress_val,fit,dev_benign_ood,False,1425
45,ood_stress_val,select,dev_benign_ood,False,1425
45,ood_val,fit,dev_benign_ood,False,750
45,ood_val,select,dev_benign_ood,False,750
45,sealed_dev_heavy_query_report_only,report_only,report_only_attack,True,4000
45,sealed_heavy_future_far,report_only,report_only_attack,True,1332
45,sealed_heavy_future_mid,report_only,report_only_attack,True,1332
45,sealed_heavy_future_near,report_only,report_only_attack,True,1336
45,sealed_medium_attack_eval_report_only,report_only,report_only_attack,True,2250
45,support_val,fit,dev_attack,False,32
45,support_val,select,dev_attack,False,32
46,dev_future_far,fit,dev_attack,False,169
46,dev_future_far,select,dev_attack,False,170
46,dev_future_mid,fit,dev_attack,False,169
46,dev_future_mid,select,dev_attack,False,170
46,dev_future_near,fit,dev_attack,False,173
46,dev_future_near,select,dev_attack,False,173
46,final_ood_report_only,report_only,report_only_benign_ood,True,3000
46,id_calib,fit,dev_benign_ood,False,300
46,id_calib,select,dev_benign_ood,False,300
46,ood_stress_val,fit,dev_benign_ood,False,1425
46,ood_stress_val,select,dev_benign_ood,False,1425
46,ood_val,fit,dev_benign_ood,False,750
46,ood_val,select,dev_benign_ood,False,750
46,sealed_dev_heavy_query_report_only,report_only,report_only_attack,True,4000
46,sealed_heavy_future_far,report_only,report_only_attack,True,1332
46,sealed_heavy_future_mid,report_only,report_only_attack,True,1332
46,sealed_heavy_future_near,report_only,report_only_attack,True,1336
46,sealed_medium_attack_eval_report_only,report_only,report_only_attack,True,2250
46,support_val,fit,dev_attack,False,32
46,support_val,select,dev_attack,False,32
