feature_index,feature_name,family,lambda,stat_type,restoration_source,model_input_status
0,MI_dir_5_weight,MI_dir,5,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
1,MI_dir_5_mean,MI_dir,5,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
2,MI_dir_5_std,MI_dir,5,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
3,MI_dir_3_weight,MI_dir,3,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
4,MI_dir_3_mean,MI_dir,3,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
5,MI_dir_3_std,MI_dir,3,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
6,MI_dir_1_weight,MI_dir,1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
7,MI_dir_1_mean,MI_dir,1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
8,MI_dir_1_std,MI_dir,1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
9,MI_dir_0.1_weight,MI_dir,0.1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
10,MI_dir_0.1_mean,MI_dir,0.1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
11,MI_dir_0.1_std,MI_dir,0.1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
12,MI_dir_0.01_weight,MI_dir,0.01,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
13,MI_dir_0.01_mean,MI_dir,0.01,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
14,MI_dir_0.01_std,MI_dir,0.01,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
15,H_5_weight,H,5,weight,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
16,H_5_mean,H,5,mean,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
17,H_5_std,H,5,std,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
18,H_3_weight,H,3,weight,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
19,H_3_mean,H,3,mean,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
20,H_3_std,H,3,std,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
21,H_1_weight,H,1,weight,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
22,H_1_mean,H,1,mean,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
23,H_1_std,H,1,std,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
24,H_0.1_weight,H,0.1,weight,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
25,H_0.1_mean,H,0.1,mean,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
26,H_0.1_std,H,0.1,std,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
27,H_0.01_weight,H,0.01,weight,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
28,H_0.01_mean,H,0.01,mean,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
29,H_0.01_std,H,0.01,std,H family restored from commented Host BW block in repo/kitsune_frontend_original/netStat.py,allowed_candidate_kitsune_statistical_feature
30,HH_5_weight_0,HH,5,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
31,HH_5_mean_0,HH,5,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
32,HH_5_std_0,HH,5,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
33,HH_5_radius_0_1,HH,5,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
34,HH_5_magnitude_0_1,HH,5,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
35,HH_5_covariance_0_1,HH,5,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
36,HH_5_pcc_0_1,HH,5,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
37,HH_3_weight_0,HH,3,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
38,HH_3_mean_0,HH,3,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
39,HH_3_std_0,HH,3,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
40,HH_3_radius_0_1,HH,3,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
41,HH_3_magnitude_0_1,HH,3,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
42,HH_3_covariance_0_1,HH,3,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
43,HH_3_pcc_0_1,HH,3,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
44,HH_1_weight_0,HH,1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
45,HH_1_mean_0,HH,1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
46,HH_1_std_0,HH,1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
47,HH_1_radius_0_1,HH,1,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
48,HH_1_magnitude_0_1,HH,1,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
49,HH_1_covariance_0_1,HH,1,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
50,HH_1_pcc_0_1,HH,1,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
51,HH_0.1_weight_0,HH,0.1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
52,HH_0.1_mean_0,HH,0.1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
53,HH_0.1_std_0,HH,0.1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
54,HH_0.1_radius_0_1,HH,0.1,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
55,HH_0.1_magnitude_0_1,HH,0.1,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
56,HH_0.1_covariance_0_1,HH,0.1,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
57,HH_0.1_pcc_0_1,HH,0.1,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
58,HH_0.01_weight_0,HH,0.01,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
59,HH_0.01_mean_0,HH,0.01,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
60,HH_0.01_std_0,HH,0.01,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
61,HH_0.01_radius_0_1,HH,0.01,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
62,HH_0.01_magnitude_0_1,HH,0.01,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
63,HH_0.01_covariance_0_1,HH,0.01,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
64,HH_0.01_pcc_0_1,HH,0.01,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
65,HH_jit_5_weight,HH_jit,5,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
66,HH_jit_5_mean,HH_jit,5,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
67,HH_jit_5_std,HH_jit,5,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
68,HH_jit_3_weight,HH_jit,3,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
69,HH_jit_3_mean,HH_jit,3,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
70,HH_jit_3_std,HH_jit,3,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
71,HH_jit_1_weight,HH_jit,1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
72,HH_jit_1_mean,HH_jit,1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
73,HH_jit_1_std,HH_jit,1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
74,HH_jit_0.1_weight,HH_jit,0.1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
75,HH_jit_0.1_mean,HH_jit,0.1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
76,HH_jit_0.1_std,HH_jit,0.1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
77,HH_jit_0.01_weight,HH_jit,0.01,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
78,HH_jit_0.01_mean,HH_jit,0.01,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
79,HH_jit_0.01_std,HH_jit,0.01,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
80,HpHp_5_weight_0,HpHp,5,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
81,HpHp_5_mean_0,HpHp,5,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
82,HpHp_5_std_0,HpHp,5,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
83,HpHp_5_radius_0_1,HpHp,5,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
84,HpHp_5_magnitude_0_1,HpHp,5,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
85,HpHp_5_covariance_0_1,HpHp,5,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
86,HpHp_5_pcc_0_1,HpHp,5,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
87,HpHp_3_weight_0,HpHp,3,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
88,HpHp_3_mean_0,HpHp,3,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
89,HpHp_3_std_0,HpHp,3,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
90,HpHp_3_radius_0_1,HpHp,3,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
91,HpHp_3_magnitude_0_1,HpHp,3,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
92,HpHp_3_covariance_0_1,HpHp,3,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
93,HpHp_3_pcc_0_1,HpHp,3,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
94,HpHp_1_weight_0,HpHp,1,weight,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
95,HpHp_1_mean_0,HpHp,1,mean,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
96,HpHp_1_std_0,HpHp,1,std,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
97,HpHp_1_radius_0_1,HpHp,1,radius,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
98,HpHp_1_magnitude_0_1,HpHp,1,magnitude,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
99,HpHp_1_covariance_0_1,HpHp,1,covariance,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
100,HpHp_1_pcc_0_1,HpHp,1,pcc,active Kitsune/AfterImage/netStat logic,allowed_candidate_kitsune_statistical_feature
