seed_group,method,representation,guard_type,input_mode,positive_budget,ood_negative_weight,threshold_policy,n_seeds,auc_mean,auc_std,auc_min,auc_max,pr_auc_mean,pr_auc_min,pr_auc_max,ood_alarm_mean,ood_alarm_std,ood_alarm_min,ood_alarm_max,attack_detection_mean,attack_detection_std,attack_detection_min,attack_detection_max,feasible_rate,parameter_count_mean,feature_dim
heldout_support_47_51,original100_fixed_guard_lr,original100,fixed_ood_weight_2,original100_flat100,16,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9978783854545454,0.0042339108611969,0.9903111272727272,1.0,0.9942075369776534,0.9787756191301468,1.0,0.00184,0.00128569047597,0.0001,0.0034,0.9847272727272728,0.0306232774857123,0.9301818181818182,1.0,1.0,101.0,100
heldout_support_47_51,original100_plain_lr,original100,plain,original100_flat100,16,1.0,guarded_id_calib_and_ood_val_target1pct,5,0.9977116363636362,0.0044836809376241,0.9897035636363636,1.0,0.9935437223775756,0.9762828964455382,1.0,0.0032199999999999,0.0018886503117305,0.0011,0.0053,0.9842909090909092,0.0304352992102349,0.9301818181818182,1.0,1.0,101.0,100
heldout_support_47_51,original100_plus_source_rich_fixed_guard_lr,original100_plus_source_rich,fixed_ood_weight_2,original100_flat100_plus_source_rich_v1_flat260,16,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.994854138181818,0.003300346568969,0.9896328727272728,0.9977330181818184,0.938207856774408,0.9231764686443727,0.9676664355877136,0.00634,0.0052946199108151,0.0035,0.0157,0.984,0.0182326561988679,0.9585454545454546,1.0,0.8,361.0,360
heldout_support_47_51,source_rich_fixed_guard_lr,source_rich,fixed_ood_weight_2,source_rich_v1_flat260,16,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9750715636363636,0.0159736287954204,0.955134909090909,0.9903197818181816,0.959449393278128,0.928839168452578,0.9811000435208546,0.004,0.0023664319132398,0.0021,0.0075,0.9178181818181818,0.0294612786916787,0.8821818181818182,0.9476363636363636,1.0,261.0,260
heldout_support_47_51,original100_fixed_guard_lr,original100,fixed_ood_weight_2,original100_flat100,32,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9993423418181818,0.0009020407693045,0.9977702545454546,0.9999885818181818,0.997931200945432,0.993996775219698,0.999916689046239,0.00442,0.0024066574330386,0.0019,0.0083,0.9922909090909092,0.0073917532784127,0.984,1.0,1.0,101.0,100
heldout_support_47_51,original100_plain_lr,original100,plain,original100_flat100,32,1.0,guarded_id_calib_and_ood_val_target1pct,5,0.9992620072727274,0.0008650916039586,0.9977874181818182,0.9999826909090908,0.9976093081340398,0.9935961178454032,0.9998736465225656,0.0065599999999999,0.0035927705186944,0.0029,0.0123,0.9931636363636364,0.0062477764639751,0.9861818181818182,1.0,0.8,101.0,100
heldout_support_47_51,original100_plus_source_rich_fixed_guard_lr,original100_plus_source_rich,fixed_ood_weight_2,original100_flat100_plus_source_rich_v1_flat260,32,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9970104436363636,0.0005817035832594,0.996279709090909,0.9978561454545454,0.9503379581940962,0.9261219627525512,0.9906259225068534,0.00548,0.0019305439647933,0.0031,0.0082,0.9854545454545456,0.0108726664638007,0.9723636363636364,0.9970909090909092,1.0,361.0,360
heldout_support_47_51,source_rich_fixed_guard_lr,source_rich,fixed_ood_weight_2,source_rich_v1_flat260,32,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.978686530909091,0.0093099893058535,0.9632253090909092,0.9876609454545456,0.965346543927198,0.9438430687806112,0.9773584218264004,0.00486,0.0026244999523718,0.002,0.008,0.9393454545454546,0.0169596507058994,0.9185454545454546,0.9636363636363636,1.0,261.0,260
main_paired_42_46,original100_fixed_guard_lr,original100,fixed_ood_weight_2,original100_flat100,16,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.991033498181818,0.0175942147054016,0.9596634909090908,0.9999817454545454,0.9735903910391552,0.9262582608449088,0.9998874325833326,0.00276,0.0022489997776789,0.0003,0.005,0.9649454545454546,0.0444273759695212,0.9090909090909092,0.9992727272727272,1.0,101.0,100
main_paired_42_46,original100_plain_lr,original100,plain,original100_flat100,16,1.0,guarded_id_calib_and_ood_val_target1pct,5,0.9906719854545454,0.0183142066275455,0.9580066909090909,0.9999739636363636,0.972164496004719,0.9252338147123658,0.9998032396304756,0.0044399999999999,0.003286791748803,0.0012,0.0092,0.9675636363636364,0.0418501063912468,0.9141818181818182,0.9992727272727272,1.0,101.0,100
main_paired_42_46,original100_plus_source_rich_fixed_guard_lr,original100_plus_source_rich,fixed_ood_weight_2,original100_flat100_plus_source_rich_v1_flat260,16,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9927130909090908,0.005259795971281,0.9867648727272726,0.9997698181818182,0.9648852858471878,0.9258793379009728,0.9979481156074392,0.00632,0.00259268200904,0.0037,0.0097,0.9677090909090909,0.0112033052974011,0.9607272727272728,0.9876363636363636,1.0,361.0,360
main_paired_42_46,source_rich_fixed_guard_lr,source_rich,fixed_ood_weight_2,source_rich_v1_flat260,16,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9799557672727272,0.0098109303022076,0.9661980363636364,0.9931735272727272,0.9710647571556434,0.9522598477016097,0.9859462718548556,0.0033,0.0013729530217745,0.0019,0.005,0.9463272727272728,0.0119988980210271,0.9265454545454546,0.9563636363636364,1.0,261.0,260
main_paired_42_46,original100_fixed_guard_lr,original100,fixed_ood_weight_2,original100_flat100,32,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9855351563636364,0.0116716283575158,0.9684222545454544,0.999908290909091,0.9479684110983612,0.9112726547439188,0.9991918543277424,0.0043,0.0014265342617687,0.0021,0.0058,0.9381818181818182,0.0353008322894882,0.9112727272727272,1.0,1.0,101.0,100
main_paired_42_46,original100_plain_lr,original100,plain,original100_flat100,32,1.0,guarded_id_calib_and_ood_val_target1pct,5,0.984615229090909,0.0118015325342499,0.9676323636363636,0.9999097454545456,0.9419452465753853,0.908972178694016,0.999205533678095,0.00652,0.0024631280924872,0.0036,0.0098,0.9406545454545456,0.0330553255233486,0.9207272727272728,0.9992727272727272,1.0,101.0,100
main_paired_42_46,original100_plus_source_rich_fixed_guard_lr,original100_plus_source_rich,fixed_ood_weight_2,original100_flat100_plus_source_rich_v1_flat260,32,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9899280145454544,0.0046083684662141,0.985965018181818,0.9972953454545456,0.9550016247898444,0.9277973297551528,0.9826284359159148,0.00548,0.0013065221008463,0.0039,0.0075,0.9700363636363636,0.0135612476570752,0.962181818181818,0.9941818181818182,1.0,361.0,360
main_paired_42_46,source_rich_fixed_guard_lr,source_rich,fixed_ood_weight_2,source_rich_v1_flat260,32,2.0,guarded_id_calib_and_ood_val_target1pct,5,0.9797227345454548,0.0077563625995992,0.9707568,0.9915334545454544,0.972122998301382,0.9625167832573336,0.9803487889836098,0.00422,0.0014906374475371,0.0032,0.0068,0.9575272727272728,0.0081733289292138,0.9432727272727272,0.9636363636363636,1.0,261.0,260
