method,representation,guard_type,input_mode,positive_budget,seed,seed_group,ood_negative_weight,threshold_policy,threshold,id_calib_alarm_at_selection,ood_val_alarm_at_selection,threshold_selection_feasible,roc_auc,pr_auc,final_ood_alarm,attack_detection,feasible,attack_eval_size,final_ood_eval_size,hidden_dim,pooling_type,checkpoint_id,train_time_seconds,inference_time_seconds,parameter_count,feature_dim
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,43,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,0.2725544215243763,0.0008,0.0095,True,0.6041485090909091,0.5331866744994487,0.0163,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04015640006400645,0.0035626001190394163,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,44,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,1.465350874754255,0.0,0.01,True,0.6000863999999999,0.518907549614353,0.008,0.42472727272727273,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04985739989206195,0.0031701999250799417,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,45,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,0.20809372698484066,0.0002,0.01,True,0.6072003636363636,0.5362089316619569,0.0165,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.044125699903815985,0.0035480998922139406,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,46,main_paired_42_46,1.0,guarded_id_calib_and_ood_val_target1pct,0.029553861824832835,0.0002,0.01,True,0.6060188363636364,0.5353601782451328,0.0165,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04653139994479716,0.0033239000476896763,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,47,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,0.04632637681158332,0.0002,0.01,True,0.6066730909090909,0.5360138560474682,0.0165,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04491310007870197,0.0037724000867456198,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,48,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,1.450938934670451,0.0008,0.0095,True,0.5952073454545455,0.5089453968723985,0.0093,0.4334545454545455,True,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.04965860000811517,0.0032741001341491938,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,49,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,0.33046155727102167,0.0002,0.01,True,0.6081555636363636,0.5368405954633209,0.0165,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.03925970010459423,0.0033267000690102577,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,50,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,1.7692902193317332,0.0002,0.01,True,0.5977703272727273,0.5209574724546397,0.0126,0.4516363636363636,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.046327099902555346,0.002967699896544218,17,16
transformer_hidden_plain_lr,transformer_hidden,plain,transformer_outputlayer_meanpooled_hidden16,32,51,heldout_support_47_51,1.0,guarded_id_calib_and_ood_val_target1pct,0.036409648078683285,0.0002,0.01,True,0.6142186181818182,0.540719704541516,0.0165,0.5047272727272727,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.046345500042662024,0.0029396999161690474,17,16
transformer_hidden_fixed_guard_lr,transformer_hidden,fixed_ood_weight_2,transformer_outputlayer_meanpooled_hidden16,16,42,main_paired_42_46,2.0,guarded_id_calib_and_ood_val_target1pct,-0.18443457393903387,0.0002,0.01,True,0.6069277090909091,0.5354983536778088,0.0164,0.5054545454545455,False,1375,10000,16,outputLayer_transformer_mean_pool,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_tailreg_stage1_2026-03-27\transformer_seed42\kitnet_transformer_seed42.ckpt,0.039728299947455525,0.0029984000138938427,17,16
