seed_group,positive_budget,method,baseline_method,method_detection_mean,baseline_detection_mean,detection_delta,method_ood_alarm_mean,baseline_ood_alarm_mean,ood_alarm_delta,method_ood_alarm_max,baseline_ood_alarm_max,method_feasible_rate,baseline_feasible_rate,feasible_delta
heldout_support_47_51,16,original100_plus_transformer_hidden_fixed_guard_lr,original100_plain_lr,0.981090909090909,0.9842909090909092,-0.0032000000000002027,0.0032800000000000004,0.0032199999999999,6.000000000010034e-05,0.0085,0.0053,1.0,1.0,0.0
heldout_support_47_51,16,original100_plus_transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.981090909090909,0.9847272727272728,-0.003636363636363771,0.0032800000000000004,0.00184,0.0014400000000000003,0.0085,0.0034,1.0,1.0,0.0
heldout_support_47_51,16,original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.981090909090909,0.984,-0.0029090909090909722,0.0032800000000000004,0.00634,-0.00306,0.0085,0.0157,1.0,0.8,0.19999999999999996
heldout_support_47_51,16,transformer_hidden_fixed_guard_lr,original100_plain_lr,0.5051636363636364,0.9842909090909092,-0.47912727272727285,0.01618,0.0032199999999999,0.0129600000000001,0.0165,0.0053,0.0,1.0,-1.0
heldout_support_47_51,16,transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.5051636363636364,0.9847272727272728,-0.4795636363636364,0.01618,0.00184,0.01434,0.0165,0.0034,0.0,1.0,-1.0
heldout_support_47_51,16,transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.5051636363636364,0.984,-0.4788363636363636,0.01618,0.00634,0.00984,0.0165,0.0157,0.0,0.8,-0.8
heldout_support_47_51,16,transformer_hidden_plain_lr,original100_plain_lr,0.5029818181818182,0.9842909090909092,-0.481309090909091,0.01592,0.0032199999999999,0.0127000000000001,0.0166,0.0053,0.0,1.0,-1.0
heldout_support_47_51,16,transformer_hidden_plain_lr,original100_fixed_guard_lr,0.5029818181818182,0.9847272727272728,-0.4817454545454546,0.01592,0.00184,0.01408,0.0166,0.0034,0.0,1.0,-1.0
heldout_support_47_51,16,transformer_hidden_plain_lr,original100_plus_source_rich_fixed_guard_lr,0.5029818181818182,0.984,-0.4810181818181818,0.01592,0.00634,0.00958,0.0166,0.0157,0.0,0.8,-0.8
heldout_support_47_51,32,original100_plus_transformer_hidden_fixed_guard_lr,original100_plain_lr,0.9917090909090909,0.9931636363636364,-0.0014545454545454861,0.00398,0.0065599999999999,-0.0025799999999999,0.009,0.0123,1.0,0.8,0.19999999999999996
heldout_support_47_51,32,original100_plus_transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.9917090909090909,0.9922909090909092,-0.0005818181818183499,0.00398,0.00442,-0.0004400000000000003,0.009,0.0083,1.0,1.0,0.0
heldout_support_47_51,32,original100_plus_transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.9917090909090909,0.9854545454545456,0.0062545454545452905,0.00398,0.00548,-0.0014999999999999996,0.009,0.0082,1.0,1.0,0.0
heldout_support_47_51,32,transformer_hidden_fixed_guard_lr,original100_plain_lr,0.47941818181818185,0.9931636363636364,-0.5137454545454545,0.01394,0.0065599999999999,0.007380000000000099,0.0169,0.0123,0.2,0.8,-0.6000000000000001
heldout_support_47_51,32,transformer_hidden_fixed_guard_lr,original100_fixed_guard_lr,0.47941818181818185,0.9922909090909092,-0.5128727272727274,0.01394,0.00442,0.009519999999999999,0.0169,0.0083,0.2,1.0,-0.8
heldout_support_47_51,32,transformer_hidden_fixed_guard_lr,original100_plus_source_rich_fixed_guard_lr,0.47941818181818185,0.9854545454545456,-0.5060363636363637,0.01394,0.00548,0.008459999999999999,0.0169,0.0082,0.2,1.0,-0.8
heldout_support_47_51,32,transformer_hidden_plain_lr,original100_plain_lr,0.48014545454545454,0.9931636363636364,-0.5130181818181818,0.014280000000000001,0.0065599999999999,0.007720000000000101,0.0165,0.0123,0.2,0.8,-0.6000000000000001
