role,report_only,used_to_modify_train_or_threshold_or_support,verdict,onset_aligned_only,pre_onset_rows_used_as_attack
final_ood_benign_eval,True,False,pass,,
attack_eval,True,False,pass,,
attack_support,,,pass,True,False
