candidate,held_value,role,episodes,hard_alarm_rate,mean_attack_score,threshold,review_rate,report_only
episode_pool_histgb,iotsim-stream-consumer,ood_val,0,,,0.00046229479586674526,0.0,False
episode_pool_histgb,iotsim-stream-consumer,ood_stress,28,0.8571428571428571,0.33222322554029243,0.00046229479586674526,0.0,False
episode_pool_histgb,iotsim-stream-consumer,future_query,0,,,0.00046229479586674526,0.0,True
episode_pool_histgb,iotsim-stream-consumer,sealed_final_ood,0,,,0.00046229479586674526,0.0,True
episode_pool_histgb,iotsim-stream-consumer,sealed_final_attack,0,,,0.00046229479586674526,0.0,True
episode_pool_mlp,iotsim-stream-consumer,ood_val,0,,,0.001908561447635293,0.0,False
episode_pool_mlp,iotsim-stream-consumer,ood_stress,28,0.5714285714285714,0.3463793694972992,0.001908561447635293,0.0,False
episode_pool_mlp,iotsim-stream-consumer,future_query,0,,,0.001908561447635293,0.0,True
episode_pool_mlp,iotsim-stream-consumer,sealed_final_ood,0,,,0.001908561447635293,0.0,True
episode_pool_mlp,iotsim-stream-consumer,sealed_final_attack,0,,,0.001908561447635293,0.0,True
episode_pool_histgb,iotsim-hydraulic-system,ood_val,1425,0.018245614035087718,0.00028095642008157403,0.0018373758432623567,0.0,False
episode_pool_histgb,iotsim-hydraulic-system,ood_stress,0,,,0.0018373758432623567,0.0,False
episode_pool_histgb,iotsim-hydraulic-system,future_query,0,,,0.0018373758432623567,0.0,True
episode_pool_histgb,iotsim-hydraulic-system,sealed_final_ood,0,,,0.0018373758432623567,0.0,True
episode_pool_histgb,iotsim-hydraulic-system,sealed_final_attack,0,,,0.0018373758432623567,0.0,True
episode_pool_mlp,iotsim-hydraulic-system,ood_val,1425,0.05403508771929825,0.0006360987899824977,0.0018263510428369045,0.0,False
episode_pool_mlp,iotsim-hydraulic-system,ood_stress,0,,,0.0018263510428369045,0.0,False
episode_pool_mlp,iotsim-hydraulic-system,future_query,0,,,0.0018263510428369045,0.0,True
episode_pool_mlp,iotsim-hydraulic-system,sealed_final_ood,0,,,0.0018263510428369045,0.0,True
episode_pool_mlp,iotsim-hydraulic-system,sealed_final_attack,0,,,0.0018263510428369045,0.0,True
episode_pool_histgb,domotic-monitor,ood_val,0,,,0.0007847129765087981,0.0,False
episode_pool_histgb,domotic-monitor,ood_stress,0,,,0.0007847129765087981,0.0,False
episode_pool_histgb,domotic-monitor,future_query,66,0.8939393939393939,0.06641514419862926,0.0007847129765087981,0.0,True
episode_pool_histgb,domotic-monitor,sealed_final_ood,0,,,0.0007847129765087981,0.0,True
episode_pool_histgb,domotic-monitor,sealed_final_attack,0,,,0.0007847129765087981,0.0,True
episode_pool_mlp,domotic-monitor,ood_val,0,,,0.0015333034098148346,0.0,False
episode_pool_mlp,domotic-monitor,ood_stress,0,,,0.0015333034098148346,0.0,False
episode_pool_mlp,domotic-monitor,future_query,66,0.9393939393939394,0.4931706488132477,0.0015333034098148346,0.0,True
episode_pool_mlp,domotic-monitor,sealed_final_ood,0,,,0.0015333034098148346,0.0,True
episode_pool_mlp,domotic-monitor,sealed_final_attack,0,,,0.0015333034098148346,0.0,True
episode_pool_histgb,combined-cycle,ood_val,0,,,0.0003440232156399872,0.0,False
episode_pool_histgb,combined-cycle,ood_stress,0,,,0.0003440232156399872,0.0,False
episode_pool_histgb,combined-cycle,future_query,55,0.01818181818181818,4.892244945772896e-05,0.0003440232156399872,0.0,True
episode_pool_histgb,combined-cycle,sealed_final_ood,0,,,0.0003440232156399872,0.0,True
episode_pool_histgb,combined-cycle,sealed_final_attack,0,,,0.0003440232156399872,0.0,True
episode_pool_mlp,combined-cycle,ood_val,0,,,0.00135282042901963,0.0,False
episode_pool_mlp,combined-cycle,ood_stress,0,,,0.00135282042901963,0.0,False
episode_pool_mlp,combined-cycle,future_query,55,0.6,0.002027000766247511,0.00135282042901963,0.0,True
episode_pool_mlp,combined-cycle,sealed_final_ood,0,,,0.00135282042901963,0.0,True
episode_pool_mlp,combined-cycle,sealed_final_attack,0,,,0.00135282042901963,0.0,True
episode_pool_histgb,iotsim-ip-camera-street,ood_val,0,,,0.0007847129765087981,0.0,False
episode_pool_histgb,iotsim-ip-camera-street,ood_stress,0,,,0.0007847129765087981,0.0,False
episode_pool_histgb,iotsim-ip-camera-street,future_query,0,,,0.0007847129765087981,0.0,True
episode_pool_histgb,iotsim-ip-camera-street,sealed_final_ood,22,0.09090909090909091,0.0005562876843868611,0.0007847129765087981,0.0,True
episode_pool_histgb,iotsim-ip-camera-street,sealed_final_attack,0,,,0.0007847129765087981,0.0,True
episode_pool_mlp,iotsim-ip-camera-street,ood_val,0,,,0.0015333034098148346,0.0,False
episode_pool_mlp,iotsim-ip-camera-street,ood_stress,0,,,0.0015333034098148346,0.0,False
episode_pool_mlp,iotsim-ip-camera-street,future_query,0,,,0.0015333034098148346,0.0,True
episode_pool_mlp,iotsim-ip-camera-street,sealed_final_ood,22,0.0,0.00041279831202700734,0.0015333034098148346,0.0,True
episode_pool_mlp,iotsim-ip-camera-street,sealed_final_attack,0,,,0.0015333034098148346,0.0,True
