strategy,method_name,final_eval_used_for_fit,final_eval_used_for_threshold,final_eval_used_for_selection,attack_eval_used_for_fit,attack_eval_used_for_threshold,attack_eval_used_for_selection,verdict
reset_at_split_boundary,Raw_LR_IDThreshold_diagnostic,False,False,False,False,False,False,pass
reset_at_split_boundary,LR_ThresholdOnly_OODVal_diagnostic,False,False,False,False,False,False,pass
reset_at_split_boundary,LOW_GUARD_LR_Shell_dry_run,False,False,False,False,False,False,pass
reset_at_split_boundary,HistGB_Guarded_dry_run,False,False,False,False,False,False,pass
reset_at_split_boundary,DeepSADStyle_Lite_dry_run,False,False,False,False,False,False,pass
reset_at_split_boundary,IsolationForest_IDOnly_diagnostic,False,False,False,False,False,False,pass
train_state_then_eval_online,Raw_LR_IDThreshold_diagnostic,False,False,False,False,False,False,pass
train_state_then_eval_online,LR_ThresholdOnly_OODVal_diagnostic,False,False,False,False,False,False,pass
train_state_then_eval_online,LOW_GUARD_LR_Shell_dry_run,False,False,False,False,False,False,pass
train_state_then_eval_online,HistGB_Guarded_dry_run,False,False,False,False,False,False,pass
train_state_then_eval_online,DeepSADStyle_Lite_dry_run,False,False,False,False,False,False,pass
train_state_then_eval_online,IsolationForest_IDOnly_diagnostic,False,False,False,False,False,False,pass
