role,shell_scheme,rows,core_rate,near_rate,uncertain_rate,out_of_region_rate
support_val_true_region,tight,127,0.4645669291338583,0.29133858267716534,0.15748031496062992,0.08661417322834646
support_val_true_region,medium,127,0.7480314960629921,0.16535433070866143,0.047244094488188976,0.03937007874015748
support_val_true_region,wide,127,0.8976377952755905,0.06299212598425197,0.015748031496062992,0.023622047244094488
ood_benign_val,tight,24000,0.6386666666666667,0.21204166666666666,0.022416666666666668,0.126875
ood_benign_val,medium,24000,0.8507083333333333,0.022416666666666668,0.024958333333333332,0.10191666666666667
ood_benign_val,wide,24000,0.8824583333333333,0.015625,0.0006666666666666666,0.10125
ood_benign_stress,tight,230000,0.8131565217391304,0.14130434782608695,0.011134782608695652,0.03440434782608696
ood_benign_stress,medium,230000,0.9566608695652173,0.008934782608695652,0.0065,0.027904347826086955
ood_benign_stress,wide,230000,0.9664695652173914,0.005626086956521739,0.0013565217391304349,0.026547826086956522
dev_future_attack_query_exact,medium,378145,0.5368073093654551,0.06567850956643616,0.02288540110275159,0.3746287799653572
dev_future_attack_query_exact,tight,378145,0.2687434714196935,0.2676962540824287,0.066046093429769,0.3975141810681088
dev_future_attack_query_exact,wide,378145,0.600298827169472,0.025072392865170767,0.002652421690092425,0.37197635827526476
same_file_time_forward_dev_query_exact,medium,125679,0.3719316671838573,0.005514047692931993,0.007073576333357204,0.6154807087898535
same_file_time_forward_dev_query_exact,tight,125679,0.1774998209724775,0.19432045130849226,0.005625442595819509,0.6225542851232108
same_file_time_forward_dev_query_exact,wide,125679,0.37713540050445976,0.00738389070568671,0.00015913557555359288,0.6153215732142999
