region_id,exact_attack_label,semantic_attack_group,region_construction,metric,shell_scheme,train_rows,val_rows,provenance_source_count,train_distance_median,train_distance_q90,val_distance_median,val_distance_q90,support_val_true_region_uncertain_coverage,support_val_nearest_label_consistency,ood_val_core_intrusion_rate,ood_val_core_plus_near_intrusion_rate,region_status,status_frozen_before_stress_query
attack_region_baa4038e686a,File Download,tooling,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,15,5,1,969876789.897741,1635181949.7486184,969876789.8890308,1291278911.7719383,1.0,0.6,0.9999583333333333,0.9999583333333333,ambiguous_region,True
attack_region_98413eff6d95,Ingress Tool Transfer,tooling,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,18,5,1,7404899.0539884055,59002546.10947366,15128544.054660035,123636790.92227332,0.8,0.2,0.9670416666666667,0.9942083333333334,ambiguous_region,True
attack_region_4f662ce1d1da,Merlin C&C Communication,merlin,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,30,10,1,142085967.49082857,8364847306.179932,443571529.99480164,1227144698.8332157,1.0,0.1,0.9999583333333333,0.9999583333333333,ambiguous_region,True
attack_region_4e337f656139,Merlin ICMP Flooding,merlin,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,43,14,2,29405.233570516,30473.625868797335,21298.08794968637,34131.28226482267,0.9285714285714286,0.5714285714285714,0.004625,0.005958333333333334,ambiguous_region,True
attack_region_1e35a23f930c,Merlin TCP Flooding,merlin,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,60,20,2,161709230.93770242,886212393.230253,161533161.0519833,504226522.0402667,1.0,0.0,0.9999583333333333,0.9999583333333333,ambiguous_region,True
attack_region_5199177e241f,Merlin UDP Flooding,merlin,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,30,10,2,171213396.24999446,868320540.4794259,243499249.48481524,650638150.9155853,1.0,0.8,0.9999583333333333,0.9999583333333333,active_conflict_sensitive,True
attack_region_704820898382,Mirai C&C Communication,mirai,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,9,3,1,143319.57893111784,35894628.03145737,158415.1519334785,7196194.099009773,1.0,0.3333333333333333,0.9058333333333334,0.9077916666666667,ambiguous_region,True
attack_region_a9be197bc385,Mirai GRE Flooding,mirai,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,60,20,2,630801.7393276314,5603621.75762224,593572.2240039259,5508693.088001886,1.0,0.1,0.7909583333333333,0.8622916666666667,ambiguous_region,True
attack_region_a1eb14dc651b,Mirai TCP Flooding,mirai,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,60,20,2,844584.4947423761,7286738.192797725,927571.3796410307,8911345.005110046,0.9,0.55,0.858875,0.8736666666666667,ambiguous_region,True
attack_region_8f8a32f3c5de,Mirai UDP Flooding,mirai,one_medoid_per_exact_label_no_split,id_benign_robust_scaled_euclidean,medium,60,20,2,23361.76711260723,265146.12966580194,24307.829000559308,289102.3355494848,0.95,0.25,0.6080416666666667,0.6615416666666667,ambiguous_region,True
