feature_index,center_median,iqr,std,scale,scale_source
0,1.2313126921653748,6410.996291100979,7281.549741758017,6410.996291100979,iqr
1,75.0,98.91641235351562,56.19839997099053,98.91641235351562,iqr
2,0.6401335299015045,22.881727218620654,638.3453427364907,22.881727218620654,iqr
3,1.603405773639679,6410.98975199461,7281.549867452068,6410.98975199461,iqr
4,76.0,98.9162826538086,55.822440176823655,98.9162826538086,iqr
5,1.2036069631576538,23.014707987847032,710.7786826881055,23.014707987847032,iqr
6,3.860426664352417,6410.961731016636,7281.560025288774,6410.961731016636,iqr
7,75.14335632324219,98.91578674316406,55.088963354394515,98.91578674316406,iqr
8,15.37492322921753,87.08050027489662,709.6060135058539,87.08050027489662,iqr
9,31.78974723815918,6410.6350021362305,7282.350539014228,6410.6350021362305,iqr
10,77.21587753295898,114.49355506896973,54.24386174418112,114.49355506896973,iqr
11,49.97344970703125,720.6742557287216,490.9691832897682,720.6742557287216,iqr
12,295.7346954345703,6447.889484405518,7302.118156506294,6447.889484405518,iqr
13,90.0,109.67544746398926,53.230956620871446,109.67544746398926,iqr
14,73.35761642456055,908.7364201545715,612.4234043968268,908.7364201545715,iqr
15,1.4626128673553467,12820.50259333849,14562.881668712227,12820.50259333849,iqr
16,74.75937271118164,98.91639709472656,56.043985713176795,98.91639709472656,iqr
17,0.8028627336025238,22.914476871483203,694.7073395302109,22.914476871483203,iqr
18,2.2064056396484375,12820.507583379745,14562.883284604479,12820.507583379745,iqr
19,74.71903991699219,98.91627502441406,55.69715676170047,98.91627502441406,iqr
20,1.2109224796295166,23.027803817423546,736.7146170153233,23.027803817423546,iqr
21,6.720048666000366,12820.474498391151,14562.906624903108,12820.474498391151,iqr
22,74.5033073425293,98.91576385498047,55.04211356880281,98.91576385498047,iqr
23,17.633790969848633,100.847293458879,699.7075963444438,100.847293458879,iqr
24,62.57924461364746,12820.774338722229,14564.478104542255,12820.774338722229,iqr
25,77.72713470458984,114.52663993835449,54.23863375791632,114.52663993835449,iqr
26,52.24277877807617,721.5129299163818,490.1732169810873,721.5129299163818,iqr
27,590.4583435058594,12895.264877319336,14604.03610765159,12895.264877319336,iqr
28,90.0,109.67522811889648,53.23103159241778,109.67522811889648,iqr
29,73.55060958862305,909.0044167041779,612.4027541727908,909.0044167041779,iqr
30,2.4626128673553467,12820.50259321928,14562.881668734099,12820.50259321928,iqr
31,75.0,98.9164047241211,56.198352374671366,98.9164047241211,iqr
32,0.6401335299015045,22.881727218620654,638.3458670847526,22.881727218620654,iqr
33,15.119349479675293,76.43600150197744,806.4457949559129,76.43600150197744,iqr
34,180.0900115966797,28.13714599609375,26.814329057060686,28.13714599609375,iqr
35,-1.8507697849593722e-14,0.00013225920702097937,40.804075605352125,0.00013225920702097937,iqr
36,-1.235629931706228e-09,0.004579946165904403,0.3280739625078863,0.004579946165904403,iqr
37,3.2064056396484375,12820.507583379745,14562.883284604526,12820.507583379745,iqr
38,76.0,98.9162826538086,55.82239415487265,98.9162826538086,iqr
39,1.2037069201469421,23.014707987846123,710.7788279683593,23.014707987846123,iqr
40,22.529977798461914,340.6746863424778,887.4485511660348,340.6746863424778,iqr
41,177.7417449951172,28.13714599609375,26.175294925858346,28.13714599609375,iqr
42,-7.784103388530639e-07,0.24703740701078628,40.873496362911105,0.24703740701078628,iqr
43,-0.00044277099368628114,0.046363005237890165,571.1467813937951,0.046363005237890165,iqr
44,7.720048666000366,12820.474498391151,14562.906624902364,12820.474498391151,iqr
45,75.14335632324219,98.91577911376953,55.08891855003608,98.91577911376953,iqr
46,15.37492322921753,87.08050027489662,709.6057528404074,87.08050027489662,iqr
47,77.63795471191406,1142.4133855104446,863.8322550098965,1142.4133855104446,iqr
48,178.72235870361328,27.901397705078125,24.663316063285492,27.901397705078125,iqr
49,-0.13748152554035187,5.652803479533759,47.91462213520158,5.652803479533759,iqr
50,-0.03513146936893463,0.22610900388099253,12209.603735357457,0.22610900388099253,iqr
51,63.57924461364746,12820.774338722229,14564.47810456351,12820.774338722229,iqr
52,77.21587753295898,114.49355506896973,54.24382101601537,114.49355506896973,iqr
53,50.140045166015625,720.6714446544647,490.96806554510914,720.6714446544647,iqr
54,719.97802734375,535.5267562866211,420.7121972377075,535.5267562866211,iqr
55,192.5716323852539,26.323734283447266,22.519247285988254,26.323734283447266,iqr
56,-15.428701877593994,40.249303221702576,40.3091503788976,40.249303221702576,iqr
57,-0.2623428851366043,0.31264401972293854,0.28096572520076696,0.31264401972293854,iqr
58,591.4583435058594,12895.264877319336,14604.03610765406,12895.264877319336,iqr
59,90.0,109.67544746398926,53.230927242322885,109.67544746398926,iqr
60,73.50957870483398,908.7364201545715,612.4225048058142,908.7364201545715,iqr
61,921.4007873535156,485.4230041503906,499.2996099097608,485.4230041503906,iqr
62,188.1897430419922,26.35883331298828,19.130035650774644,26.35883331298828,iqr
63,-26.84461498260498,56.99008619785309,68.37128028333166,56.99008619785309,iqr
64,-0.3500998467206955,0.2821487858891487,0.24233955600921242,0.2821487858891487,iqr
65,1.2163647413253784,0.0158311128616333,1243.4782522857533,0.0158311128616333,iqr
66,0.4989935904741287,0.016384147107601166,68.29533242291248,0.016384147107601166,iqr
67,2.8465670766308904e-05,7.598075694659201e-05,79471.52447549983,7.598075694659201e-05,iqr
68,1.550080955028534,0.02743208408355713,1243.4803611804653,0.02743208408355713,iqr
69,0.4988749176263809,0.014278851449489594,68.29841105280481,0.014278851449489594,iqr
70,5.912827509746421e-05,0.00013684247869605315,79486.37805856616,0.00013684247869605315,iqr
71,3.4260058403015137,0.11536645889282227,1243.4976607887293,0.11536645889282227,iqr
72,0.4983690679073334,0.013869568705558777,68.30149578024104,0.013869568705558777,iqr
73,0.0001633718202356249,0.0016990974872896913,79501.32865183137,0.0016990974872896913,iqr
74,30.12003231048584,1.1562790870666504,1244.2151072619165,1.1562790870666504,iqr
75,0.4875641316175461,0.01834338903427124,68.29300524878063,0.01834338903427124,iqr
76,0.008153587579727173,0.01107372553087771,79507.9343222066,0.01107372553087771,iqr
77,264.43133544921875,99.61203002929688,1263.9201266659343,99.61203002929688,iqr
78,0.5328170955181122,0.24350741505622864,68.1246231083426,0.24350741505622864,iqr
79,1.320076048374176,6.3342777490615845,79507.7512412764,6.3342777490615845,iqr
80,1.225061297416687,6277.252428472042,7271.84033110281,6277.252428472042,iqr
81,70.0,101.66460418701172,57.18044659301797,101.66460418701172,iqr
82,3.9504675442003645e-06,21.46292018890381,348.83375237509944,21.46292018890381,iqr
83,0.10519280657172203,22.025952335447567,467.9731160414465,22.025952335447567,iqr
84,180.62967681884766,28.23956298828125,30.420612829791494,28.23956298828125,iqr
85,-1.622769791305614e-17,2.6143922582377854e-09,33.322445085892824,33.322445085892824,std_fallback
86,0.0,6.669203503406607e-05,0.20369134715824064,6.669203503406607e-05,iqr
87,1.5655981302261353,6277.256204873323,7271.848346880276,6277.256204873323,iqr
88,70.0,98.95243072509766,57.04122698526338,98.95243072509766,iqr
89,0.016769666224718094,21.68406724929082,385.0184804370911,21.68406724929082,iqr
90,0.17248203605413437,22.155099748109933,510.74607680870605,22.155099748109933,iqr
91,177.7282257080078,28.13714599609375,30.302417202683532,28.13714599609375,iqr
92,-1.2870890551269776e-11,0.003036761190742254,33.82131838071593,0.003036761190742254,iqr
93,-2.4490317400704953e-06,0.12844230234622955,0.20792284663712093,0.12844230234622955,iqr
94,3.501934051513672,6277.247569561005,7271.8963987338,6277.247569561005,iqr
95,70.0,102.27580261230469,56.70264038390696,102.27580261230469,iqr
96,0.11570540443062782,21.94472082305583,411.9029863769979,21.94472082305583,iqr
97,21.523880004882812,225.81913857720792,530.5417886673971,225.81913857720792,iqr
