seed,bank_name,active_label_budget,confirmed_attack_count,bank_train_rows,bank_total_rows,threshold_rule,threshold,id_calib_alarm,ood_val_alarm,support_val_detection,medium_attack_eval_detection_report_only,dev_heavy_query_detection_report_only,final_ood_alarm_report_only,support_val_detection_at_selection,selection_feasible,threshold_uses_final_ood,threshold_uses_attack_eval,threshold_uses_dev_query
42,base_kcenter128_only,0,0,96,128,support_val_guided_empirical_1pct,0.2521071796278428,0.0,0.0,1.0,0.976,0.1785,0.002,1.0,True,False,False,False
42,base_kcenter128_only,0,0,96,128,np_orderstat_id_ood_1pct,0.1655962159863144,0.0033333333333333335,0.0,1.0,0.9893333333333333,0.1795,0.018,1.0,True,False,False,False
42,base128_retained_plus_active64_bank192,64,64,160,192,support_val_guided_empirical_1pct,0.561869823835957,0.0,0.0,1.0,0.8204444444444444,0.99675,0.052333333333333336,1.0,True,False,False,False
42,base128_retained_plus_active64_bank192,64,64,160,192,np_orderstat_id_ood_1pct,0.561869823835957,0.0,0.0,1.0,0.8204444444444444,0.99675,0.052333333333333336,1.0,True,False,False,False
42,base128_retained_plus_active128_bank256,128,128,224,256,support_val_guided_empirical_1pct,0.6757416973308427,0.0,0.0,0.96875,0.6897777777777778,0.9795,0.02033333333333333,0.96875,True,False,False,False
42,base128_retained_plus_active128_bank256,128,128,224,256,np_orderstat_id_ood_1pct,0.5960537291080532,0.0,0.0006666666666666666,0.96875,0.7435555555555555,0.98,0.026,0.96875,True,False,False,False
43,base_kcenter128_only,0,0,96,128,support_val_guided_empirical_1pct,0.12784758730870593,0.0033333333333333335,0.0,0.96875,0.9924444444444445,0.18125,0.005333333333333333,0.96875,True,False,False,False
43,base_kcenter128_only,0,0,96,128,np_orderstat_id_ood_1pct,0.05579190069182849,0.0033333333333333335,0.005333333333333333,0.96875,0.9924444444444445,0.192,0.054,0.96875,True,False,False,False
43,base128_retained_plus_active64_bank192,64,64,160,192,support_val_guided_empirical_1pct,0.6935119141195835,0.0,0.0,0.8125,0.68,0.979,0.0033333333333333335,0.8125,True,False,False,False
43,base128_retained_plus_active64_bank192,64,64,160,192,np_orderstat_id_ood_1pct,0.6935119141195835,0.0,0.0,0.8125,0.68,0.979,0.0033333333333333335,0.8125,True,False,False,False
43,base128_retained_plus_active128_bank256,128,128,224,256,support_val_guided_empirical_1pct,0.7044090216717687,0.0,0.0,0.8125,0.07288888888888889,0.81925,0.0033333333333333335,0.8125,True,False,False,False
43,base128_retained_plus_active128_bank256,128,128,224,256,np_orderstat_id_ood_1pct,0.7044090216717687,0.0,0.0,0.8125,0.07288888888888889,0.81925,0.0033333333333333335,0.8125,True,False,False,False
44,base_kcenter128_only,0,0,96,128,support_val_guided_empirical_1pct,0.04275031193618434,0.0033333333333333335,0.0,0.96875,0.9928888888888889,0.93475,0.083,0.96875,True,False,False,False
44,base_kcenter128_only,0,0,96,128,np_orderstat_id_ood_1pct,0.0320346035119208,0.006666666666666667,0.0033333333333333335,0.96875,0.9928888888888889,0.93475,0.163,0.96875,True,False,False,False
44,base128_retained_plus_active64_bank192,64,64,160,192,support_val_guided_empirical_1pct,0.6045646588690321,0.0,0.0,0.71875,0.6662222222222223,0.98625,0.033666666666666664,0.71875,True,False,False,False
44,base128_retained_plus_active64_bank192,64,64,160,192,np_orderstat_id_ood_1pct,0.6045646588690321,0.0,0.0,0.71875,0.6662222222222223,0.98625,0.033666666666666664,0.71875,True,False,False,False
44,base128_retained_plus_active128_bank256,128,128,224,256,support_val_guided_empirical_1pct,0.6040792107388865,0.0,0.0006666666666666666,0.6875,0.7386666666666667,0.97975,0.04033333333333333,0.6875,True,False,False,False
44,base128_retained_plus_active128_bank256,128,128,224,256,np_orderstat_id_ood_1pct,0.6040792107388865,0.0,0.0006666666666666666,0.6875,0.7386666666666667,0.97975,0.04033333333333333,0.6875,True,False,False,False
45,base_kcenter128_only,0,0,96,128,support_val_guided_empirical_1pct,0.0636363687409533,0.005,0.0,0.96875,0.9924444444444445,0.93375,0.007666666666666666,0.96875,True,False,False,False
45,base_kcenter128_only,0,0,96,128,np_orderstat_id_ood_1pct,0.0593461570116413,0.006666666666666667,0.0,0.96875,0.9928888888888889,0.93375,0.008,0.96875,True,False,False,False
45,base128_retained_plus_active64_bank192,64,64,160,192,support_val_guided_empirical_1pct,0.5205868762366128,0.0,0.0,0.875,0.8,0.998,0.011,0.875,True,False,False,False
45,base128_retained_plus_active64_bank192,64,64,160,192,np_orderstat_id_ood_1pct,0.5205868762366128,0.0,0.0,0.875,0.8,0.998,0.011,0.875,True,False,False,False
45,base128_retained_plus_active128_bank256,128,128,224,256,support_val_guided_empirical_1pct,0.7386348488252737,0.0,0.0,0.75,0.7333333333333333,0.99375,0.002,0.75,True,False,False,False
45,base128_retained_plus_active128_bank256,128,128,224,256,np_orderstat_id_ood_1pct,0.7386348488252737,0.0,0.0,0.75,0.7333333333333333,0.99375,0.002,0.75,True,False,False,False
46,base_kcenter128_only,0,0,96,128,support_val_guided_empirical_1pct,0.17559116925245868,0.0016666666666666668,0.0,0.96875,0.992,0.1795,0.004,0.96875,True,False,False,False
46,base_kcenter128_only,0,0,96,128,np_orderstat_id_ood_1pct,0.05118906196152679,0.008333333333333333,0.0026666666666666666,0.96875,0.9924444444444445,0.1845,0.06866666666666667,0.96875,True,False,False,False
46,base128_retained_plus_active64_bank192,64,64,160,192,support_val_guided_empirical_1pct,0.4101932962843185,0.0,0.0,0.84375,0.8786666666666667,0.998,0.07166666666666667,0.84375,True,False,False,False
46,base128_retained_plus_active64_bank192,64,64,160,192,np_orderstat_id_ood_1pct,0.31976738471834637,0.0,0.005333333333333333,0.84375,0.964,0.9995,0.124,0.84375,True,False,False,False
46,base128_retained_plus_active128_bank256,128,128,224,256,support_val_guided_empirical_1pct,0.6061457399721923,0.0,0.004666666666666667,0.78125,0.39244444444444443,0.91525,0.005333333333333333,0.78125,True,False,False,False
46,base128_retained_plus_active128_bank256,128,128,224,256,np_orderstat_id_ood_1pct,0.6061457399721923,0.0,0.004666666666666667,0.78125,0.39244444444444443,0.91525,0.005333333333333333,0.78125,True,False,False,False
