seed,bank_name,active_label_budget,bank_total_rows,bank_train_rows,medium_base_train_rows_retained,support_val_rows_heldout,active_confirmed_attack_rows,bank_policy,uses_final_ood,uses_attack_eval_for_bank_selection,uses_dev_query_for_bank_selection
42,base_kcenter128_only,0,128,96,96,32,0,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
42,base128_retained_plus_active64_bank192,64,192,160,96,32,64,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
42,base128_retained_plus_active128_bank256,128,256,224,96,32,128,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
43,base_kcenter128_only,0,128,96,96,32,0,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
43,base128_retained_plus_active64_bank192,64,192,160,96,32,64,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
43,base128_retained_plus_active128_bank256,128,256,224,96,32,128,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
44,base_kcenter128_only,0,128,96,96,32,0,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
44,base128_retained_plus_active64_bank192,64,192,160,96,32,64,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
44,base128_retained_plus_active128_bank256,128,256,224,96,32,128,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
45,base_kcenter128_only,0,128,96,96,32,0,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
45,base128_retained_plus_active64_bank192,64,192,160,96,32,64,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
45,base128_retained_plus_active128_bank256,128,256,224,96,32,128,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
46,base_kcenter128_only,0,128,96,96,32,0,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
46,base128_retained_plus_active64_bank192,64,192,160,96,32,64,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
46,base128_retained_plus_active128_bank256,128,256,224,96,32,128,retain_medium_base_train_then_append_confirmed_active_heavy_attack,False,False,False
