seed,bank_name,fit_roles,bank_train_attack_sources,threshold_roles,report_only_roles,uses_final_ood_for_bank_selection,uses_attack_eval_for_bank_selection,uses_dev_query_for_bank_selection,uses_final_ood_for_threshold_or_model_selection,uses_candidate_labels_for_active_selection,uses_active_labels_after_selection_for_confirmation,forbidden_role_access,notes
42,base_kcenter128_only,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
42,base128_retained_plus_active64_bank192,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
42,base128_retained_plus_active128_bank256,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
43,base_kcenter128_only,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
43,base128_retained_plus_active64_bank192,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
43,base128_retained_plus_active128_bank256,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
44,base_kcenter128_only,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
44,base128_retained_plus_active64_bank192,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
44,base128_retained_plus_active128_bank256,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
45,base_kcenter128_only,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
45,base128_retained_plus_active64_bank192,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
45,base128_retained_plus_active128_bank256,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
46,base_kcenter128_only,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
46,base128_retained_plus_active64_bank192,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
46,base128_retained_plus_active128_bank256,id_fit|ood_train_guard|bank_train_attack,medium_base_train_retained|active_heavy_confirmed_attack,id_calib|ood_val|support_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,False,True,False,final OOD is recorded but not optimized in issue27ax
