artifact,path,actual_sha256,hash_match,strategy,expected_sha256
issue27bd_config,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27bd_conflict_aware_attack_shell_and_gate_subspace_diagnostic_2026-06-07\config.json,6e6952b270405ad8e76c6f7a2a06d79e4506143fc06f477972f33f4a52c20be9,True,,
issue27bd_report_only_replay,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27bd_conflict_aware_attack_shell_and_gate_subspace_diagnostic_2026-06-07\report_only_replay.csv,79941fe1144e4e17cd8ab8f57175e64276ec83ba347d4096bfa559433dc1e09d,True,,
issue27af_certificate,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27af_gotham_kitsune115_larger_materialization_and_fast_frontend_plan_2026-06-02\kitsune115_materialization_data_certificate_medium.json,0ccc5352e07766ced4381073e322719a10762dee46a161ee387567feccee7928,True,,
issue27ba_stress_certificate,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\issue27ba_disjoint_ood_stress_pool_before_mixed_stream_2026-06-05\ood_stress_data_certificate.json,d30f65f17f2c7c90fe8fed7a9e886d7c370f6bf819212b5a92b95e1e8d3ed43a,True,,
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_X.npy,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f,True,reset_at_split_boundary,08b25825d98c330e2820f7951c52d4970b815fa64050f1bc221c849e033fc28f
y_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_y.npy,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a,True,reset_at_split_boundary,c48ad427ea383a53d09006e62d8e567f3bac1f18933cfc1a808d9bd7ba58df5a
sidecar_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_sidecar.csv.gz,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541,True,reset_at_split_boundary,0a7398b35220f9731151f6b1dd89a229a8a3ac047a4f03f403305d3f4a242541
split_manifest_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_split_manifest.csv,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902,True,reset_at_split_boundary,04079ff6aafcd49d344e6a36b3ceb163163a2b627a326dcfd169c5603e66c902
feature_schema_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_feature_schema.json,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1,True,reset_at_split_boundary,af5849754ac49a6245461f93c078bb50931f0c102cb0d4880840f98a9b9be5b1
state_transition_log_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_medium_materialization_v1\gotham_kitsune115_medium_reset_at_split_boundary_state_transition_log.csv,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc,True,reset_at_split_boundary,3a89801dbd1b8cbc40038a73c2d8ed95392d4cb6bfb8a8539ca2f136f3cf84cc
X_115D_path,D:\study\paper\anomaly_detection\paper04\datasets\gotham2025\derived\kitsune115_ood_stress_pool_v1\gotham_kitsune115_ood_stress_reset_at_split_boundary_X.npy,f586b7cf7c60af3e9d156b872092b4fad2c9a5533c85a8967ba1ef0f7d4ccbaa,True,,f586b7cf7c60af3e9d156b872092b4fad2c9a5533c85a8967ba1ef0f7d4ccbaa
