seed,active_label_budget,subspace_name,bank_name,source_roles,train_rows,inner_val_rows,outer_val_rows,prototype_budget,prototype_count,prototype_local_indices_sha256,radius_quantile,inner_radius,outer_radius,inner_distance_mean,outer_distance_mean,uses_final_ood,uses_attack_eval,uses_dev_heavy_query
42,64,HH,id,id_fit/id_calib,2400,600,600,32,32,d02bb2d146b7a0473a3b34ade4b03d2683eb96f036ca29585f067c62cccb367d,0.95,4.810427665710449,4.810427665710449,2.927400588989258,2.927400588989258,False,False,False
42,64,HH,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,0f537985632018dde842a9d8406f441359b7e06f56a455971bc128b3525175a1,0.95,362.2207336425781,362.2207336425781,7785.07666015625,7785.07666015625,False,False,False
42,64,HH,attack_medium,medium_support_train/val/pseudo_query,75,25,53,32,32,baa7db9c9702ef2c903f3244459b91ad3464d2442e8fc7575925abe9c048ca45,0.95,5.229778289794922,11.046686172485352,3.1673848628997803,5.404816627502441,False,False,False
42,64,HH,attack_heavy,active_heavy_train/val/pseudo_query,24,8,40,32,24,1285a2fd4be5bc1133bcdafcaa5a44b6f1e126b63e5dd2ad1a4a695a1d78f8d8,0.95,7.965634346008301,35.328651428222656,3.0547735691070557,8.772196769714355,False,False,False
43,64,HH,id,id_fit/id_calib,2400,600,600,32,32,d02bb2d146b7a0473a3b34ade4b03d2683eb96f036ca29585f067c62cccb367d,0.95,4.810427665710449,4.810427665710449,2.927400588989258,2.927400588989258,False,False,False
43,64,HH,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,0f537985632018dde842a9d8406f441359b7e06f56a455971bc128b3525175a1,0.95,362.2207336425781,362.2207336425781,7785.07666015625,7785.07666015625,False,False,False
43,64,HH,attack_medium,medium_support_train/val/pseudo_query,46,16,82,32,32,0f5d115874a043aeb31ec7752f69781328689184a988695381f692a92e079cbc,0.95,16.496807098388672,16.496807098388672,5.510045051574707,4.881808280944824,False,False,False
43,64,HH,attack_heavy,active_heavy_train/val/pseudo_query,21,8,43,32,21,d9f95ab182e2ec93898dbb3f32a33b0b22f9a724fc1a2f3c420c5daaf0dfb5b2,0.95,3.566868543624878,11.65108871459961,1.8242566585540771,4.4554948806762695,False,False,False
44,64,HH,id,id_fit/id_calib,2400,600,600,32,32,d02bb2d146b7a0473a3b34ade4b03d2683eb96f036ca29585f067c62cccb367d,0.95,4.810427665710449,4.810427665710449,2.927400588989258,2.927400588989258,False,False,False
44,64,HH,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,0f537985632018dde842a9d8406f441359b7e06f56a455971bc128b3525175a1,0.95,362.2207336425781,362.2207336425781,7785.07666015625,7785.07666015625,False,False,False
44,64,HH,attack_medium,medium_support_train/val/pseudo_query,70,24,58,32,32,e8b0b55ef05f65b11a42052abcf1067742a63a523aadaeeaf903beb0f18b3370,0.95,4.1913933753967285,6.655305862426758,3.0129878520965576,4.020448684692383,False,False,False
44,64,HH,attack_heavy,active_heavy_train/val/pseudo_query,24,9,40,32,24,1285a2fd4be5bc1133bcdafcaa5a44b6f1e126b63e5dd2ad1a4a695a1d78f8d8,0.95,10.095010757446289,11.629433631896973,3.281416654586792,6.591433048248291,False,False,False
45,64,HH,id,id_fit/id_calib,2400,600,600,32,32,d02bb2d146b7a0473a3b34ade4b03d2683eb96f036ca29585f067c62cccb367d,0.95,4.810427665710449,4.810427665710449,2.927400588989258,2.927400588989258,False,False,False
45,64,HH,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,0f537985632018dde842a9d8406f441359b7e06f56a455971bc128b3525175a1,0.95,362.2207336425781,362.2207336425781,7785.07666015625,7785.07666015625,False,False,False
45,64,HH,attack_medium,medium_support_train/val/pseudo_query,75,25,53,32,32,dd041c72637bfe102900ba9c86ada88efb2ccd8cc271916c339dcfd95cac6032,0.95,4.871963977813721,10.961496353149414,3.0106451511383057,5.241071701049805,False,False,False
45,64,HH,attack_heavy,active_heavy_train/val/pseudo_query,23,8,41,32,23,b7de13a9f48acb591fdd78706d33f99ade852b2fb6ae0656bd0606117593ce76,0.95,5.18034553527832,7.049463748931885,1.9612962007522583,4.365943908691406,False,False,False
46,64,HH,id,id_fit/id_calib,2400,600,600,32,32,d02bb2d146b7a0473a3b34ade4b03d2683eb96f036ca29585f067c62cccb367d,0.95,4.810427665710449,4.810427665710449,2.927400588989258,2.927400588989258,False,False,False
46,64,HH,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,4350,32,32,0f537985632018dde842a9d8406f441359b7e06f56a455971bc128b3525175a1,0.95,362.2207336425781,362.2207336425781,7785.07666015625,7785.07666015625,False,False,False
46,64,HH,attack_medium,medium_support_train/val/pseudo_query,46,16,82,32,32,aae13972bc5ffca906415598f1578b739c52377926275092e21914fdbe056269,0.95,4.28941535949707,6.135456085205078,2.8096909523010254,4.278780460357666,False,False,False
46,64,HH,attack_heavy,active_heavy_train/val/pseudo_query,21,8,43,32,21,d9f95ab182e2ec93898dbb3f32a33b0b22f9a724fc1a2f3c420c5daaf0dfb5b2,0.95,1.9792524576187134,25.964204788208008,1.2877132892608643,50.33409118652344,False,False,False
