device_key,between_norm,within_early_late_norm,between_within_ratio,independent_sessions,records
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,5.31298707972154,0.6599116690866433,8.051057934882449,360,600
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,4.480584332963108,0.8676614749044899,5.163977498777758,512,600
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,4.546186083100048,0.5217563071326227,8.713236468734197,514,600
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,4.558345435085726,0.6526770473679117,6.984074977767992,515,600
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,4.614662175509303,0.6140585096370835,7.515020316608963,516,600
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,4.516338230946011,0.5817262662506438,7.763682840135143,516,600
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,4.583521810607543,0.706946625130879,6.4835471981480675,515,600
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,5.090290056463074,0.29368591119774373,17.332428497176682,366,600
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,5.118798410171128,0.45476217792755114,11.255989742811487,369,600
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,5.093307288890453,0.6017374422419467,8.46433499287308,367,600
processed/iotsim-combined-cycle-tls-3.csv,9.45694298553875,0.13235778321908784,71.44984416885374,134,270
processed/iotsim-combined-cycle-tls-4.csv,9.236662914512271,0.20380055022238544,45.322070546096676,139,270
processed/iotsim-combined-cycle-tls-5.csv,9.325165505196438,0.24873219918135867,37.490785414546025,137,269
