dataset,holdout,method,method_version,seed_group,ood_target,ood_target_label,n_seeds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_std,final_ood_high_alarm_min,final_ood_high_alarm_max,feasible_rate,threshold_mean,threshold_min,threshold_max,feature_dim,selected_feature_count,train_time_mean,inference_time_mean,support_provenance_clean_rate,threshold_provenance_clean_rate
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,heldout_47_51,0.005,0.5pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6771745475773496,0.0,0.6771745475773496,0.6771745475773496,0.0014,0.0,0.0014,0.0014,1.0,-2.6591118507806715,-2.6591118507806715,-2.6591118507806715,100,0,0.8458193400001619,0.022515779999957887,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,main_42_46,0.005,0.5pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6771745475773496,0.0,0.6771745475773496,0.6771745475773496,0.0014,0.0,0.0014,0.0014,1.0,-2.6591118507806715,-2.6591118507806715,-2.6591118507806715,100,0,1.001897099999951,0.02573843999980454,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,heldout_47_51,0.005,0.5pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7098657326328079,0.0,0.7098657326328079,0.7098657326328079,0.0035000000000000005,0.0,0.0035,0.0035,1.0,0.1953391988737625,0.1953391988737625,0.1953391988737625,32,32,0.20169379999988452,0.008498879999933706,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,main_42_46,0.005,0.5pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7098657326328079,0.0,0.7098657326328079,0.7098657326328079,0.0035000000000000005,0.0,0.0035,0.0035,1.0,0.1953391988737625,0.1953391988737625,0.1953391988737625,32,32,0.19681844000024284,0.00874106000028405,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,heldout_47_51,0.008,0.8pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6780502043199066,0.0,0.6780502043199066,0.6780502043199066,0.0016,0.0,0.0016,0.0016,1.0,-3.01799458396583,-3.01799458396583,-3.01799458396583,100,0,0.8458193400001619,0.022515779999957887,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,main_42_46,0.008,0.8pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6780502043199066,0.0,0.6780502043199066,0.6780502043199066,0.0016,0.0,0.0016,0.0016,1.0,-3.01799458396583,-3.01799458396583,-3.01799458396583,100,0,1.001897099999951,0.02573843999980454,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,heldout_47_51,0.008,0.8pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7218330414477525,0.0,0.7218330414477525,0.7218330414477525,0.008,0.0,0.008,0.008,1.0,-0.22410922283595572,-0.22410922283595572,-0.22410922283595572,32,32,0.20169379999988452,0.008498879999933706,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,main_42_46,0.008,0.8pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7218330414477525,0.0,0.7218330414477525,0.7218330414477525,0.008,0.0,0.008,0.008,1.0,-0.22410922283595572,-0.22410922283595572,-0.22410922283595572,32,32,0.19681844000024284,0.00874106000028405,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,heldout_47_51,0.01,1.0pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0,0.0018,0.0018,1.0,-3.203347693811287,-3.2033476938112866,-3.2033476938112866,100,0,0.8458193400001619,0.022515779999957887,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,main_42_46,0.01,1.0pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0,0.0018,0.0018,1.0,-3.203347693811287,-3.2033476938112866,-3.2033476938112866,100,0,1.001897099999951,0.02573843999980454,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,heldout_47_51,0.01,1.0pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0,0.0097,0.0097,1.0,-0.46364417869220853,-0.46364417869220853,-0.46364417869220853,32,32,0.20169379999988452,0.008498879999933706,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,main_42_46,0.01,1.0pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0,0.0097,0.0097,1.0,-0.46364417869220853,-0.46364417869220853,-0.46364417869220853,32,32,0.19681844000024284,0.00874106000028405,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,heldout_47_51,0.012,1.2pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6806771745475774,0.0,0.6806771745475774,0.6806771745475774,0.0018,0.0,0.0018,0.0018,1.0,-3.3448033829201806,-3.34480338292018,-3.34480338292018,100,0,0.8458193400001619,0.022515779999957887,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,main_42_46,0.012,1.2pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6806771745475774,0.0,0.6806771745475774,0.6806771745475774,0.0018,0.0,0.0018,0.0018,1.0,-3.3448033829201806,-3.34480338292018,-3.34480338292018,100,0,1.001897099999951,0.02573843999980454,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,heldout_47_51,0.012,1.2pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7358435493286631,0.0,0.7358435493286631,0.7358435493286631,0.0103,0.0,0.0103,0.0103,0.0,-0.6067427317924122,-0.6067427317924122,-0.6067427317924122,32,32,0.20169379999988452,0.008498879999933706,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,main_42_46,0.012,1.2pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7358435493286631,0.0,0.7358435493286631,0.7358435493286631,0.0103,0.0,0.0103,0.0103,0.0,-0.6067427317924122,-0.6067427317924122,-0.6067427317924122,32,32,0.19681844000024284,0.00874106000028405,1.0,1.0
