dataset,holdout,method,method_version,seed_group,ood_target,ood_target_label,n_seeds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_std,final_ood_high_alarm_min,final_ood_high_alarm_max,feasible_rate,threshold_mean,threshold_min,threshold_max,feature_dim,selected_feature_count,train_time_mean,inference_time_mean,support_provenance_clean_rate,threshold_provenance_clean_rate
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,heldout_47_51,0.01,1.0pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0,0.0018,0.0018,1.0,-3.203347693811287,-3.2033476938112866,-3.2033476938112866,100,0,0.8458193400001619,0.022515779999957887,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,main_42_46,0.01,1.0pct,5,0.705273963806188,0.0,0.7560938824515404,0.0,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0,0.0018,0.0018,1.0,-3.203347693811287,-3.2033476938112866,-3.2033476938112866,100,0,1.001897099999951,0.02573843999980454,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,heldout_47_51,0.01,1.0pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0,0.0097,0.0097,1.0,-0.46364417869220853,-0.46364417869220853,-0.46364417869220853,32,32,0.20169379999988452,0.008498879999933706,1.0,1.0
harder_holdout,chrono_late_train_early_eval,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,main_42_46,0.01,1.0pct,5,0.9806204028021016,0.0,0.9612652574285201,0.0,0.7314652656158785,0.0,0.7314652656158785,0.7314652656158785,0.0097,0.0,0.0097,0.0097,1.0,-0.46364417869220853,-0.46364417869220853,-0.46364417869220853,32,32,0.19681844000024284,0.00874106000028405,1.0,1.0
harder_holdout,holdout_bin_2,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,heldout_47_51,0.01,1.0pct,5,0.39120140949554894,0.0,0.40456989791595277,0.0,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0,0.0011,0.0011,1.0,-3.126371385544741,-3.126371385544741,-3.126371385544741,100,0,0.7117524600000251,0.0196592000002056,1.0,1.0
harder_holdout,holdout_bin_2,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,main_42_46,0.01,1.0pct,5,0.39120140949554894,0.0,0.40456989791595277,0.0,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0,0.0011,0.0011,1.0,-3.126371385544741,-3.126371385544741,-3.126371385544741,100,0,0.7717938400001003,0.021688199999880454,1.0,1.0
harder_holdout,holdout_bin_2,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,heldout_47_51,0.01,1.0pct,5,0.9406764094955488,0.0,0.8874848250315692,0.0,0.8093471810089021,0.0,0.8093471810089021,0.8093471810089021,0.006799999999999999,0.0,0.0068,0.0068,1.0,-1.9876145615455427,-1.9876145615455427,-1.9876145615455427,32,32,0.18765320000002247,0.006682500000351865,1.0,1.0
harder_holdout,holdout_bin_2,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,main_42_46,0.01,1.0pct,5,0.9406764094955488,0.0,0.8874848250315692,0.0,0.8093471810089021,0.0,0.8093471810089021,0.8093471810089021,0.006799999999999999,0.0,0.0068,0.0068,1.0,-1.9876145615455427,-1.9876145615455427,-1.9876145615455427,32,32,0.1955681600000389,0.006554299999697833,1.0,1.0
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,heldout_47_51,0.01,1.0pct,5,0.9925373090909092,0.0,0.9695076293611751,0.0,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.0036,0.0,0.0036,0.0036,1.0,-2.646479427395543,-2.646479427395543,-2.646479427395543,100,0,1.2423985999999787,0.02542437999982212,1.0,1.0
primary_lowood,primary_lowood,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,main_42_46,0.01,1.0pct,5,0.9925373090909092,0.0,0.9695076293611751,0.0,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.0036,0.0,0.0036,0.0036,1.0,-2.646479427395543,-2.646479427395543,-2.646479427395543,100,0,1.4323482799996783,0.030271019999781858,1.0,1.0
