dataset,holdout,split_protocol,method,method_version,representation,adapter,support_method,positive_budget,seed,seed_group,ood_target,ood_target_label,roc_auc,pr_auc,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,attack_eval_size,final_ood_eval_size,support_size,support_pool_size,feature_dim,selected_feature_count,train_time,inference_time,parameter_count,support_provenance_clean,threshold_provenance_clean,result_source
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,49,heldout_47_51,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.307019599999876,0.021012299999711104,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,49,heldout_47_51,0.01,1.0pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0156,False,-3.426404387097379,1375,10000,32,4122,32,32,0.14378820000001724,0.006100000000515138,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,50,heldout_47_51,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.1069796000001588,0.029661599999599275,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,50,heldout_47_51,0.01,1.0pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0156,False,-3.426404387097379,1375,10000,32,4122,32,32,0.3065921999996135,0.0139327000006233,33,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,51,heldout_47_51,0.01,1.0pct,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,1375,10000,32,4122,100,0,1.1103376000000935,0.021165099999961967,101,True,True,issue19b_same_protocol_backtest
primary_lowood,primary_lowood,current_lowood_same_protocol,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,51,heldout_47_51,0.01,1.0pct,0.9546770181818182,0.9482192541507887,0.9243636363636364,0.0156,False,-3.426404387097379,1375,10000,32,4122,32,32,0.2696914999996807,0.017549000000144588,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,42,main_42_46,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,1.5324792000001253,0.03750979999949777,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,42,main_42_46,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.20957580000049347,0.007919900000160851,33,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V1_original100_kcenter32_fixed_guard_lr,V1_LOW_GUARD_minimal,original100,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.01,1.0pct,0.705273963806188,0.7560938824515404,0.6798015178050204,0.0018,True,-3.2033476938112866,3426,10000,32,2568,100,0,0.9194837999993979,0.021641600000293693,101,True,True,issue19b_same_protocol_backtest
harder_holdout,chrono_late_train_early_eval,harder_holdout_local_calibration_issue17_18_19,V2_selected_source_rich_top32_kcenter32_fixed_guard_lr,V2_LOW_GUARD_plus,selected_source_rich_top32,fixed_guard_lr,kcenter_32shot,32,43,main_42_46,0.01,1.0pct,0.9806204028021016,0.9612652574285201,0.7314652656158785,0.0097,True,-0.46364417869220853,3426,10000,32,2568,32,32,0.18210170000020298,0.006200699999681092,33,True,True,issue19b_same_protocol_backtest
