dataset,holdout,seed_group,v1_detection_mean,v1_ood_alarm_mean,v1_ood_alarm_max,v1_feasible_rate,v2_detection_mean,v2_ood_alarm_mean,v2_ood_alarm_max,v2_feasible_rate,delta_detection_v2_minus_v1,delta_ood_alarm_v2_minus_v1
harder_holdout,chrono_late_train_early_eval,heldout_47_51,0.6798015178050204,0.0018,0.0018,1.0,0.7314652656158785,0.0097,0.0097,1.0,0.05166374781085814,0.0079
harder_holdout,chrono_late_train_early_eval,main_42_46,0.6798015178050204,0.0018,0.0018,1.0,0.7314652656158785,0.0097,0.0097,1.0,0.05166374781085814,0.0079
harder_holdout,holdout_bin_2,heldout_47_51,0.3264094955489614,0.0011,0.0011,1.0,0.8093471810089021,0.006799999999999999,0.0068,1.0,0.4829376854599407,0.0056999999999999985
harder_holdout,holdout_bin_2,main_42_46,0.3264094955489614,0.0011,0.0011,1.0,0.8093471810089021,0.006799999999999999,0.0068,1.0,0.4829376854599407,0.0056999999999999985
primary_lowood,primary_lowood,heldout_47_51,0.9294545454545455,0.0036,0.0036,1.0,0.9243636363636364,0.0156,0.0156,0.0,-0.005090909090909146,0.012
primary_lowood,primary_lowood,main_42_46,0.9294545454545455,0.0036,0.0036,1.0,0.9243636363636364,0.0156,0.0156,0.0,-0.005090909090909146,0.012
