seed,active_label_budget,fit_roles,threshold_roles,report_only_roles,uses_final_ood_for_selection,uses_attack_eval_for_selection,uses_dev_heavy_query_for_selection,uses_candidate_labels_for_active_selection,uses_active_labels_after_selection_for_confirmation,forbidden_role_access
42,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
42,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
43,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
43,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
44,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
44,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
45,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
45,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
46,64,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
46,128,id_fit|ood_train_guard|medium_region_train_attack|active_heavy_region_train_attack,id_calib|ood_val|medium_support_val|active_heavy_val,medium_attack_eval|dev_heavy_query|final_ood,False,False,False,False,True,False
