seed,active_label_budget,config_name,config_family,weighting_policy,threshold_rule,threshold,support_val_detection,active_heavy_val_detection,medium_attack_eval_detection_report_only,dev_heavy_query_detection_report_only,id_calib_alarm,ood_val_alarm,final_ood_alarm_report_only,medium_low_score_attack_covered_review_fraction,dev_heavy_low_score_attack_covered_review_fraction,medium_score_or_review_recall,dev_heavy_score_or_review_recall,uses_final_ood_for_selection,uses_eval_attack_for_selection,uses_dev_heavy_query_for_selection,triple_attack_min
42,64,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.4532725719553659,1.0,1.0,0.908,0.99725,0.0,0.0,0.087,0.07555555555555556,0.0,0.9835555555555555,0.99725,False,False,False,0.908
42,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.5437604383599741,1.0,1.0,0.7906666666666666,0.98925,0.0,0.0,0.048,0.18,0.0,0.9706666666666667,0.98925,False,False,False,0.7906666666666666
42,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.44893173501516614,1.0,1.0,0.7844444444444445,0.98725,0.0,0.0,0.063,0.18444444444444444,0.0,0.9688888888888889,0.98725,False,False,False,0.7844444444444445
42,64,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.0047157406782566335, ""medium"": 0.2521071796278428}",1.0,1.0,0.976,0.9985,0.0,0.0,0.3383333333333333,0.013777777777777778,0.0,0.9897777777777778,0.9985,False,False,False,0.976
42,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.0047157406782566335, ""medium"": 0.2521071796278428}",0.9375,0.9375,0.9168888888888889,0.576,0.0,0.0,0.0006666666666666666,0.013777777777777778,0.0,0.9306666666666666,0.576,False,False,False,0.576
42,128,single_uniform_append,single_detector,uniform_attack_row_weight,support_val_guided_empirical_1pct,0.6286911453865733,1.0,0.96875,0.7946666666666666,0.99675,0.0,0.0,0.021666666666666667,0.16133333333333333,0.0,0.956,0.99675,False,False,False,0.7946666666666666
42,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,support_val_guided_empirical_1pct,0.6286911453865733,1.0,0.96875,0.7946666666666666,0.99675,0.0,0.0,0.021666666666666667,0.16133333333333333,0.0,0.956,0.99675,False,False,False,0.7946666666666666
42,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,support_val_guided_empirical_1pct,0.5415156924517169,1.0,0.96875,0.7835555555555556,0.98725,0.0,0.0,0.023666666666666666,0.18666666666666668,0.0,0.9702222222222222,0.98725,False,False,False,0.7835555555555556
42,128,per_region_heads_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009582974563783361, ""medium"": 0.2521071796278428}",1.0,1.0,0.9853333333333333,0.9995,0.0,0.0,0.3383333333333333,0.0071111111111111115,0.0,0.9924444444444445,0.9995,False,False,False,0.9853333333333333
42,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,support_val_guided_per_region,"{""heavy"": 0.009582974563783361, ""medium"": 0.2521071796278428}",0.9375,0.9375,0.9168888888888889,0.8135,0.0,0.0,0.0006666666666666666,0.013777777777777778,0.0,0.9306666666666666,0.8135,False,False,False,0.8135
