seed,active_label_budget,config_name,query_name,alarm_fraction,low_score_attack_covered_review_fraction,score_or_review_recall
42,64,single_uniform_append,medium_attack_eval_report_only,0.908,0.07555555555555556,0.9835555555555555
42,64,single_uniform_append,dev_heavy_query_report_only,0.99725,0.0,0.99725
42,64,single_region_equal_total,medium_attack_eval_report_only,0.7906666666666666,0.18,0.9706666666666667
42,64,single_region_equal_total,dev_heavy_query_report_only,0.98925,0.0,0.98925
42,64,single_region_capped_total,medium_attack_eval_report_only,0.7844444444444445,0.18444444444444444,0.9688888888888889
42,64,single_region_capped_total,dev_heavy_query_report_only,0.98725,0.0,0.98725
42,64,per_region_heads_or,medium_attack_eval_report_only,0.976,0.013777777777777778,0.9897777777777778
42,64,per_region_heads_or,dev_heavy_query_report_only,0.9985,0.0,0.9985
42,64,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9168888888888889,0.013777777777777778,0.9306666666666666
42,64,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.576,0.0,0.576
42,128,single_uniform_append,medium_attack_eval_report_only,0.7946666666666666,0.16133333333333333,0.956
42,128,single_uniform_append,dev_heavy_query_report_only,0.99675,0.0,0.99675
42,128,single_region_equal_total,medium_attack_eval_report_only,0.7946666666666666,0.16133333333333333,0.956
42,128,single_region_equal_total,dev_heavy_query_report_only,0.99675,0.0,0.99675
42,128,single_region_capped_total,medium_attack_eval_report_only,0.7835555555555556,0.18666666666666668,0.9702222222222222
42,128,single_region_capped_total,dev_heavy_query_report_only,0.98725,0.0,0.98725
42,128,per_region_heads_or,medium_attack_eval_report_only,0.9853333333333333,0.0071111111111111115,0.9924444444444445
42,128,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
42,128,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9168888888888889,0.013777777777777778,0.9306666666666666
42,128,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.8135,0.0,0.8135
43,64,single_uniform_append,medium_attack_eval_report_only,0.4182222222222222,0.5777777777777777,0.996
43,64,single_uniform_append,dev_heavy_query_report_only,0.92575,0.0,0.92575
43,64,single_region_equal_total,medium_attack_eval_report_only,0.06355555555555556,0.9324444444444444,0.996
43,64,single_region_equal_total,dev_heavy_query_report_only,0.81875,0.0,0.81875
43,64,single_region_capped_total,medium_attack_eval_report_only,0.21866666666666668,0.7773333333333333,0.996
43,64,single_region_capped_total,dev_heavy_query_report_only,0.8745,0.0,0.8745
43,64,per_region_heads_or,medium_attack_eval_report_only,0.9924444444444445,0.005333333333333333,0.9977777777777778
43,64,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
43,64,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9902222222222222,0.005333333333333333,0.9955555555555555
43,64,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.55575,0.0,0.55575
43,128,single_uniform_append,medium_attack_eval_report_only,0.34755555555555556,0.6488888888888888,0.9964444444444445
43,128,single_uniform_append,dev_heavy_query_report_only,0.91,0.0,0.91
43,128,single_region_equal_total,medium_attack_eval_report_only,0.34755555555555556,0.6488888888888888,0.9964444444444445
43,128,single_region_equal_total,dev_heavy_query_report_only,0.91,0.0,0.91
43,128,single_region_capped_total,medium_attack_eval_report_only,0.6195555555555555,0.3768888888888889,0.9964444444444445
43,128,single_region_capped_total,dev_heavy_query_report_only,0.9695,0.0,0.9695
43,128,per_region_heads_or,medium_attack_eval_report_only,0.9924444444444445,0.005333333333333333,0.9977777777777778
43,128,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
43,128,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9902222222222222,0.005333333333333333,0.9955555555555555
43,128,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.5575,0.0,0.5575
44,64,single_uniform_append,medium_attack_eval_report_only,0.7986666666666666,0.18888888888888888,0.9875555555555555
44,64,single_uniform_append,dev_heavy_query_report_only,0.989,0.0,0.989
44,64,single_region_equal_total,medium_attack_eval_report_only,0.7413333333333333,0.24755555555555556,0.9888888888888889
44,64,single_region_equal_total,dev_heavy_query_report_only,0.98025,0.0,0.98025
44,64,single_region_capped_total,medium_attack_eval_report_only,0.82,0.16977777777777778,0.9897777777777778
44,64,single_region_capped_total,dev_heavy_query_report_only,0.9955,0.0,0.9955
44,64,per_region_heads_or,medium_attack_eval_report_only,0.9928888888888889,0.0022222222222222222,0.9951111111111111
44,64,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
44,64,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9768888888888889,0.0022222222222222222,0.9791111111111112
44,64,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.6195,0.0,0.6195
44,128,single_uniform_append,medium_attack_eval_report_only,0.8382222222222222,0.15155555555555555,0.9897777777777778
44,128,single_uniform_append,dev_heavy_query_report_only,0.9975,0.0,0.9975
44,128,single_region_equal_total,medium_attack_eval_report_only,0.8382222222222222,0.15155555555555555,0.9897777777777778
44,128,single_region_equal_total,dev_heavy_query_report_only,0.9975,0.0,0.9975
44,128,single_region_capped_total,medium_attack_eval_report_only,0.8222222222222222,0.16755555555555557,0.9897777777777778
44,128,single_region_capped_total,dev_heavy_query_report_only,0.994,0.0,0.994
44,128,per_region_heads_or,medium_attack_eval_report_only,0.9928888888888889,0.0022222222222222222,0.9951111111111111
44,128,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
44,128,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9768888888888889,0.0022222222222222222,0.9791111111111112
44,128,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.5105,0.0,0.5105
45,64,single_uniform_append,medium_attack_eval_report_only,0.9142222222222223,0.05333333333333334,0.9675555555555555
45,64,single_uniform_append,dev_heavy_query_report_only,0.99825,0.00075,0.999
45,64,single_region_equal_total,medium_attack_eval_report_only,0.7973333333333333,0.17155555555555554,0.9688888888888889
45,64,single_region_equal_total,dev_heavy_query_report_only,0.99725,0.00125,0.9985
45,64,single_region_capped_total,medium_attack_eval_report_only,0.8777777777777778,0.09377777777777778,0.9715555555555555
45,64,single_region_capped_total,dev_heavy_query_report_only,0.99825,0.00075,0.999
45,64,per_region_heads_or,medium_attack_eval_report_only,0.9924444444444445,0.0022222222222222222,0.9946666666666667
45,64,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
45,64,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9373333333333334,0.0022222222222222222,0.9395555555555556
45,64,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.985,0.0,0.985
45,128,single_uniform_append,medium_attack_eval_report_only,0.7635555555555555,0.18355555555555556,0.9471111111111111
45,128,single_uniform_append,dev_heavy_query_report_only,0.99725,0.0,0.99725
45,128,single_region_equal_total,medium_attack_eval_report_only,0.7635555555555555,0.18355555555555556,0.9471111111111111
45,128,single_region_equal_total,dev_heavy_query_report_only,0.99725,0.0,0.99725
45,128,single_region_capped_total,medium_attack_eval_report_only,0.8608888888888889,0.09555555555555556,0.9564444444444444
45,128,single_region_capped_total,dev_heavy_query_report_only,0.99825,0.0,0.99825
45,128,per_region_heads_or,medium_attack_eval_report_only,0.9924444444444445,0.0022222222222222222,0.9946666666666667
45,128,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
45,128,per_region_heads_distance_gated_or,medium_attack_eval_report_only,0.9373333333333334,0.0022222222222222222,0.9395555555555556
45,128,per_region_heads_distance_gated_or,dev_heavy_query_report_only,0.705,0.0,0.705
46,64,single_uniform_append,medium_attack_eval_report_only,0.772,0.22311111111111112,0.9951111111111111
46,64,single_uniform_append,dev_heavy_query_report_only,0.991,0.0,0.991
46,64,single_region_equal_total,medium_attack_eval_report_only,0.07777777777777778,0.9173333333333333,0.9951111111111111
46,64,single_region_equal_total,dev_heavy_query_report_only,0.81875,0.0,0.81875
46,64,single_region_capped_total,medium_attack_eval_report_only,0.6786666666666666,0.3164444444444444,0.9951111111111111
46,64,single_region_capped_total,dev_heavy_query_report_only,0.979,0.0,0.979
46,64,per_region_heads_or,medium_attack_eval_report_only,0.992,0.0044444444444444444,0.9964444444444445
46,64,per_region_heads_or,dev_heavy_query_report_only,0.9995,0.0,0.9995
