config_name,active_label_budget,seeds,support_val_detection_mean,support_val_detection_min,support_val_detection_max,active_heavy_val_detection_mean,active_heavy_val_detection_min,active_heavy_val_detection_max,medium_attack_eval_detection_report_only_mean,medium_attack_eval_detection_report_only_min,medium_attack_eval_detection_report_only_max,dev_heavy_query_detection_report_only_mean,dev_heavy_query_detection_report_only_min,dev_heavy_query_detection_report_only_max,triple_attack_min_mean,triple_attack_min_min,triple_attack_min_max,id_calib_alarm_mean,id_calib_alarm_min,id_calib_alarm_max,ood_val_alarm_mean,ood_val_alarm_min,ood_val_alarm_max,final_ood_alarm_report_only_mean,final_ood_alarm_report_only_min,final_ood_alarm_report_only_max,medium_low_score_attack_covered_review_fraction_mean,medium_low_score_attack_covered_review_fraction_min,medium_low_score_attack_covered_review_fraction_max,dev_heavy_low_score_attack_covered_review_fraction_mean,dev_heavy_low_score_attack_covered_review_fraction_min,dev_heavy_low_score_attack_covered_review_fraction_max,medium_score_or_review_recall_mean,medium_score_or_review_recall_min,medium_score_or_review_recall_max,dev_heavy_score_or_review_recall_mean,dev_heavy_score_or_review_recall_min,dev_heavy_score_or_review_recall_max
per_region_heads_distance_gated_or,64,5,0.925,0.90625,0.9375,0.9375,0.9375,0.9375,0.9624,0.9168888888888889,0.9906666666666667,0.6970999999999999,0.55575,0.985,0.6875666666666665,0.55575,0.9373333333333334,0.0013333333333333335,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0078,0.0006666666666666666,0.029666666666666668,0.0056,0.0022222222222222222,0.013777777777777778,0.0,0.0,0.0,0.968,0.9306666666666666,0.9955555555555555,0.6970999999999999,0.55575,0.985
per_region_heads_distance_gated_or,128,5,0.925,0.90625,0.9375,0.9375,0.9375,0.9375,0.9624,0.9168888888888889,0.9906666666666667,0.6399,0.5105,0.8135,0.6399,0.5105,0.8135,0.0013333333333333335,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0078,0.0006666666666666666,0.029666666666666668,0.0056,0.0022222222222222222,0.013777777777777778,0.0,0.0,0.0,0.968,0.9306666666666666,0.9955555555555555,0.6399,0.5105,0.8135
per_region_heads_or,64,5,0.975,0.96875,1.0,1.0,1.0,1.0,0.9891555555555556,0.976,0.9928888888888889,0.9993000000000002,0.9985,0.9995,0.9702,0.96875,0.976,0.002666666666666667,0.0,0.005,0.0,0.0,0.0,0.3526,0.3383333333333333,0.39866666666666667,0.0056,0.0022222222222222222,0.013777777777777778,0.0,0.0,0.0,0.9947555555555556,0.9897777777777778,0.9977777777777778,0.9993000000000002,0.9985,0.9995
per_region_heads_or,128,5,0.975,0.96875,1.0,1.0,1.0,1.0,0.9910222222222222,0.9853333333333333,0.9928888888888889,0.9995,0.9995,0.9995,0.9720666666666666,0.96875,0.9853333333333333,0.002666666666666667,0.0,0.005,0.0,0.0,0.0,0.3526,0.3383333333333333,0.39866666666666667,0.004266666666666667,0.0022222222222222222,0.0071111111111111115,0.0,0.0,0.0,0.9952888888888889,0.9924444444444445,0.9977777777777778,0.9995,0.9995,0.9995
single_region_capped_total,64,5,0.8625,0.78125,1.0,1.0,1.0,1.0,0.675911111111111,0.21866666666666668,0.8777777777777778,0.9669000000000001,0.8745,0.99825,0.6753555555555555,0.21866666666666668,0.875,0.0,0.0,0.0,0.00013333333333333334,0.0,0.0006666666666666666,0.027466666666666667,0.002,0.063,0.3083555555555555,0.09377777777777778,0.7773333333333333,0.00015000000000000001,0.0,0.00075,0.9842666666666666,0.9688888888888889,0.996,0.9670500000000001,0.8745,0.999
single_region_capped_total,128,5,0.8625,0.78125,1.0,0.98125,0.96875,1.0,0.7250666666666666,0.5391111111111111,0.8608888888888889,0.984,0.9695,0.99825,0.7168722222222221,0.5391111111111111,0.8608888888888889,0.0,0.0,0.0,0.00013333333333333334,0.0,0.0006666666666666666,0.022866666666666667,0.0033333333333333335,0.042666666666666665,0.25653333333333334,0.09555555555555556,0.456,0.0,0.0,0.0,0.9816,0.9564444444444444,0.9964444444444445,0.984,0.9695,0.99825
single_region_equal_total,64,5,0.8,0.6875,1.0,0.9875,0.9375,1.0,0.49413333333333337,0.06355555555555556,0.7973333333333333,0.92085,0.81875,0.99725,0.49091666666666667,0.06355555555555556,0.7906666666666666,0.0,0.0,0.0,0.00013333333333333334,0.0,0.0006666666666666666,0.020666666666666667,0.001,0.048,0.48977777777777776,0.17155555555555554,0.9324444444444444,0.00025,0.0,0.00125,0.9839111111111112,0.9688888888888889,0.996,0.9210999999999998,0.81875,0.9985
single_region_equal_total,128,5,0.84375,0.78125,1.0,0.96875,0.9375,1.0,0.6146666666666667,0.3293333333333333,0.8382222222222222,0.9624,0.91,0.9975,0.6032722222222222,0.3293333333333333,0.7946666666666666,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0013333333333333333,0.024466666666666668,0.0026666666666666666,0.05266666666666667,0.3622222222222222,0.15155555555555555,0.6657777777777778,0.0,0.0,0.0,0.9768888888888888,0.9471111111111111,0.9964444444444445,0.9624,0.91,0.9975
single_uniform_append,64,5,0.8625,0.78125,1.0,1.0,1.0,1.0,0.7622222222222224,0.4182222222222222,0.9142222222222223,0.9802500000000001,0.92575,0.99825,0.7508944444444445,0.4182222222222222,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0023333333333333335,0.087,0.22373333333333334,0.05333333333333334,0.5777777777777777,0.00015000000000000001,0.0,0.00075,0.9859555555555556,0.9675555555555555,0.996,0.9804,0.92575,0.999
single_uniform_append,128,5,0.84375,0.78125,1.0,0.96875,0.9375,1.0,0.6146666666666667,0.3293333333333333,0.8382222222222222,0.9624,0.91,0.9975,0.6032722222222222,0.3293333333333333,0.7946666666666666,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0013333333333333333,0.024466666666666668,0.0026666666666666666,0.05266666666666667,0.3622222222222222,0.15155555555555555,0.6657777777777778,0.0,0.0,0.0,0.9768888888888888,0.9471111111111111,0.9964444444444445,0.9624,0.91,0.9975
