seed,active_label_budget,config_name,config_family,weighting_policy,id_rows,ood_train_rows,id_weight,ood_weight,medium_region_attack_rows,medium_region_attack_per_row_weight,medium_region_attack_total_weight,heavy_region_attack_rows,heavy_region_attack_per_row_weight,heavy_region_attack_total_weight,total_rows,attack_total_weight,weighted_normal_to_attack_ratio,medium_head_rows,heavy_head_rows,medium_threshold,heavy_threshold,distance_gated
42,64,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,4.0,192.0,4044,576.0,9.375,,,,,
42,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,8.0,384.0,4044,768.0,7.03125,,,,,
42,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,48,4.0,192.0,4044,384.0,14.0625,,,,,
42,64,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.2521071796278428,0.0047157406782566335,False
42,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.2521071796278428,0.0047157406782566335,True
42,128,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
42,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
42,128,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,96,2.0,192.0,4092,384.0,14.0625,,,,,
42,128,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.2521071796278428,0.009582974563783361,False
42,128,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,96,0.2521071796278428,0.009582974563783361,True
43,64,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,4.0,192.0,4044,576.0,9.375,,,,,
43,64,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,48,8.0,384.0,4044,768.0,7.03125,,,,,
43,64,single_region_capped_total,single_detector,region_capped_total_attack_weight,2400,1500,1.0,2.0,96,2.0,192.0,48,4.0,192.0,4044,384.0,14.0625,,,,,
43,64,per_region_heads_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.12784758730870593,0.004746338934049104,False
43,64,per_region_heads_distance_gated_or,per_region_heads,independent_region_heads,,,,,,,,,,,,,,96,48,0.12784758730870593,0.004746338934049104,True
43,128,single_uniform_append,single_detector,uniform_attack_row_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
43,128,single_region_equal_total,single_detector,region_equal_total_attack_weight,2400,1500,1.0,2.0,96,4.0,384.0,96,4.0,384.0,4092,768.0,7.03125,,,,,
