seed,active_label_budget,region_id,region_source,train_rows,val_rows,indices_sha256_train,indices_sha256_val,allowed_for_fit,allowed_for_threshold,uses_final_or_eval,active_selector,active_selected_rows,confirmed_attack_rows
42,64,attack_medium_base,attack_support,96,32,9439a79e2d958cbaf9db4b83dedeae8b67cd0736841966dae47d7eeef6996c63,e8e131f8dd935563e0c244274907146f088d5ec82cec7d977950b852765f45ab,True,True,False,,,
42,64,attack_active_heavy,development_active_label_candidate_stream,48,16,2801481610c28324ec9a736954ae2479bdb30de163c38a62a52e44d2d119b23a,3d6f1c562aa88d842658daa3434cd47eca4930b0848c3fb1e6c25d83218c8e68,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,64,64
42,128,attack_medium_base,attack_support,96,32,9439a79e2d958cbaf9db4b83dedeae8b67cd0736841966dae47d7eeef6996c63,e8e131f8dd935563e0c244274907146f088d5ec82cec7d977950b852765f45ab,True,True,False,,,
42,128,attack_active_heavy,development_active_label_candidate_stream,96,32,67fe1f8d2e888d008c240a762698bec72c34765b17e0c651b10bc0a545a385ab,62cddf2429248c8a9f26a9f73977dcb018de82f0a22342d904c1002b86938429,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,128,128
43,64,attack_medium_base,attack_support,96,32,b5c47ac5c8866722a041b48fba1335cf1c201e69bb4d6df75fc695aba4546903,8ea69ae5b81536e79ceea26ef475343cbe2a34c95e107f1ab1266d08421ab929,True,True,False,,,
43,64,attack_active_heavy,development_active_label_candidate_stream,48,16,ecb8bd53787caba4be9301ceb80419eae06f6fa91fcec61a9c3256dcc5e54425,276ba2c0cf2504a1309e068d78460aa3b3def134537aa7143323d5366ef8bab0,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,64,64
43,128,attack_medium_base,attack_support,96,32,b5c47ac5c8866722a041b48fba1335cf1c201e69bb4d6df75fc695aba4546903,8ea69ae5b81536e79ceea26ef475343cbe2a34c95e107f1ab1266d08421ab929,True,True,False,,,
43,128,attack_active_heavy,development_active_label_candidate_stream,96,32,e9c1a6aa7b0223b9f633f8e909ee33ba8390b3b0ffe0902fb813f1bcf3a60e69,c8573b13f3c9d588c1e1e9e367f7e78ec6c362f65fed85096fe6980c275adbfa,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,128,128
44,64,attack_medium_base,attack_support,96,32,fed12c8bc5ae9b958b85b340b61a68772b4f93431c8688c5f0992e4dc49ca9dd,524ae9c639ec2f5e2b56c43c2407587d62b76daa57252666772ec494f7c0e7af,True,True,False,,,
44,64,attack_active_heavy,development_active_label_candidate_stream,48,16,fbd1bfc72c27dcc730f9bf2eb96c1d88b6a42f6d48208bc74894fc3fa7ba4f25,d559616dd8919492282bbd7d7f331afee50902258f195068102663795a6e3748,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,64,64
44,128,attack_medium_base,attack_support,96,32,fed12c8bc5ae9b958b85b340b61a68772b4f93431c8688c5f0992e4dc49ca9dd,524ae9c639ec2f5e2b56c43c2407587d62b76daa57252666772ec494f7c0e7af,True,True,False,,,
44,128,attack_active_heavy,development_active_label_candidate_stream,96,32,6ad613cd1a462a6dcf540c616e9317c01e815d378b98dd0b382f378d076a4d3c,29f5b405f4e99d6cbe4f7bd5b7ff66e917a0032975400a1d49d291f4b5e24d78,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,128,128
45,64,attack_medium_base,attack_support,96,32,4d445be084099f8d2bd0a6bf876e9d24d2a8943f058cb55d14f768051a6d92f4,2735e0d357decd7cdcecb0709613a4084b724bd0f7183df3b9f34aef1d3f640c,True,True,False,,,
45,64,attack_active_heavy,development_active_label_candidate_stream,48,16,7a78199aa42f49e70ad505ddbe098d6a1d7777668f650ecd8b6221af1429c98b,cf04492502d23b2306d3446c34d41d07480f93bee80c53f7781ef57a8b06ecde,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,64,64
45,128,attack_medium_base,attack_support,96,32,4d445be084099f8d2bd0a6bf876e9d24d2a8943f058cb55d14f768051a6d92f4,2735e0d357decd7cdcecb0709613a4084b724bd0f7183df3b9f34aef1d3f640c,True,True,False,,,
45,128,attack_active_heavy,development_active_label_candidate_stream,96,32,8f56561f0db4aff287174e2edf71f28583343d45c46a33dca34b663a72e5b8f8,72a50bdd79768cc9972b082f0453c3aa75a9da017281c8873ecc9841b5500169,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,128,128
46,64,attack_medium_base,attack_support,96,32,1e785ccc5884cf0e5d059aafd1f169fe79469c80e3ca7a3f9046b4d6130237f2,817ead46faf0bb81ee13daff47f0a00b3ae22a72922b2a2f592e2e1dcd42a599,True,True,False,,,
46,64,attack_active_heavy,development_active_label_candidate_stream,48,16,c944304561dba06bf09f9bb0ce38bbcbab871cf74ba0d32d60c8defec39738cc,654cdfab88d2820d97ce1323f7627ed84d507940878462ac1390a6ca60e54012,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,64,64
46,128,attack_medium_base,attack_support,96,32,1e785ccc5884cf0e5d059aafd1f169fe79469c80e3ca7a3f9046b4d6130237f2,817ead46faf0bb81ee13daff47f0a00b3ae22a72922b2a2f592e2e1dcd42a599,True,True,False,,,
46,128,attack_active_heavy,development_active_label_candidate_stream,96,32,ecb90c4e53055f853ea8e8f5048d5e2274fc8fde8bff2920b84370c3de6e3499,596530c4446be7f78cf38ae826df3d0e47828ebffa4df9b29d81bd7b0d171ae0,True,True,False,coverage_aware_uncovered_first_farthest_first_feature_only,128,128
