seed,active_label_budget,query_name,region_id,p75_radius,p95_radius,covered_p75,covered_p95,nearest_p50,nearest_p95
42,64,support_val_medium,attack_medium_base,4.772401332855225,6.598090171813965,0.75,0.9375,4.201249122619629,6.598090171813965
42,64,support_val_medium,attack_active_heavy,4.82930850982666,6.2568254470825195,0.0,0.0,798.0983276367188,4458.18359375
42,64,active_heavy_val,attack_medium_base,4.772401332855225,6.598090171813965,0.0,0.0,7449.2783203125,12085.990234375
42,64,active_heavy_val,attack_active_heavy,4.82930850982666,6.2568254470825195,0.75,0.9375,2.889638900756836,6.2568254470825195
42,64,medium_attack_eval_report_only,attack_medium_base,4.772401332855225,6.598090171813965,0.8071111111111111,0.9306666666666666,3.062293767929077,6.9236955642700195
42,64,medium_attack_eval_report_only,attack_active_heavy,4.82930850982666,6.2568254470825195,0.0,0.0,830.1165771484375,3889.6259765625
42,64,dev_heavy_query_report_only,attack_medium_base,4.772401332855225,6.598090171813965,0.1795,0.1795,4856.86669921875,10332.52734375
42,64,dev_heavy_query_report_only,attack_active_heavy,4.82930850982666,6.2568254470825195,0.30375,0.3975,8.522651672363281,2006.059814453125
42,128,support_val_medium,attack_medium_base,4.772401332855225,6.598090171813965,0.75,0.9375,4.201249122619629,6.598090171813965
42,128,support_val_medium,attack_active_heavy,3.289105176925659,15.518854141235352,0.0,0.0,852.6612548828125,4432.1611328125
42,128,active_heavy_val,attack_medium_base,4.772401332855225,6.598090171813965,0.0,0.0,5798.7880859375,10230.2578125
42,128,active_heavy_val,attack_active_heavy,3.289105176925659,15.518854141235352,0.75,0.9375,1.482788324356079,15.518854141235352
42,128,medium_attack_eval_report_only,attack_medium_base,4.772401332855225,6.598090171813965,0.8071111111111111,0.9306666666666666,3.062293767929077,6.9236955642700195
42,128,medium_attack_eval_report_only,attack_active_heavy,3.289105176925659,15.518854141235352,0.0,0.0,887.2308959960938,3879.591552734375
42,128,dev_heavy_query_report_only,attack_medium_base,4.772401332855225,6.598090171813965,0.1795,0.1795,4856.86669921875,10332.52734375
42,128,dev_heavy_query_report_only,attack_active_heavy,3.289105176925659,15.518854141235352,0.16875,0.635,9.048402786254883,2010.041748046875
43,64,support_val_medium,attack_medium_base,5.019055366516113,11.175592422485352,0.75,0.9375,3.858165740966797,11.175592422485352
43,64,support_val_medium,attack_active_heavy,3.4308953285217285,6.890933036804199,0.0,0.0,964.638916015625,7487.9697265625
43,64,active_heavy_val,attack_medium_base,5.019055366516113,11.175592422485352,0.0,0.0,5844.0615234375,10026.927734375
43,64,active_heavy_val,attack_active_heavy,3.4308953285217285,6.890933036804199,0.75,0.9375,1.7828959226608276,6.890933036804199
43,64,medium_attack_eval_report_only,attack_medium_base,5.019055366516113,11.175592422485352,0.856,0.9955555555555555,3.0247855186462402,6.550188064575195
43,64,medium_attack_eval_report_only,attack_active_heavy,3.4308953285217285,6.890933036804199,0.0,0.0,1005.3839111328125,1813.6583251953125
43,64,dev_heavy_query_report_only,attack_medium_base,5.019055366516113,11.175592422485352,0.17925,0.1795,4460.99609375,9200.7509765625
43,64,dev_heavy_query_report_only,attack_active_heavy,3.4308953285217285,6.890933036804199,0.1375,0.37625,9.493544578552246,1067.534912109375
43,128,support_val_medium,attack_medium_base,5.019055366516113,11.175592422485352,0.75,0.9375,3.858165740966797,11.175592422485352
43,128,support_val_medium,attack_active_heavy,3.9723150730133057,6.494067192077637,0.0,0.0,885.6163330078125,4622.0927734375
43,128,active_heavy_val,attack_medium_base,5.019055366516113,11.175592422485352,0.0,0.0,5066.7763671875,9866.1474609375
43,128,active_heavy_val,attack_active_heavy,3.9723150730133057,6.494067192077637,0.75,0.9375,1.6583874225616455,6.494067192077637
43,128,medium_attack_eval_report_only,attack_medium_base,5.019055366516113,11.175592422485352,0.856,0.9955555555555555,3.0247855186462402,6.550188064575195
43,128,medium_attack_eval_report_only,attack_active_heavy,3.9723150730133057,6.494067192077637,0.0,0.0,923.3584594726562,1227.2506103515625
43,128,dev_heavy_query_report_only,attack_medium_base,5.019055366516113,11.175592422485352,0.17925,0.1795,4460.99609375,9200.7509765625
