dimension,bin,source_group,rows,sessions,p2_hard_rate,m7_hard_rate,p2_score_q25,p2_score_median,p2_score_q75
target_ordinal_so_far,1,processed/iotsim-hydraulic-system-12.csv,147,147,0.047619047619047616,0.0,3.3114313157875386e-12,4.982001478026632e-10,7.51600680359843e-07
target_ordinal_so_far,2-4,processed/iotsim-hydraulic-system-12.csv,3,1,1.0,0.0,0.9578490257263184,0.9578490257263184,0.9578490257263184
target_ordinal_so_far,5-16,processed/iotsim-hydraulic-system-12.csv,12,1,1.0,0.0,0.9578490257263184,0.9578490257263184,0.9578490257263184
target_ordinal_so_far,17-64,processed/iotsim-hydraulic-system-12.csv,48,1,1.0,0.0,0.9578490257263184,0.9578490257263184,0.9578490257263184
target_ordinal_so_far,65+,processed/iotsim-hydraulic-system-12.csv,391,1,1.0,0.0,0.9578490257263184,0.9578490257263184,0.9578490257263184
target_ordinal_so_far,1,processed/iotsim-hydraulic-system-13.csv,149,149,0.03355704697986577,0.0,2.596296224885441e-12,4.982001478026632e-10,7.51600680359843e-07
target_ordinal_so_far,2-4,processed/iotsim-hydraulic-system-13.csv,3,1,1.0,0.0,0.9761788845062256,0.9761788845062256,0.9761788845062256
target_ordinal_so_far,5-16,processed/iotsim-hydraulic-system-13.csv,12,1,1.0,0.0,0.9761788845062256,0.9761788845062256,0.9761788845062256
target_ordinal_so_far,17-64,processed/iotsim-hydraulic-system-13.csv,48,1,1.0,0.0,0.9761788845062256,0.9761788845062256,0.9761788845062256
target_ordinal_so_far,65+,processed/iotsim-hydraulic-system-13.csv,385,1,1.0,0.0,0.9761788845062256,0.9761788845062256,0.9761788845062256
target_ordinal_so_far,1,processed/iotsim-hydraulic-system-14.csv,149,149,0.040268456375838924,0.0,2.458597561649789e-12,4.982001478026632e-10,7.51600680359843e-07
target_ordinal_so_far,2-4,processed/iotsim-hydraulic-system-14.csv,3,1,1.0,0.0,0.9729325771331788,0.9729325771331788,0.9729325771331788
target_ordinal_so_far,5-16,processed/iotsim-hydraulic-system-14.csv,12,1,1.0,0.0,0.9729325771331788,0.9729325771331788,0.9729325771331788
target_ordinal_so_far,17-64,processed/iotsim-hydraulic-system-14.csv,48,1,1.0,0.0,0.9729325771331788,0.9729325771331788,0.9729325771331788
target_ordinal_so_far,65+,processed/iotsim-hydraulic-system-14.csv,386,1,1.0,0.0,0.9729325771331788,0.9729325771331788,0.9729325771331788
target_ordinal_so_far,1,processed/iotsim-hydraulic-system-15.csv,148,148,0.033783783783783786,0.0,2.3470444880137327e-12,1.9192861189232246e-10,7.51600680359843e-07
target_ordinal_so_far,2-4,processed/iotsim-hydraulic-system-15.csv,3,1,1.0,0.0,0.973518133163452,0.973518133163452,0.973518133163452
target_ordinal_so_far,5-16,processed/iotsim-hydraulic-system-15.csv,12,1,1.0,0.0,0.973518133163452,0.973518133163452,0.973518133163452
target_ordinal_so_far,17-64,processed/iotsim-hydraulic-system-15.csv,48,1,1.0,0.0,0.973518133163452,0.973518133163452,0.973518133163452
target_ordinal_so_far,65+,processed/iotsim-hydraulic-system-15.csv,390,1,1.0,0.0,0.973518133163452,0.973518133163452,0.973518133163452
