job_index,model_family,seed,support_weight,label
1,histgb,42,64.0,histgb_support64_seed42
2,histgb,43,64.0,histgb_support64_seed43
3,histgb,44,64.0,histgb_support64_seed44
4,histgb,42,256.0,histgb_support256_seed42
5,histgb,43,256.0,histgb_support256_seed43
6,histgb,44,256.0,histgb_support256_seed44
7,logreg,42,-1.0,logreg_balanced
