holdout,method,fpr_target,eval_ood_quantile_threshold,attack_tpr_at_eval_fpr,official_threshold,official_attack_detection,official_ood_alarm,attack_vs_ood_q99_margin_q25,pairwise_attack_below_ood_tail_rate
holdout_bin_5,A1_weighted_LR,0.005,-4.5067148668679,0.9680729760547321,-4.109648427469117,0.9680729760547321,0.0039,10.998009652738993,0.03361459521094641
holdout_bin_5,A1_weighted_LR,0.01,-5.270678233050242,0.9680729760547321,-4.109648427469117,0.9680729760547321,0.0039,10.998009652738993,0.03361459521094641
holdout_bin_5,A1_weighted_LR,0.02,-5.7148500058697635,0.9680729760547321,-4.109648427469117,0.9680729760547321,0.0039,10.998009652738993,0.03361459521094641
holdout_bin_5,A2_linear_SVM,0.005,-4260.576173798059,0.8597491448118586,-3019.632651337058,0.8015963511972634,0.0032,3363.3243652343644,0.21783352337514253
holdout_bin_5,A2_linear_SVM,0.01,-5505.533602997217,0.8973774230330672,-3019.632651337058,0.8015963511972634,0.0032,3363.3243652343644,0.21783352337514253
holdout_bin_5,A2_linear_SVM,0.02,-6300.494433075352,0.9258836944127709,-3019.632651337058,0.8015963511972634,0.0032,3363.3243652343644,0.21783352337514253
holdout_bin_5,V1,0.005,-3.2751616480452026,0.9806157354618016,-2.4168281315697695,0.9669327251995439,0.0019,9.69190177183762,0.08127708095781072
holdout_bin_5,V1,0.01,-3.7457247007405496,0.9828962371721779,-2.4168281315697695,0.9669327251995439,0.0019,9.69190177183762,0.08127708095781072
holdout_bin_5,V1,0.02,-4.2499558973360925,0.9874572405929305,-2.4168281315697695,0.9669327251995439,0.0019,9.69190177183762,0.08127708095781072
holdout_bin_5,V2_top64_LR,0.005,-4.249335507954588,0.9680729760547321,-4.102580408336336,0.9680729760547321,0.0045,10.697407545939612,0.033683010262257694
holdout_bin_5,V2_top64_LR,0.01,-4.981127021815484,0.9680729760547321,-4.102580408336336,0.9680729760547321,0.0045,10.697407545939612,0.033683010262257694
holdout_bin_5,V2_top64_LR,0.02,-5.506004772022621,0.9680729760547321,-4.102580408336336,0.9680729760547321,0.0045,10.697407545939612,0.033683010262257694
holdout_bin_6,A1_weighted_LR,0.005,-4.418870713507694,0.97002997002997,-4.118493743169519,0.97002997002997,0.0044,11.29753106515085,0.03163836163836164
holdout_bin_6,A1_weighted_LR,0.01,-5.179107596513638,0.97002997002997,-4.118493743169519,0.97002997002997,0.0044,11.29753106515085,0.03163836163836164
holdout_bin_6,A1_weighted_LR,0.02,-5.669146666229431,0.97002997002997,-4.118493743169519,0.97002997002997,0.0044,11.29753106515085,0.03163836163836164
