holdout,method,threshold,attack_high_detection,ood_high_alarm,attack_miss_rate_near_threshold,attack_miss_rate_far_below_threshold,ood_tail_distance_q99_to_threshold,attack_score_q10,attack_score_q25,attack_score_q50,attack_score_q75,attack_score_q90,ood_score_q90,ood_score_q95,ood_score_q975,ood_score_q99,ood_score_q1000,attack_margin_q10,attack_margin_q25,attack_margin_q50
holdout_bin_5,A1_weighted_LR,-4.109648427469117,0.9680729760547321,0.0039,0.0,0.03192702394526796,-1.1610298055811255,2.73136415162183,5.727331419688751,7.807872755360171,9.8640115662131,12.783789579202875,-6.6136601502167665,-6.161711366915973,-5.839295815737272,-5.270678233050242,1.7436144601992716,6.841012579090947,9.836979847157867,11.917521182829287
holdout_bin_5,A2_linear_SVM,-3019.632651337058,0.8015963511972634,0.0032,0.019384264538198404,0.1790193842645382,-2485.9009516601586,-5588.259237762852,-2142.2092377628524,540.5153716121476,2541.5886137996476,4481.577871612147,-8610.75706491129,-7040.598031708166,-6477.985458465979,-5505.533602997217,3287.1403716121476,-2568.626586425794,877.4234135742058,3560.148022949206
holdout_bin_5,V1,-2.4168281315697695,0.9669327251995439,0.0019,0.020524515393386546,0.012542759407069556,-1.3288965691707801,0.24820012235648586,5.94617707109707,14.272930773095498,18.913128323048383,22.65999566864106,-5.287800627507937,-4.80737683961739,-4.385199480128043,-3.7457247007405496,43.58401970551686,2.6650282539262555,8.363005202666839,16.68975890466527
holdout_bin_5,V2_top64_LR,-4.102580408336336,0.9680729760547321,0.0045,0.0,0.03192702394526796,-0.8785466134791484,2.8194067522841504,5.716280524124128,7.717872774832905,9.778608593451015,12.76979286239054,-6.444799223214262,-5.974042588845139,-5.647062641331718,-4.981127021815484,2.0137693576116185,6.921987160620486,9.818860932460463,11.820453183169242
holdout_bin_6,A1_weighted_LR,-4.118493743169519,0.97002997002997,0.0044,0.0,0.029970029970029972,-1.060613853344119,3.0399173866115383,6.118423468637211,8.265646154609197,10.889801461500436,13.908892688440904,-6.599869426978868,-6.152119571148601,-5.801097072422272,-5.179107596513638,1.371754081072977,7.158411129781057,10.23691721180673,12.384139897778716
holdout_bin_6,A2_linear_SVM,-2158.8799556712916,0.8751248751248751,0.0061,0.02097902097902098,0.1038961038961039,-563.3593944091763,-2567.511923322658,-407.5788178539078,1102.5676665210922,2922.613564958592,4634.619424333592,-5674.666269025783,-5137.846188459377,-4196.945944318752,-2722.239350080468,1952.8108305835922,-408.63196765136627,1751.3011378173837,3261.4476221923837
holdout_bin_6,V1,-2.3665623121180643,0.9790209790209791,0.0019,0.015984015984015984,0.004995004995004995,-1.46288071263247,0.4131032783300821,5.854535227445313,15.108542884692893,20.04249506214876,26.454671085053377,-5.301765647580616,-4.804107534073114,-4.371651296431454,-3.8294430247505344,43.027360451102666,2.7796655904481464,8.221097539563377,17.475105196810958
holdout_bin_6,V2_top64_LR,-4.118561382207412,0.97002997002997,0.0045,0.0,0.029970029970029972,-0.8635833250956004,3.1229284332996947,6.1328291175095195,8.19991093407971,10.84016782674108,13.91623806197763,-6.444504478861959,-5.98551680058709,-5.6539125019066425,-4.9821447073030125,1.4960351231101239,7.241489815507107,10.251390499716932,12.318472316287123
holdout_bin_7,A1_weighted_LR,-4.0429225793898675,0.9780893952673094,0.0036,0.0,0.021910604732690624,-1.2320092685158155,4.052343618778,6.041462323251416,8.055339706100625,11.181431938780214,13.93045709489818,-6.674288099561284,-6.2766562734059,-5.903326145297788,-5.274931847905683,5.634679532120403,8.095266198167867,10.084384902641283,12.098262285490492
holdout_bin_7,A2_linear_SVM,-3841.6572447287776,0.7055214723926381,0.0145,0.022787028921998246,0.27169149868536374,1255.792586425794,-8357.719892677997,-4787.2941114279965,-1008.5079786154965,2698.7263963845035,5334.5779588845035,-7918.241670021742,-6876.681489357685,-5770.607050881125,-2585.8646583029836,9337.187333884503,-4516.062647949218,-945.6368666992189,2833.149266113281
holdout_bin_7,V1,-2.3126683191097466,0.9973707274320771,0.002,0.0026292725679228747,0.0,-1.4853254283125685,10.877425582472732,16.309301008216003,24.5537912663117,31.187578040393156,35.390499017705885,-5.287066782465806,-4.786695861510544,-4.377393309055921,-3.797993747422315,49.445945344367026,13.190093901582479,18.62196932732575,26.866459585421445
holdout_bin_7,V2_top64_LR,-4.067457114802276,0.9780893952673094,0.0041,0.0,0.021910604732690624,-0.9129967053434678,4.121586973734859,6.054536045510888,8.066042836930427,11.1327132942075,13.981022642917813,-6.579887147068297,-6.087125099860741,-5.674022657173494,-4.980453820145744,5.532134246892108,8.189044088537134,10.121993160313163,12.133499951732702
