seed,role,rows,attack_core_rate,benign_core_rate,mixed_conflict_uncapped_rate,unknown_sparse_uncapped_rate,uses_report_only_for_purity_threshold
42,id_calib,600,0.08333333333333333,1.0,0.0016666666666666668,0.0,False
42,ood_val,1500,0.0,1.0,0.0,0.0,False
42,ood_stress_val,2850,0.02175438596491228,0.8901754385964912,0.0,0.039649122807017545,False
42,support_medium_val,25,0.8,1.0,0.8,0.0,False
42,support_heavy_val,8,0.75,1.0,0.75,0.0,False
42,pseudo_medium_query,28,0.35714285714285715,1.0,0.35714285714285715,0.0,False
42,pseudo_heavy_query,32,0.53125,1.0,0.53125,0.0,False
42,medium_attack_eval_report_only,2250,0.8484444444444444,0.9982222222222222,0.8386666666666667,0.0013333333333333333,False
42,dev_heavy_query_report_only,4000,0.40175,1.0,0.40175,0.0,False
42,final_ood_report_only,3000,0.053,0.996,0.0033333333333333335,0.0023333333333333335,False
43,id_calib,600,0.26666666666666666,1.0,0.0016666666666666668,0.0,False
43,ood_val,1500,0.14333333333333334,1.0,0.0,0.0,False
43,ood_stress_val,2850,0.3736842105263158,0.8901754385964912,0.0,0.039649122807017545,False
43,support_medium_val,16,0.875,1.0,0.875,0.0,False
43,support_heavy_val,8,0.875,1.0,0.875,0.0,False
43,pseudo_medium_query,66,0.7878787878787878,1.0,0.7727272727272727,0.0,False
43,pseudo_heavy_query,35,0.0,1.0,0.0,0.0,False
43,medium_attack_eval_report_only,2250,0.9742222222222222,0.9982222222222222,0.9493333333333334,0.0013333333333333333,False
43,dev_heavy_query_report_only,4000,0.2835,1.0,0.2835,0.0,False
43,final_ood_report_only,3000,0.443,0.996,0.018333333333333333,0.0023333333333333335,False
44,id_calib,600,0.535,1.0,0.0,0.0,False
44,ood_val,1500,0.14333333333333334,1.0,0.0,0.0,False
44,ood_stress_val,2850,0.44491228070175437,0.8901754385964912,0.0003508771929824561,0.039649122807017545,False
44,support_medium_val,24,0.9166666666666666,1.0,0.875,0.0,False
44,support_heavy_val,9,0.7777777777777778,1.0,0.7777777777777778,0.0,False
44,pseudo_medium_query,34,0.9411764705882353,1.0,0.8823529411764706,0.0,False
44,pseudo_heavy_query,31,0.4838709677419355,1.0,0.4838709677419355,0.0,False
44,medium_attack_eval_report_only,2250,0.996,0.9982222222222222,0.9902222222222222,0.0013333333333333333,False
44,dev_heavy_query_report_only,4000,0.33375,1.0,0.33375,0.0,False
44,final_ood_report_only,3000,0.48433333333333334,0.996,0.0016666666666666668,0.0023333333333333335,False
45,id_calib,600,0.09833333333333333,1.0,0.0,0.0,False
45,ood_val,1500,0.048666666666666664,1.0,0.0,0.0,False
45,ood_stress_val,2850,0.06280701754385964,0.8901754385964912,0.0,0.039649122807017545,False
45,support_medium_val,25,0.88,1.0,0.88,0.0,False
45,support_heavy_val,8,0.75,1.0,0.75,0.0,False
45,pseudo_medium_query,28,0.39285714285714285,1.0,0.35714285714285715,0.0,False
45,pseudo_heavy_query,33,0.7878787878787878,1.0,0.7878787878787878,0.0,False
45,medium_attack_eval_report_only,2250,0.828,0.9982222222222222,0.8026666666666666,0.0013333333333333333,False
45,dev_heavy_query_report_only,4000,0.65275,1.0,0.65275,0.0,False
45,final_ood_report_only,3000,0.09,0.996,0.0006666666666666666,0.0023333333333333335,False
46,id_calib,600,0.04833333333333333,1.0,0.0,0.0,False
46,ood_val,1500,0.0,1.0,0.0,0.0,False
46,ood_stress_val,2850,0.023859649122807018,0.8901754385964912,0.0,0.039649122807017545,False
46,support_medium_val,16,0.625,1.0,0.625,0.0,False
46,support_heavy_val,8,0.375,1.0,0.375,0.0,False
46,pseudo_medium_query,66,0.030303030303030304,1.0,0.015151515151515152,0.0,False
46,pseudo_heavy_query,35,0.0,1.0,0.0,0.0,False
46,medium_attack_eval_report_only,2250,0.6226666666666667,0.9982222222222222,0.6208888888888889,0.0013333333333333333,False
46,dev_heavy_query_report_only,4000,0.1675,1.0,0.1675,0.0,False
46,final_ood_report_only,3000,0.05533333333333333,0.996,0.010333333333333333,0.0023333333333333335,False
