seed,active_label_budget,bank_name,source_roles,train_rows,val_rows,prototype_budget,prototype_count,prototype_local_indices_sha256,radius_quantile,radius,val_distance_mean,val_distance_max,uses_final_ood,uses_attack_eval,uses_dev_heavy_query
42,128,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.95,9.265462875366211,5.714221000671387,10.647994041442871,False,False,False
42,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.95,5098.49853515625,8371.068359375,7412407.0,False,False,False
42,128,attack_medium,attack_support_medium_train/val,75,25,32,32,6f3964666ea063ecedb2f8f06b66cc61f357eb621cf66d66b999ade6fc78662a,0.95,11.357157707214355,6.765258312225342,14.918617248535156,False,False,False
42,128,attack_heavy,active_heavy_support_train/val,48,17,32,32,0dd2844dddf8795919f1c836e5f6adacee407dc213bb98805dac6dbd845bcbf0,0.95,49.13176727294922,14.610191345214844,204.6728515625,False,False,False
42,128,id,id_fit/id_calib,2400,600,64,64,e7af1f4705da3fae4363148c11333843e7b6f5af783a6e09ba52fc10155f684b,0.95,6.288252830505371,4.056262969970703,8.036429405212402,False,False,False
42,128,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,64,64,19f2833829fce6c5fafe59411152944339cfdd98535392b19c9a01d996e4670e,0.95,5098.49853515625,8369.927734375,7412407.0,False,False,False
42,128,attack_medium,attack_support_medium_train/val,75,25,64,64,3423301a6b260ace37048abce1193e82a967f46457f61d1598fa26237a01666a,0.95,10.94919204711914,6.019440174102783,14.91745662689209,False,False,False
42,128,attack_heavy,active_heavy_support_train/val,48,17,64,48,315e8ec92e8160417b335cafd0d075b7bd1af8e94c41e3341dafba123003ff5b,0.95,49.13176727294922,14.363693237304688,204.6728515625,False,False,False
43,64,id,id_fit/id_calib,2400,600,32,32,dbe5eb5fc066bd2af6c4dd46e6b53c8aff74cd7811a66a6a5b063959f4a75d73,0.95,9.265462875366211,5.714221000671387,10.647994041442871,False,False,False
43,64,ood,ood_train/ood_val/ood_stress_train/ood_stress_val,4350,4350,32,32,354503cc80d75dee59950820289ac7ac2155348c54bdecebbcc3f6b6d90b4332,0.95,5098.49853515625,8371.068359375,7412407.0,False,False,False
43,64,attack_medium,attack_support_medium_train/val,46,16,32,32,e4ebdcfd615a124f866a92e67ab5c4f4526d349b533002afa63bfec4677d98d4,0.95,17.863746643066406,7.864158630371094,30.0657958984375,False,False,False
43,64,attack_heavy,active_heavy_support_train/val,46,16,32,32,56a1d68eacbf7c92d29565547e188330ac8ff98ff7c8992376aced73070bed13,0.95,4.2270827293396,2.3053669929504395,5.170975208282471,False,False,False
