seed,role,rows,raw_alarm_rate,hard_alarm_rate,suppress_rate,review_conflict_rate,review_unknown_rate,review_any_rate,review_overflow_rate,strong_attack_core_rate,near_attack_rate,near_benign_rate,conflict_uncapped_rate,unknown_sparse_uncapped_rate,attack_cov_p50,attack_cov_p95,benign_cov_p50,benign_cov_p95,score_strength_p50,score_strength_p95
42,id_calib,600,0.01,0.0,0.008333333333333333,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.0,0.08333333333333333,1.0,0.0016666666666666668,0.0,1.8156027793884277,11.646875381469727,0.0016755552496761084,0.016941959038376808,-0.012980598704806013,-0.004745154125325257
42,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.01679229736328,15969.7861328125,0.0006702877581119537,0.0009979739552363753,-0.012980598704806013,-0.012193380960848786
42,ood_stress_val,2850,0.2463157894736842,0.0,0.05719298245614035,0.0,0.009824561403508772,0.009824561403508772,0.1792982456140351,0.0,0.02175438596491228,0.8901754385964912,0.0,0.039649122807017545,2.255985736846924,843.4833374023438,0.0010402544867247343,1.2114462852478027,-0.012980598704806013,0.9395191281614712
42,support_medium_val,25,1.0,0.0,0.12,0.0,0.0,0.0,0.88,0.0,0.8,1.0,0.8,0.0,0.5543331503868103,1.0000001192092896,0.0014622882008552551,0.004185724072158337,0.886824804699322,0.9535880436490414
42,support_heavy_val,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,0.0,0.1916935294866562,1.0,0.02106861211359501,0.02134750224649906,0.9395191281614712,0.9395191281614712
42,pseudo_medium_query,28,0.7142857142857143,0.0,0.17857142857142858,0.0,0.0,0.0,0.5357142857142857,0.0,0.35714285714285715,1.0,0.35714285714285715,0.0,0.9573903679847717,1.7266910076141357,0.0012318696826696396,0.0020367992110550404,0.8486136914238418,0.9542416583590586
42,pseudo_heavy_query,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.53125,1.0,0.53125,0.0,0.693869411945343,4.358412742614746,0.03339703381061554,0.03361429646611214,0.9395191281614712,0.9395191281614712
42,medium_attack_eval_report_only,2250,0.9497777777777778,0.0,0.08133333333333333,0.009777777777777778,0.0,0.009777777777777778,0.8586666666666667,0.0,0.8484444444444444,0.9982222222222222,0.8386666666666667,0.0013333333333333333,0.4912947416305542,0.9462600946426392,0.0011299899779260159,0.0016506327083334327,0.831019657932076,0.9405415619026114
42,dev_heavy_query_report_only,4000,0.9995,0.0,0.0,0.01,0.0,0.01,0.9895,0.0,0.40175,1.0,0.40175,0.0,0.9047914743423462,76.41280364990234,0.021243847906589508,0.03358019143342972,0.9395191281614712,0.9395191281614712
42,final_ood_report_only,3000,0.35433333333333333,0.0,0.216,0.0033333333333333335,0.006666666666666667,0.01,0.12833333333333333,0.0,0.053,0.996,0.0033333333333333335,0.0023333333333333335,1.4827073812484741,679.82080078125,0.0010671111522242427,0.006512838415801525,-0.012134207508128044,0.9395191281614712
43,id_calib,600,0.0016666666666666668,0.0,0.0,0.0016666666666666668,0.0,0.0016666666666666668,0.0,0.0,0.26666666666666666,1.0,0.0016666666666666668,0.0,1.1097123622894287,36.4329719543457,0.0016755552496761084,0.016941959038376808,-0.004234716531844611,-0.004216712493126265
43,ood_val,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14333333333333334,1.0,0.0,0.0,30.742916107177734,41285.203125,0.0006702877581119537,0.0009979739552363753,-0.004234716531844611,-0.0037360713800329752
43,ood_stress_val,2850,0.256140350877193,0.0,0.06701754385964913,0.0,0.009824561403508772,0.009824561403508772,0.1792982456140351,0.0,0.3736842105263158,0.8901754385964912,0.0,0.039649122807017545,2.0870370864868164,959.4491577148438,0.0010402544867247343,1.2114462852478027,-0.004234716531844611,0.7998852202799267
43,support_medium_val,16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.875,1.0,0.875,0.0,0.31490516662597656,1.0,0.0013529807329177856,0.0018647442338988185,0.7240918157473923,0.7972848828580847
43,support_heavy_val,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.875,1.0,0.875,0.0,0.41824644804000854,1.0,0.03341401740908623,0.03363093361258507,0.9472107180775263,0.9472107180775263
43,pseudo_medium_query,66,0.9696969696969697,0.0,0.07575757575757576,0.0,0.0,0.0,0.8939393939393939,0.0,0.7878787878787878,1.0,0.7727272727272727,0.0,0.5167568922042847,2.53823184967041,0.0013626350555568933,0.018900256603956223,0.5144861745246068,0.7972848828580847
43,pseudo_heavy_query,35,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.2866218090057373,3.8087689876556396,0.02093580923974514,0.021359078586101532,0.9472107180775263,0.9472107180775263
43,medium_attack_eval_report_only,2250,0.9715555555555555,0.0,0.0,0.009777777777777778,0.0,0.009777777777777778,0.9617777777777777,0.0,0.9742222222222222,0.9982222222222222,0.9493333333333334,0.0013333333333333333,0.28110381960868835,0.49368566274642944,0.0011299899779260159,0.0016506327083334327,0.6112775793724003,0.7972848828580847
43,dev_heavy_query_report_only,4000,0.9995,0.0,0.0,0.01,0.0,0.01,0.9895,0.0,0.2835,1.0,0.2835,0.0,1.3495898246765137,40.269798278808594,0.021243847906589508,0.03358019143342972,0.9472107180775263,0.9472107180775263
43,final_ood_report_only,3000,0.361,0.0,0.19533333333333333,0.01,0.0,0.01,0.15566666666666668,0.0,0.443,0.996,0.018333333333333333,0.0023333333333333335,1.3799653053283691,633.7101440429688,0.0010671111522242427,0.006512838415801525,-0.004234716531844611,0.7998852202799267
