source_path,file_type,contains_timestamp,contains_packet_order,contains_bin_id,contains_row_id,contains_split_label,contains_support_id,contains_eval_id,contains_attack_family,contains_capture_id,usable_for_temporal_split,usable_for_leakage_audit,notes
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/claim_boundary.md,md,no,no,yes,no,yes,no,no,no,no,partial,yes,bin/split metadata only; raw timestamp or packet-order missing
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/config.json,json,no,no,yes,no,yes,no,no,no,no,partial,yes,bin/split metadata only; raw timestamp or packet-order missing
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/consistency_check_existing_settings.csv,csv,no,no,no,no,no,no,no,no,no,no,no,no target metadata fields detected in header/head
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/doc_update_patch_suggestion.md,md,no,no,yes,no,no,no,no,no,no,partial,yes,bin/split metadata only; raw timestamp or packet-order missing
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/locked_validation_asset_report.csv,csv,no,no,yes,no,no,no,no,no,no,partial,yes,bin/split metadata only; raw timestamp or packet-order missing
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/locked_validation_asset_report.md,md,no,no,yes,no,yes,no,no,no,no,partial,yes,bin/split metadata only; raw timestamp or packet-order missing
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/locked_validation_success_table.md,md,no,no,yes,no,yes,no,no,no,no,partial,yes,bin/split metadata only; raw timestamp or packet-order missing
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/locked_validation_success_wide.csv,csv,no,no,no,no,no,no,no,no,no,no,no,no target metadata fields detected in header/head
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/low_fpr_metrics_summary.csv,csv,no,no,no,no,no,no,no,no,no,no,no,no target metadata fields detected in header/head
runs/issue23_locked_validation_for_enhanced_v2_top64_2026-05-18/manifest.csv,csv,no,no,no,no,no,no,no,no,no,no,no,no target metadata fields detected in header/head
