route,epoch,loss,ce,supcon,rex,held_value
H3_c1_supcon_rex_proto,1,0.5614907244841257,0.0026086538564413786,5.587736050287883,0.0004338436053024086,iotsim-stream-consumer
H3_c1_supcon_rex_proto,2,0.5572284211715063,0.0024960428127087653,5.54566244284312,0.0006644746404541232,iotsim-stream-consumer
H3_c1_supcon_rex_proto,3,0.5550117095311483,0.0023702192896356187,5.525124351183574,0.000516169575080716,iotsim-stream-consumer
H3_c1_supcon_rex_proto,4,0.5536526342233022,0.002241967498169591,5.513062755266826,0.0004175371968090739,iotsim-stream-consumer
H3_c1_supcon_rex_proto,5,0.5525769293308258,0.0021172029664739966,5.503754496574402,0.0003370423157901259,iotsim-stream-consumer
H3_c1_supcon_rex_proto,6,0.5516153375307719,0.0019864000496454537,5.495884656906128,0.00016181966942818704,iotsim-stream-consumer
H3_c1_supcon_rex_proto,7,0.5509234021107355,0.001868810853920877,5.489961663881938,0.0002336532925018009,iotsim-stream-consumer
H3_c1_supcon_rex_proto,8,0.550586998462677,0.0017582763199849676,5.487671136856079,0.0002464180716082269,iotsim-stream-consumer
H3_c1_supcon_rex_proto,9,0.5503181864817938,0.0016416505483600001,5.486411054929097,0.00014167991595037677,iotsim-stream-consumer
H3_c1_supcon_rex_proto,10,0.550338938832283,0.0015340712173686673,5.4875956773757935,0.0001811529614947164,iotsim-stream-consumer
H3_c1_supcon_rex_proto,11,0.5497868706782659,0.0014404239676271875,5.483203848203023,0.00010418538839129798,iotsim-stream-consumer
H3_c1_supcon_rex_proto,12,0.5495397796233495,0.0013522874699750294,5.481602390607198,0.0001089981052161404,iotsim-stream-consumer
H3_c1_supcon_rex_proto,13,0.5494906703631083,0.0012669003626797348,5.4820313056310015,8.253347495923435e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,14,0.5494604806105295,0.001194489886984229,5.482402642567952,0.00010286327840599203,iotsim-stream-consumer
H3_c1_supcon_rex_proto,15,0.5491729080677032,0.0011181593533062066,5.480455756187439,3.667907172196413e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,16,0.5493192126353582,0.001059818867361173,5.482415437698364,7.13739033778582e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,17,0.5490726182858149,0.0009988139014846336,5.480541348457336,7.865456026234785e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,18,0.5490023791790009,0.0009369338610364745,5.480540990829468,4.533003936178318e-05,iotsim-stream-consumer
H3_c1_supcon_rex_proto,19,0.5490646163622538,0.0008873175538610667,5.481593132019043,7.190272422752386e-05,iotsim-stream-consumer
