held_value,route,calib_role,rows,attack_q99,proto_margin_q99,review_score_q99,support_attack_q05,support_proto_margin_q05,attack_threshold,proto_margin_threshold,review_score_threshold
iotsim-stream-consumer,H1_c1_mlp_ce,id_calib,4000,0.08621519617736338,-2.6617365578189496,2.8416254088073036,,,,,
iotsim-stream-consumer,H1_c1_mlp_ce,ood_val,4000,0.0759410884976387,-2.7908983526728117,3.0079251935798674,,,,,
iotsim-stream-consumer,H1_c1_mlp_ce,ood_stress,0,,,,,,,,
iotsim-stream-consumer,H1_c1_mlp_ce,support_val,11,,,,0.788946807384491,2.4839219273999333,0.08621519617736338,-2.6617365578189496,3.0079251935798674
iotsim-stream-consumer,H2_c1_supcon_proto,id_calib,4000,0.1265813510119915,-2.72528204806149,3.0692045332724227,,,,,
iotsim-stream-consumer,H2_c1_supcon_proto,ood_val,4000,0.08725326642394066,-2.8541518061049285,3.166640422642231,,,,,
iotsim-stream-consumer,H2_c1_supcon_proto,ood_stress,0,,,,,,,,
iotsim-stream-consumer,H2_c1_supcon_proto,support_val,11,,,,0.7178536355495453,2.3401003628969193,0.1265813510119915,-2.72528204806149,3.166640422642231
iotsim-stream-consumer,H3_c1_supcon_rex_proto,id_calib,4000,0.13026158139109612,-2.7262431693822147,3.0718159790104256,,,,,
iotsim-stream-consumer,H3_c1_supcon_rex_proto,ood_val,4000,0.09344579502940177,-2.8521495464164763,3.1646882947534323,,,,,
iotsim-stream-consumer,H3_c1_supcon_rex_proto,ood_stress,0,,,,,,,,
iotsim-stream-consumer,H3_c1_supcon_rex_proto,support_val,11,,,,0.7087129056453705,2.3364542722702026,0.13026158139109612,-2.7262431693822147,3.1646882947534323
iotsim-stream-consumer,H4_c1_supcon_rex_proto_selective_budget,id_calib,4000,0.13026158139109612,-2.7262431693822147,3.0718159790104256,,,,,
iotsim-stream-consumer,H4_c1_supcon_rex_proto_selective_budget,ood_val,4000,0.09344579502940177,-2.8521495464164763,3.1646882947534323,,,,,
iotsim-stream-consumer,H4_c1_supcon_rex_proto_selective_budget,ood_stress,0,,,,,,,,
iotsim-stream-consumer,H4_c1_supcon_rex_proto_selective_budget,support_val,11,,,,0.7087129056453705,2.3364542722702026,0.13026158139109612,-2.7262431693822147,3.1646882947534323
iotsim-hydraulic-system,H1_c1_mlp_ce,id_calib,4000,0.0582877491787076,-2.5980338420136833,2.7504885087913133,,,,,
iotsim-hydraulic-system,H1_c1_mlp_ce,ood_val,0,,,,,,,,
iotsim-hydraulic-system,H1_c1_mlp_ce,ood_stress,4000,0.05397742804139852,-2.5851308253593746,2.7712940940842965,,,,,
iotsim-hydraulic-system,H1_c1_mlp_ce,support_val,11,,,,0.8407758474349976,2.4120085816830397,0.0582877491787076,-2.5851308253593746,2.7712940940842965
iotsim-hydraulic-system,H2_c1_supcon_proto,id_calib,4000,0.06620828360319138,-2.5297682628640907,2.725067404577276,,,,,
iotsim-hydraulic-system,H2_c1_supcon_proto,ood_val,0,,,,,,,,
iotsim-hydraulic-system,H2_c1_supcon_proto,ood_stress,4000,0.0580718564242124,-2.5575444187130785,2.7681798342231194,,,,,
iotsim-hydraulic-system,H2_c1_supcon_proto,support_val,11,,,,0.8318456709384918,2.344334484776482,0.06620828360319138,-2.5297682628640907,2.7681798342231194
iotsim-hydraulic-system,H3_c1_supcon_rex_proto,id_calib,4000,0.18342165797948837,-2.553750160299242,2.9430427836626767,,,,,
iotsim-hydraulic-system,H3_c1_supcon_rex_proto,ood_val,0,,,,,,,,
iotsim-hydraulic-system,H3_c1_supcon_rex_proto,ood_stress,4000,0.14686797752976416,-2.6322852490283553,3.001932764186058,,,,,
iotsim-hydraulic-system,H3_c1_supcon_rex_proto,support_val,11,,,,0.7178690433502197,2.3818464600481093,0.18342165797948837,-2.553750160299242,3.001932764186058
iotsim-hydraulic-system,H4_c1_supcon_rex_proto_selective_budget,id_calib,4000,0.18342165797948837,-2.553750160299242,2.9430427836626767,,,,,
iotsim-hydraulic-system,H4_c1_supcon_rex_proto_selective_budget,ood_val,0,,,,,,,,
iotsim-hydraulic-system,H4_c1_supcon_rex_proto_selective_budget,ood_stress,4000,0.14686797752976416,-2.6322852490283553,3.001932764186058,,,,,
iotsim-hydraulic-system,H4_c1_supcon_rex_proto_selective_budget,support_val,11,,,,0.7178690433502197,2.3818464600481093,0.18342165797948837,-2.553750160299242,3.001932764186058
domotic-monitor,H1_c1_mlp_ce,id_calib,4000,0.05668536573648453,-2.625844995034859,2.7638665685988957,,,,,
domotic-monitor,H1_c1_mlp_ce,ood_val,4000,0.05335950218141077,-2.64986514961347,2.796508214133792,,,,,
domotic-monitor,H1_c1_mlp_ce,ood_stress,4000,0.050959277190268035,-2.577214512387291,2.745453030656208,,,,,
domotic-monitor,H1_c1_mlp_ce,support_val,11,,,,0.8483186364173889,2.4837977830320597,0.05668536573648453,-2.577214512387291,2.796508214133792
domotic-monitor,H2_c1_supcon_proto,id_calib,4000,0.06547531813383102,-2.5423223499953753,2.7317073293030263,,,,,
domotic-monitor,H2_c1_supcon_proto,ood_val,4000,0.05970547694712877,-2.591496251486242,2.7716225670929995,,,,,
domotic-monitor,H2_c1_supcon_proto,ood_stress,4000,0.05364693343639369,-2.561225543133915,2.75311420284037,,,,,
domotic-monitor,H2_c1_supcon_proto,support_val,11,,,,0.8361420929431915,2.3537451662123203,0.06547531813383102,-2.5423223499953753,2.7716225670929995
domotic-monitor,H3_c1_supcon_rex_proto,id_calib,4000,0.1777885933220386,-2.4929460936784746,2.88329167895019,,,,,
domotic-monitor,H3_c1_supcon_rex_proto,ood_val,4000,0.14606030747294427,-2.694236474544742,2.9927677042828873,,,,,
domotic-monitor,H3_c1_supcon_rex_proto,ood_stress,4000,0.1311924536526203,-2.688568815328181,3.0279779999679883,,,,,
domotic-monitor,H3_c1_supcon_rex_proto,support_val,11,,,,0.7417504191398621,2.3651654506102204,0.1777885933220386,-2.4929460936784746,3.0279779999679883
