route,held_value,role,phase,role_kind,rows,hard_alarm_rate,raw_alarm_rate,review_rate,desired_hard_direction,error_rate_for_role,attack_threshold,proto_margin_threshold,review_score_threshold,attack_score_mean,proto_margin_mean
H2_c1_supcon_proto,iotsim-hydraulic-system,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-hydraulic-system,ood_val,select,benign_ood,4000,0.99975,0.99975,0.0,low,0.99975,0.06620828360319138,-2.5297682628640907,2.7681798342231194,0.20410616521351038,-1.3074098692387341
H2_c1_supcon_proto,iotsim-hydraulic-system,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-hydraulic-system,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-hydraulic-system,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-hydraulic-system,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-hydraulic-system,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-hydraulic-system,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,ood_val,select,benign_ood,4000,0.99575,0.99575,0.0,low,0.99575,0.18342165797948837,-2.553750160299242,3.001932764186058,0.3367544533908367,-1.279675926875323
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,iotsim-hydraulic-system,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,ood_val,select,benign_ood,4000,0.99575,0.99575,0.0,low,0.99575,0.18342165797948837,-2.553750160299242,3.001932764186058,0.3367544533908367,-1.279675926875323
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,iotsim-hydraulic-system,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,domotic-monitor,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,domotic-monitor,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,domotic-monitor,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,domotic-monitor,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,domotic-monitor,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,domotic-monitor,future_query,select,attack,4000,0.97825,0.97825,0.0,high,0.021750000000000047,0.05668536573648453,-2.577214512387291,2.796508214133792,0.6652752594165504,1.1574902425317997
H1_c1_mlp_ce,domotic-monitor,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,domotic-monitor,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,domotic-monitor,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,domotic-monitor,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,domotic-monitor,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,domotic-monitor,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,domotic-monitor,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,domotic-monitor,future_query,select,attack,4000,0.97975,0.97975,0.0,high,0.02024999999999999,0.06547531813383102,-2.5423223499953753,2.7716225670929995,0.6522174026910216,1.077911059849357
H2_c1_supcon_proto,domotic-monitor,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,domotic-monitor,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,domotic-monitor,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,domotic-monitor,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,domotic-monitor,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,domotic-monitor,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,domotic-monitor,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,domotic-monitor,future_query,select,attack,4000,0.96975,0.96975,0.0,high,0.03025,0.1777885933220386,-2.4929460936784746,3.0279779999679883,0.650054925955832,1.5310264177019708
H3_c1_supcon_rex_proto,domotic-monitor,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,domotic-monitor,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,future_query,select,attack,4000,0.96975,0.96975,0.0,high,0.03025,0.1777885933220386,-2.4929460936784746,3.0279779999679883,0.650054925955832,1.5310264177019708
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,domotic-monitor,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,combined-cycle,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,combined-cycle,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,combined-cycle,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,combined-cycle,support_val,select,attack,6,0.5,0.5,0.0,high,0.5,0.06398762568831443,-2.569783308459446,2.797190758275683,0.11862429107228915,-2.1540322862565517
H1_c1_mlp_ce,combined-cycle,same_file_query,select,attack,2486,0.1162510056315366,0.1162510056315366,0.0,high,0.8837489943684634,0.06398762568831443,-2.569783308459446,2.797190758275683,0.0538947494694557,-2.6407690204120646
H1_c1_mlp_ce,combined-cycle,future_query,select,attack,4000,0.44375,0.44375,0.0,high,0.55625,0.06398762568831443,-2.569783308459446,2.797190758275683,0.20497004889184609,-1.7023755187478382
H1_c1_mlp_ce,combined-cycle,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,combined-cycle,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,combined-cycle,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,combined-cycle,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,combined-cycle,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,combined-cycle,support_val,select,attack,6,0.16666666666666666,0.16666666666666666,0.0,high,0.8333333333333334,0.07695915624499318,-2.474862764645368,2.7638738799281417,0.06784204704066117,-2.49034321308136
H2_c1_supcon_proto,combined-cycle,same_file_query,select,attack,2486,0.0418342719227675,0.0418342719227675,0.0,high,0.9581657280772325,0.07695915624499318,-2.474862764645368,2.7638738799281417,0.05393591101939939,-2.5898922589215676
H2_c1_supcon_proto,combined-cycle,future_query,select,attack,4000,0.41125,0.412,0.00075,high,0.58875,0.07695915624499318,-2.474862764645368,2.7638738799281417,0.22316814150568098,-1.5975078910148004
H2_c1_supcon_proto,combined-cycle,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,combined-cycle,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H3_c1_supcon_rex_proto,combined-cycle,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,combined-cycle,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,combined-cycle,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,combined-cycle,support_val,select,attack,6,0.16666666666666666,0.16666666666666666,0.0,high,0.8333333333333334,0.22111201375722883,-2.2987809442915026,3.051813498921692,0.18557130297025046,-2.383436933159828
H3_c1_supcon_rex_proto,combined-cycle,same_file_query,select,attack,2486,0.002413515687851971,0.002413515687851971,0.0,high,0.997586484312148,0.22111201375722883,-2.2987809442915026,3.051813498921692,0.15194286784862954,-2.7363736660284164
H3_c1_supcon_rex_proto,combined-cycle,future_query,select,attack,4000,0.3935,0.394,0.0005,high,0.6065,0.22111201375722883,-2.2987809442915026,3.051813498921692,0.25018608522042635,-1.7244165677689016
H3_c1_supcon_rex_proto,combined-cycle,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H3_c1_supcon_rex_proto,combined-cycle,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,ood_stress,select,hard_ood,0,nan,nan,nan,low,nan,,,,,
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,support_val,select,attack,6,0.16666666666666666,0.16666666666666666,0.0,high,0.8333333333333334,0.22111201375722883,-2.2987809442915026,3.051813498921692,0.18557130297025046,-2.383436933159828
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,same_file_query,select,attack,2486,0.002413515687851971,0.002413515687851971,0.0,high,0.997586484312148,0.22111201375722883,-2.2987809442915026,3.051813498921692,0.15194286784862954,-2.7363736660284164
H4_c1_supcon_rex_proto_selective_budget,combined-cycle,future_query,select,attack,4000,0.3935,0.394,0.0,high,0.6065,0.22111201375722883,-2.2987809442915026,3.051813498921692,0.25018608522042635,-1.7244165677689016
