route,iotsim-stream-consumer_weighted_error,iotsim-stream-consumer_review,iotsim-hydraulic-system_weighted_error,iotsim-hydraulic-system_review,iotsim-ip-camera-street_weighted_error,iotsim-ip-camera-street_review,domotic-monitor_weighted_error,domotic-monitor_review,combined-cycle_weighted_error,combined-cycle_review,held_ood_weighted_error,held_ood_weighted_review,held_attack_weighted_error,held_attack_weighted_review
H1_c1_mlp_ce,1.0,0.0,0.99775,0.0,0.0025,0.0,0.021750000000000047,0.0,0.6816081330868762,0.0,0.66675,0.0,0.4300419367136866,0.0
H2_c1_supcon_proto,1.0,0.0,0.99975,0.0,0.002,0.0,0.02024999999999999,0.0,0.7304374614910659,0.0004621072088724584,0.66725,0.0,0.4596835684330919,0.000285932138772398
H3_c1_supcon_rex_proto,1.0,0.0,0.99575,0.0,0.002,0.0,0.03025,0.0,0.7564695009242144,0.00030807147258163895,0.6659166666666667,0.0,0.47960350743423563,0.00019062142584826535
H4_c1_supcon_rex_proto_selective_budget,1.0,0.0,0.99575,0.0,0.002,0.0,0.03025,0.0,0.7564695009242144,0.0,0.6659166666666667,0.0,0.47960350743423563,0.0
