candidate,job_index,weighting,role,support_coverage,rows,candidate_hard_alarm_rate,candidate_veto_rate,candidate_review_rate
V5_baseline_attack_strict_hard_ood_veto,1,medium_mass_ratio_recalibrated,sealed_final_attack,unseen_in_support,30164,0.12209919108871503,0.21359899217610395,0.21359899217610395
C0_baseline_issue27ckc,6,strict_frozen_weight4,support_val,seen_in_support,69,0.9420289855072463,0.0,0.0
C0_baseline_issue27ckc,6,strict_frozen_weight4,same_file_query,seen_in_support,125679,0.9658813326013097,0.0,0.0
C0_baseline_issue27ckc,6,strict_frozen_weight4,future_query,seen_in_support,217423,0.7828012675751875,0.0,0.0
C0_baseline_issue27ckc,6,strict_frozen_weight4,future_query,unseen_in_support,160722,0.08116499296922637,0.0,0.0
C0_baseline_issue27ckc,6,strict_frozen_weight4,sealed_final_attack,seen_in_support,79940,0.9011508631473605,0.0,0.0
C0_baseline_issue27ckc,6,strict_frozen_weight4,sealed_final_attack,unseen_in_support,30164,0.16440127304071078,0.0,0.0
V1_hard_ood_risk_existing_controller,6,strict_frozen_weight4,support_val,seen_in_support,69,0.7101449275362319,0.0,0.0
V1_hard_ood_risk_existing_controller,6,strict_frozen_weight4,same_file_query,seen_in_support,125679,0.8078517492978142,0.0,0.0
V1_hard_ood_risk_existing_controller,6,strict_frozen_weight4,future_query,seen_in_support,217423,0.6892509072177276,0.0,0.0
V1_hard_ood_risk_existing_controller,6,strict_frozen_weight4,future_query,unseen_in_support,160722,0.08840731200457934,0.0,0.0
V1_hard_ood_risk_existing_controller,6,strict_frozen_weight4,sealed_final_attack,seen_in_support,79940,0.7291968976732549,0.0,0.0
V1_hard_ood_risk_existing_controller,6,strict_frozen_weight4,sealed_final_attack,unseen_in_support,30164,0.12136984484816338,0.0,0.0
V2_hard_ood_conservative_veto,6,strict_frozen_weight4,support_val,seen_in_support,69,0.5797101449275363,0.13043478260869565,0.13043478260869565
V2_hard_ood_conservative_veto,6,strict_frozen_weight4,same_file_query,seen_in_support,125679,0.27398372043062086,0.5338680288671934,0.5338680288671934
V2_hard_ood_conservative_veto,6,strict_frozen_weight4,future_query,seen_in_support,217423,0.46953174227197675,0.21971916494575092,0.21971916494575092
V2_hard_ood_conservative_veto,6,strict_frozen_weight4,future_query,unseen_in_support,160722,0.01836711837831784,0.0700401936262615,0.0700401936262615
V2_hard_ood_conservative_veto,6,strict_frozen_weight4,sealed_final_attack,seen_in_support,79940,0.3767950963222417,0.35240180135101323,0.35240180135101323
V2_hard_ood_conservative_veto,6,strict_frozen_weight4,sealed_final_attack,unseen_in_support,30164,0.03580426999071741,0.08556557485744597,0.08556557485744597
V3_hard_ood_attack_preserving_veto,6,strict_frozen_weight4,support_val,seen_in_support,69,0.5942028985507246,0.11594202898550725,0.11594202898550725
V3_hard_ood_attack_preserving_veto,6,strict_frozen_weight4,same_file_query,seen_in_support,125679,0.7444043953245968,0.06344735397321748,0.06344735397321748
V3_hard_ood_attack_preserving_veto,6,strict_frozen_weight4,future_query,seen_in_support,217423,0.5508432870487483,0.13840762016897937,0.13840762016897937
V3_hard_ood_attack_preserving_veto,6,strict_frozen_weight4,future_query,unseen_in_support,160722,0.04225308296312888,0.04615422904145045,0.04615422904145045
V3_hard_ood_attack_preserving_veto,6,strict_frozen_weight4,sealed_final_attack,seen_in_support,79940,0.6729422066549913,0.0562546910182637,0.0562546910182637
V3_hard_ood_attack_preserving_veto,6,strict_frozen_weight4,sealed_final_attack,unseen_in_support,30164,0.10326879724174513,0.018101047606418248,0.018101047606418248
V4_baseline_attack_hard_ood_risk_veto,6,strict_frozen_weight4,support_val,seen_in_support,69,0.7246376811594203,0.21739130434782608,0.21739130434782608
V4_baseline_attack_hard_ood_risk_veto,6,strict_frozen_weight4,same_file_query,seen_in_support,125679,0.8841652145545398,0.08171611804676994,0.08171611804676994
V4_baseline_attack_hard_ood_risk_veto,6,strict_frozen_weight4,future_query,seen_in_support,217423,0.5963306549905024,0.18647061258468514,0.18647061258468514
V4_baseline_attack_hard_ood_risk_veto,6,strict_frozen_weight4,future_query,unseen_in_support,160722,0.03438234964721693,0.04678264332200943,0.04678264332200943
V4_baseline_attack_hard_ood_risk_veto,6,strict_frozen_weight4,sealed_final_attack,seen_in_support,79940,0.8176882661996497,0.08346259694771078,0.08346259694771078
V4_baseline_attack_hard_ood_risk_veto,6,strict_frozen_weight4,sealed_final_attack,unseen_in_support,30164,0.137713831056889,0.026687441983821773,0.026687441983821773
V5_baseline_attack_strict_hard_ood_veto,6,strict_frozen_weight4,support_val,seen_in_support,69,0.6376811594202898,0.30434782608695654,0.30434782608695654
V5_baseline_attack_strict_hard_ood_veto,6,strict_frozen_weight4,same_file_query,seen_in_support,125679,0.8540567636598,0.11182456894150972,0.11182456894150972
V5_baseline_attack_strict_hard_ood_veto,6,strict_frozen_weight4,future_query,seen_in_support,217423,0.5871135988372895,0.195687668737898,0.195687668737898
V5_baseline_attack_strict_hard_ood_veto,6,strict_frozen_weight4,future_query,unseen_in_support,160722,0.01836711837831784,0.06279787459090852,0.06279787459090852
V5_baseline_attack_strict_hard_ood_veto,6,strict_frozen_weight4,sealed_final_attack,seen_in_support,79940,0.788378784088066,0.11277207905929447,0.11277207905929447
V5_baseline_attack_strict_hard_ood_veto,6,strict_frozen_weight4,sealed_final_attack,unseen_in_support,30164,0.03580426999071741,0.12859700304999336,0.12859700304999336
