candidate,job_index,weighting,role,role_kind,phase,rows,candidate_hard_alarm_rate,candidate_veto_rate,candidate_review_rate,candidate_high_risk_rate,temporal_attack_score_mean,temporal_ood_risk_mean,source_group,device
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,id_calib,benign_id,select,22418,0.0,0.0,0.0,0.0,2.9398358920778944e-05,0.9999706016410793,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,id_calib,benign_id,select,22425,0.0,0.0,0.0,0.0,2.9398358920778944e-05,0.9999706016410793,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,id_calib,benign_id,select,5011,0.0,0.0,0.0,0.0,2.9398358920778947e-05,0.9999706016410793,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,id_calib,benign_id,select,1643,0.0,0.0,0.0,0.0,2.9398358920778944e-05,0.9999706016410793,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,ood_val,benign_ood,select,2446,0.0004088307440719542,0.0,0.0,0.0,0.00043814376828259455,0.9995618562317174,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,ood_val,benign_ood,select,2431,0.0,0.0,0.0,0.0,2.9398358920778957e-05,0.9999706016410793,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,ood_val,benign_ood,select,2431,0.0,0.0,0.0,0.0,2.9398358920778957e-05,0.9999706016410793,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,ood_val,benign_ood,select,2446,0.0,0.0,0.0,0.0,2.9398358920778954e-05,0.9999706016410793,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,ood_val,benign_ood,select,2451,0.0,0.0,0.0,0.0,2.9398358920778947e-05,0.9999706016410793,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,support_val,attack,select,23,0.8695652173913043,0.0,0.0,0.0,0.8694131125319651,0.1305868874680348,processed/iotsim-city-power-1.csv,city-power
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,support_val,attack,select,6,0.5,0.0,0.0,0.0,0.4999250340084213,0.5000749659915787,processed/iotsim-combined-cycle-10.csv,combined-cycle
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,support_val,attack,select,40,0.95,0.0,0.0,0.0,0.9498311060929719,0.05016889390702815,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,ood_stress,benign_ood,fit,149950,0.9972990996998999,0.0,0.0,0.0,0.9971203331132329,0.0028796668867669844,processed/iotsim-stream-consumer-1.csv,iotsim-stream-consumer-1
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,ood_stress,benign_ood,select,79950,0.9968730456535334,0.0,0.0,0.0,0.9966943679965742,0.0033056320034258405,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,same_file_query,attack,,57930,0.9223200414293112,0.0,0.0,0.0,0.9221569251240791,0.07784307487592074,processed/iotsim-city-power-1.csv,city-power
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,same_file_query,attack,,2486,0.042236524537409496,0.0,0.0,0.0,0.042257106921428866,0.9577428930785713,processed/iotsim-combined-cycle-10.csv,combined-cycle
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,same_file_query,attack,,65263,0.9911282043424299,0.0,0.0,0.0,0.9909507257987348,0.009049274201265129,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,future_query,attack,,24109,0.005641046911941599,0.0,0.0,0.0,0.005669267822468175,0.9943307321775319,processed/iotsim-air-quality-1.csv,air-quality
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,future_query,attack,,101282,0.6294899389822476,0.0,0.0,0.0,0.6293879447239127,0.37061205527608737,processed/iotsim-building-monitor-1.csv,building-monitor
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,future_query,attack,,24105,0.005600497822028625,0.0,0.0,0.0,0.005628727196314063,0.994371272803686,processed/iotsim-city-power-1.csv,city-power
