candidate,decision,stack,risk_threshold,protect_attack,protect_benign_q,job_index,job_label,weighting,seed,role,role_kind,phase,stage,rows,candidate_hard_alarm_rate,candidate_veto_rate,candidate_review_rate,candidate_unknown_rate,candidate_high_risk_rate,candidate_attack_protected_rate,temporal_hard_alarm_rate,parent_hard_alarm_rate,raw_alarm_rate,temporal_attack_score_mean,temporal_attack_score_p50,temporal_attack_score_p95,temporal_ood_risk_mean,temporal_ood_risk_p50,temporal_ood_risk_p95,candidate_risk_score_mean,candidate_risk_score_p50,candidate_risk_score_p95,attack_score_mean,attack_score_p50,attack_score_p95,ood_risk_mean,ood_risk_p50,ood_risk_p95,d_attack_outer_min_mean,d_attack_outer_min_p50,d_attack_outer_min_p95,d_benign_core_min_mean,d_benign_core_min_p50,d_benign_core_min_p95
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,id_calib,benign_id,select,calibration_select,51497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.767442763656135e-05,0.0,2.9398358920778937e-05,2.939835892077895e-05,2.939835892077895e-05,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.004580924327239696,0.004170101398308747,0.005908905493278141,0.9910027575568557,0.9910026630378985,0.9910026630378985,0.840859997972337,0.22583690285682678,1.94617919921875,0.15997714714100691,0.15714775025844574,0.20686061978340148
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,ood_val,benign_ood,select,calibration_select,12205,8.19336337566571e-05,0.0,0.0,0.9999180663662434,0.0,8.19336337566571e-05,8.19336337566571e-05,0.0011470708725931996,8.19336337566571e-05,0.00011131489077649392,2.939835892077895e-05,2.939835892077895e-05,0.9998886851092236,0.9999706016410792,0.9999706016410792,0.9998886851092236,0.9999706016410792,0.9999706016410792,0.015114057570997713,0.010814565908650183,0.03701606454091481,0.9904407858422805,0.9910026630378985,0.9910026630378985,0.56016982467826,0.3675714135169983,1.8069212675094604,0.2521576992364349,0.2338835448026657,0.4508522093296051
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,support_val,attack,select,calibration_select,69,0.8840579710144928,0.0,0.0,0.11594202898550725,0.0,0.8840579710144928,0.8840579710144928,0.9710144927536232,0.8840579710144928,0.8839028411015158,0.9998206696579218,0.9998206696579218,0.11609715889848406,0.00017933034207811882,0.9999706016410792,0.11609715889848406,0.00017933034207811882,0.9999706016410792,0.845373409385025,0.9566615867508396,0.9776824104109282,0.10787766444963541,0.00902923869868877,0.9604250290449861,0.1912225975614527,0.20870047807693481,0.2970812141895294,4.949573464313711,0.22832384705543518,32.90724868774414
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,ood_stress,benign_ood,fit,hard_ood_dev_fit,149950,0.9972990996998999,0.0,0.0,0.0027009003001000334,0.0,0.9972990996998999,0.9972990996998999,0.9975458486162054,0.9972990996998999,0.9971203331132329,0.9998206696579218,0.9998206696579218,0.0028796668867669844,0.00017933034207811882,0.00017933034207811882,0.0028796668867669844,0.00017933034207811882,0.00017933034207811882,0.9166932993094603,0.95145989269624,0.95145989269624,0.011684280908297815,0.009091588578859297,0.009091588578859297,0.1308988538031659,0.12803010642528534,0.1382742077112198,1.2217648579927194,1.2441378831863403,1.4362099051475523
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,ood_stress,benign_ood,select,hard_ood_dev_select,79950,0.9968730456535334,0.0,0.0,0.0031269543464665416,0.0,0.9968730456535334,0.9968730456535334,0.9972482801751095,0.9968730456535334,0.9966943679965742,0.9998206696579218,0.9998206696579218,0.0033056320034258405,0.00017933034207811882,0.00017933034207811882,0.0033056320034258405,0.00017933034207811882,0.00017933034207811882,0.9164172883965233,0.95145989269624,0.95145989269624,0.012059540272868784,0.009091588578859297,0.009091588578859297,0.13099583898450226,0.12810561060905457,0.13861535713076592,1.1925257397122946,1.2332006096839905,1.433415526151657
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,same_file_query,attack,,read_only,125679,0.9406424303185098,0.0,0.0,0.05935756968149015,0.0,0.9406344735397322,0.9406424303185098,0.9770685635627273,0.9406424303185098,0.9404754896048458,0.9998206696579218,0.9998206696579218,0.05952451039515416,0.00017933034207811882,0.9999706016410792,0.05952451039515416,0.00017933034207811882,0.9999706016410792,0.8969083453686683,0.9597183931425581,0.9768736942773663,0.07738305312845556,0.00902923869868877,0.9910026630378985,0.2793733999720786,0.2682771384716034,0.6038384020328519,6.990577576476779,0.9336416125297546,33.233313369750974
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,future_query,attack,,read_only,378145,0.5703367755755068,0.0,0.0,0.42966322442449323,0.0,0.5404699255576565,0.5703367755755068,0.6557537452564492,0.5703367755755068,0.5702471282801298,0.9998206696579218,0.9998206696579218,0.4297528717198703,0.00017933034207811882,0.9999706016410792,0.4297528717198703,0.00017933034207811882,0.9999706016410792,0.5752216420497631,0.7380073653415211,0.9768736942773663,0.44182642346586337,0.13264341257654413,0.9922195237243041,12.030564596396804,0.2228345423936844,0.4169149458408354,3.998445289193905,0.17790484428405762,28.885646057128906
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,sealed_final_ood,benign_ood,,report_only,154900,0.9968818592640413,0.0,0.0,0.003118140735958683,0.0,0.9968818592640413,0.9968818592640413,0.9992188508715301,0.9968818592640413,0.9967031797674282,0.9998206696579218,0.9998206696579218,0.0032968202325714523,0.00017933034207811882,0.00017933034207811882,0.0032968202325714523,0.00017933034207811882,0.00017933034207811882,0.9493128827615361,0.95145989269624,0.95145989269624,0.011739270103668965,0.009091588578859297,0.009091588578859297,0.1326267429351268,0.12875311821699142,0.15603312477469433,1.2368373185322603,1.240908920764923,1.5765157461166381
C0_baseline_issue27ckc,issue27ckc_temporal,baseline,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,sealed_final_attack,attack,,report_only,110104,0.7906615563467267,0.0,0.0,0.20933844365327328,0.0,0.7892901256993388,0.7906615563467267,0.9020925670275376,0.7906615563467267,0.7905259209460614,0.9998206696579218,0.9998206696579218,0.20947407905393853,0.00017933034207811882,0.9999706016410792,0.20947407905393853,0.00017933034207811882,0.9999706016410792,0.7309200805107912,0.9181429887614636,0.9768736942773663,0.1993070493815781,0.009091588578859297,0.9910026630378985,0.35019770276203643,0.29835131764411926,0.8014458090066909,2.1013809560416727,0.4855678081512451,10.782660722732544
V1_hard_ood_risk_existing_controller,issue27ckc_temporal,hard_ood_calibrated,0.9,False,0.1,1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,id_calib,benign_id,select,calibration_select,51497,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.767442763656135e-05,0.0,2.9398358920778937e-05,2.939835892077895e-05,2.939835892077895e-05,0.9910124606561103,0.9910124606561104,0.9910124606561104,0.9910124606561103,0.9910124606561104,0.9910124606561104,0.004580924327239696,0.004170101398308747,0.005908905493278141,0.9906690753087788,0.9910371415733535,0.9911507273779904,0.840859997972337,0.22583690285682678,1.94617919921875,0.15997714714100691,0.15714775025844574,0.20686061978340148
