candidate,weighting,ood_stress_select_hard,ood_stress_select_group_max,ood_stress_select_group_p95,sealed_final_ood_hard,sealed_final_ood_group_max,sealed_final_ood_group_p95,support_val_select_hard,same_file_query_hard,future_query_hard,sealed_final_attack_hard
C0_baseline_issue27ckc,medium_mass_ratio_recalibrated,0.9968730456535334,0.9968730456535334,0.9968730456535334,0.9968818592640413,0.9977070063694268,0.9976430667563081,0.8840579710144928,0.9406424303185098,0.5703367755755068,0.7906615563467267
C0_baseline_issue27ckc,strict_frozen_weight4,0.6834896810506567,0.6834896810506567,0.6834896810506567,0.9966107165913493,0.9976888080072793,0.9976052680571404,0.9420289855072463,0.9658813326013097,0.4845866003781618,0.6993115599796556
V1_hard_ood_risk_existing_controller,medium_mass_ratio_recalibrated,0.0010881801125703565,0.0010881801125703565,0.0010881801125703565,0.00315687540348612,0.0033716858429214606,0.0033414091030956787,0.7101449275362319,0.41060956882215804,0.4485237144481614,0.44109205841749616
V1_hard_ood_risk_existing_controller,strict_frozen_weight4,0.0013008130081300813,0.0013008130081300813,0.0013008130081300813,0.005338928340865075,0.005952976488244122,0.0058664286647418335,0.7101449275362319,0.8078517492978142,0.4338758941675812,0.5626771052822785
V2_hard_ood_conservative_veto,medium_mass_ratio_recalibrated,0.0008505315822388993,0.0008505315822388993,0.0008505315822388993,0.002859909619109103,0.0029514757378689346,0.002938569830866298,0.6231884057971014,0.3795622180316521,0.41521109627259384,0.4120922037346509
V2_hard_ood_conservative_veto,strict_frozen_weight4,0.0005753595997498437,0.0005753595997498437,0.0005753595997498437,0.003350548741123305,0.0036578707916287536,0.003634056791817201,0.5797101449275363,0.27398372043062086,0.2777743987094897,0.2833775339678849
V3_hard_ood_attack_preserving_veto,medium_mass_ratio_recalibrated,0.0010881801125703565,0.0010881801125703565,0.0010881801125703565,0.0031504196255648805,0.00336168084042021,0.003331904350719491,0.6811594202898551,0.40684601246031554,0.43190046146319533,0.42728692872193563
V3_hard_ood_attack_preserving_veto,strict_frozen_weight4,0.0012132582864290181,0.0012132582864290181,0.0012132582864290181,0.0052033570045190445,0.00575287643821911,0.005675423699110702,0.5942028985507246,0.7444043953245968,0.33467849634399505,0.5168749545883892
V4_baseline_attack_hard_ood_risk_veto,medium_mass_ratio_recalibrated,0.9836647904940587,0.9836647904940587,0.9836647904940587,0.983208521626856,0.9855427713856928,0.985213767484288,0.7681159420289855,0.9105419362025478,0.5240793875365269,0.7466213761534549
V4_baseline_attack_hard_ood_risk_veto,strict_frozen_weight4,0.6705565978736711,0.6705565978736711,0.6705565978736711,0.983182698515171,0.9855227613806904,0.985192938143321,0.7246376811594203,0.8841652145545398,0.35748720728820954,0.6314030371285331
V5_baseline_attack_strict_hard_ood_veto,medium_mass_ratio_recalibrated,0.9708317698561602,0.9708317698561602,0.9708317698561602,0.9752227243382827,0.9790495247623812,0.9785101513450082,0.6811594202898551,0.9028397743457539,0.4946197887053908,0.6777410448303423
V5_baseline_attack_strict_hard_ood_veto,strict_frozen_weight4,0.6631519699812383,0.6631519699812383,0.6631519699812383,0.9751969012265979,0.9790295147573786,0.9784893220040412,0.6376811594202898,0.8540567636598,0.3453807401922543,0.5822040979437623
