dataset,holdout,method,method_group,seed_group,ood_target,ood_target_label,n_seeds,roc_auc_mean,pr_auc_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_topk,hard_negative_count,train_time_mean,inference_time_mean,provenance_clean_rate
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.01,1.0pct,5,0.9406764094955488,0.8874848250315692,0.8093471810089021,0.0,0.8093471810089021,0.8093471810089021,0.006799999999999999,0.0068,1.0,-1.9876145615455427,32,32,32,0,0.16700718000065534,0.007176060002529993,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.012,1.2pct,5,0.9406764094955488,0.8874848250315692,0.8123145400593472,0.0,0.8123145400593472,0.8123145400593472,0.007299999999999999,0.0073,1.0,-2.126415783477891,32,32,32,0,0.15916862000303808,0.006890940002631396,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.012,1.2pct,5,0.9406764094955488,0.8874848250315692,0.8123145400593472,0.0,0.8123145400593472,0.8123145400593472,0.007299999999999999,0.0073,1.0,-2.126415783477891,32,32,32,0,0.16700718000065534,0.007176060002529993,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.015,1.5pct,5,0.9406764094955488,0.8874848250315692,0.8204747774480712,0.0,0.8204747774480712,0.8204747774480712,0.0081,0.0081,1.0,-2.3361322451042112,32,32,32,0,0.15916862000303808,0.006890940002631396,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.015,1.5pct,5,0.9406764094955488,0.8874848250315692,0.8204747774480712,0.0,0.8204747774480712,0.8204747774480712,0.0081,0.0081,1.0,-2.3361322451042112,32,32,32,0,0.16700718000065534,0.007176060002529993,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.02,2.0pct,5,0.9406764094955488,0.8874848250315692,0.8241839762611276,0.0,0.8241839762611276,0.8241839762611276,0.0084,0.0084,1.0,-2.4899297844084507,32,32,32,0,0.15916862000303808,0.006890940002631396,1.0
harder_holdout,holdout_bin_2,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.02,2.0pct,5,0.9406764094955488,0.8874848250315692,0.8241839762611276,0.0,0.8241839762611276,0.8241839762611276,0.0084,0.0084,1.0,-2.4899297844084507,32,32,32,0,0.16700718000065534,0.007176060002529993,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.005,0.5pct,5,0.9546770181818183,0.9482192541507887,0.9236363636363636,0.0,0.9236363636363636,0.9236363636363636,0.013300000000000001,0.0133,0.0,-3.2324561958544265,32,32,32,0,0.15699409999942873,0.006352179998066277,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.005,0.5pct,5,0.9546770181818183,0.9482192541507887,0.9236363636363636,0.0,0.9236363636363636,0.9236363636363636,0.013300000000000001,0.0133,0.0,-3.2324561958544265,32,32,32,0,0.16918312000343577,0.007538859997293912,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.008,0.8pct,5,0.9546770181818183,0.9482192541507887,0.9243636363636364,0.0,0.9243636363636364,0.9243636363636364,0.014599999999999998,0.0146,0.0,-3.340601775032772,32,32,32,0,0.15699409999942873,0.006352179998066277,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.008,0.8pct,5,0.9546770181818183,0.9482192541507887,0.9243636363636364,0.0,0.9243636363636364,0.9243636363636364,0.014599999999999998,0.0146,0.0,-3.340601775032772,32,32,32,0,0.16918312000343577,0.007538859997293912,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.01,1.0pct,5,0.9546770181818183,0.9482192541507887,0.9243636363636364,0.0,0.9243636363636364,0.9243636363636364,0.0156,0.0156,0.0,-3.426404387097379,32,32,32,0,0.15699409999942873,0.006352179998066277,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.01,1.0pct,5,0.9546770181818183,0.9482192541507887,0.9243636363636364,0.0,0.9243636363636364,0.9243636363636364,0.0156,0.0156,0.0,-3.426404387097379,32,32,32,0,0.16918312000343577,0.007538859997293912,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.012,1.2pct,5,0.9546770181818183,0.9482192541507887,0.9265454545454546,0.0,0.9265454545454546,0.9265454545454546,0.019,0.019,0.0,-3.697176596162664,32,32,32,0,0.15699409999942873,0.006352179998066277,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.012,1.2pct,5,0.9546770181818183,0.9482192541507887,0.9265454545454546,0.0,0.9265454545454546,0.9265454545454546,0.019,0.019,0.0,-3.697176596162664,32,32,32,0,0.16918312000343577,0.007538859997293912,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.015,1.5pct,5,0.9546770181818183,0.9482192541507887,0.9280000000000002,0.0,0.928,0.928,0.0222,0.0222,0.0,-3.882553548140707,32,32,32,0,0.15699409999942873,0.006352179998066277,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.015,1.5pct,5,0.9546770181818183,0.9482192541507887,0.9280000000000002,0.0,0.928,0.928,0.0222,0.0222,0.0,-3.882553548140707,32,32,32,0,0.16918312000343577,0.007538859997293912,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,heldout_47_51,0.02,2.0pct,5,0.9546770181818183,0.9482192541507887,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.028699999999999996,0.0287,0.0,-4.187793147940497,32,32,32,0,0.15699409999942873,0.006352179998066277,1.0
primary_lowood,primary_lowood,M1_V2_source_rich_top32_kcenter32_fixed_guard,v2_baseline,main_42_46,0.02,2.0pct,5,0.9546770181818183,0.9482192541507887,0.9294545454545455,0.0,0.9294545454545454,0.9294545454545454,0.028699999999999996,0.0287,0.0,-4.187793147940497,32,32,32,0,0.16918312000343577,0.007538859997293912,1.0
