dataset,holdout,split_protocol,method,method_group,representation,adapter,support_method,support_size,support_budget,seed,seed_group,ood_target,ood_target_label,roc_auc,pr_auc,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,attack_eval_size,final_ood_eval_size,feature_dim,selected_topk,hard_negative_count,train_time,inference_time,parameter_count,provenance_clean,threshold_diagnostic_only,final_eval_used_for_selection
primary_lowood,primary_lowood,current_lowood_same_protocol,M3_source_rich_top32_kcenter64_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,64,64,42,main_42_46,0.015,1.5pct,0.9563824,0.9499847939192548,0.9309090909090909,0.0232,False,-3.959410598828532,1375,10000,32,32,0,0.12176399999589194,0.005810199989355169,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M3_source_rich_top32_kcenter64_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,64,64,42,main_42_46,0.02,2.0pct,0.9563824,0.9499847939192548,0.9323636363636364,0.0286,False,-4.272374099646548,1375,10000,32,32,0,0.12176399999589194,0.005810199989355169,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,128,128,42,main_42_46,0.005,0.5pct,0.9960230545454545,0.9838928894386704,0.9018181818181819,0.0023,True,2.731169235116356,1375,10000,32,32,0,0.14734559999487828,0.005899600000702776,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,128,128,42,main_42_46,0.008,0.8pct,0.9960230545454545,0.9838928894386704,0.9083636363636364,0.0025,True,2.2356464231684967,1375,10000,32,32,0,0.14734559999487828,0.005899600000702776,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,128,128,42,main_42_46,0.01,1.0pct,0.9960230545454545,0.9838928894386704,0.9389090909090909,0.0061,True,0.5530462766700903,1375,10000,32,32,0,0.14734559999487828,0.005899600000702776,33,True,False,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,128,128,42,main_42_46,0.012,1.2pct,0.9960230545454545,0.9838928894386704,0.9541818181818181,0.0116,False,-0.6504439653707231,1375,10000,32,32,0,0.14734559999487828,0.005899600000702776,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,128,128,42,main_42_46,0.015,1.5pct,0.9960230545454545,0.9838928894386704,0.9694545454545455,0.0163,False,-1.4917582906150122,1375,10000,32,32,0,0.14734559999487828,0.005899600000702776,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4_source_rich_top32_kcenter128_fixed_guard,support_budget,selected_source_rich_top32,fixed_guard_lr,kcenter,128,128,42,main_42_46,0.02,2.0pct,0.9960230545454545,0.9838928894386704,0.9709090909090909,0.0197,False,-2.0362600351332754,1375,10000,32,32,0,0.14734559999487828,0.005899600000702776,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,selected_source_rich_top32,fixed_guard_lr,random,64,64,42,main_42_46,0.005,0.5pct,0.983276290909091,0.96859840734783,0.9418181818181818,0.001,True,-2.458350977027635,1375,10000,32,32,0,0.13064360000134911,0.005246899992926046,33,True,True,False
primary_lowood,primary_lowood,current_lowood_same_protocol,M4b_source_rich_top32_random64_fixed_guard,support_budget_random_baseline,selected_source_rich_top32,fixed_guard_lr,random,64,64,42,main_42_46,0.008,0.8pct,0.983276290909091,0.96859840734783,0.9425454545454546,0.001,True,-2.615904084462775,1375,10000,32,32,0,0.13064360000134911,0.005246899992926046,33,True,True,False
