exact_attack_label,numeric_match,status_match,pass
File Download,True,True,True
Ingress Tool Transfer,True,True,True
Merlin C&C Communication,True,True,True
Merlin ICMP Flooding,True,True,True
Merlin TCP Flooding,True,True,True
Merlin UDP Flooding,True,True,True
Mirai C&C Communication,True,True,True
Mirai GRE Flooding,True,True,True
Mirai TCP Flooding,True,True,True
Mirai UDP Flooding,True,True,True
