variant,exact_attack_label,requested_prototypes,effective_prototypes,shell_scheme,core_radius,near_radius,uncertain_radius
V0_frozen512_single_medoid,File Download,1,1,tight,1.4168409223667935,1.5871917707218495,1.9150656864708446
V0_frozen512_single_medoid,File Download,1,1,medium,1.682701779676025,1.9150656864708446,2.0991793735561064
V0_frozen512_single_medoid,File Download,1,1,wide,1.9616015294002005,2.0991793735561064,2.1718130583727167
V0_frozen512_single_medoid,Ingress Tool Transfer,1,1,tight,2.233954228136734,2.4722281305292078,2.4996031935575824
V0_frozen512_single_medoid,Ingress Tool Transfer,1,1,medium,2.4928901560064847,2.4996031935575824,2.638686019521873
V0_frozen512_single_medoid,Ingress Tool Transfer,1,1,wide,2.538083203678514,2.638686019521873,2.650986865136997
V0_frozen512_single_medoid,Merlin C&C Communication,1,1,tight,2.300937176372791,2.4668165839230074,2.544765805002504
V0_frozen512_single_medoid,Merlin C&C Communication,1,1,medium,2.4699738205851016,2.544765805002504,2.6324230842159855
V0_frozen512_single_medoid,Merlin C&C Communication,1,1,wide,2.549370214063168,2.6324230842159855,2.6363510572258404
V0_frozen512_single_medoid,Merlin ICMP Flooding,1,1,tight,1.7392992538499104,1.826352205198258,1.9956321717674694
V0_frozen512_single_medoid,Merlin ICMP Flooding,1,1,medium,1.9744707645216812,1.9956321717674694,2.084923527558654
V0_frozen512_single_medoid,Merlin ICMP Flooding,1,1,wide,2.0118009827545347,2.084923527558654,2.095078408760552
V0_frozen512_single_medoid,Merlin TCP Flooding,1,1,tight,2.258028143222262,2.4224773955719634,2.505473443470095
V0_frozen512_single_medoid,Merlin TCP Flooding,1,1,medium,2.4541293832518694,2.505473443470095,2.6177356925053985
V0_frozen512_single_medoid,Merlin TCP Flooding,1,1,wide,2.574767034280897,2.6177356925053985,2.7326571758694937
V0_frozen512_single_medoid,Merlin UDP Flooding,1,1,tight,2.1274177365658833,2.2964152732988357,2.317290498815583
V0_frozen512_single_medoid,Merlin UDP Flooding,1,1,medium,2.2949517836380493,2.317290498815583,2.410567409327036
V0_frozen512_single_medoid,Merlin UDP Flooding,1,1,wide,2.317290498815583,2.410567409327036,2.411940370948659
