subset,role,device_family,attack_family,targets,semantic_finite,semantic_missing,semantic_finite_rate
old_missing,aux_fit,,,3079,3079,0,1.0
old_missing,aux_normal_fit,,,3157,3157,0,1.0
old_missing,aux_normal_select,,,3518,3518,0,1.0
old_missing,aux_select,,,1294,1294,0,1.0
old_missing,id_calib,,,49,49,0,1.0
old_missing,ood_val,,,381,381,0,1.0
old_missing,support_train,,,139,139,0,1.0
old_missing,support_val,,,23,23,0,1.0
old_missing,,iotsim-building-monitor,,825,825,0,1.0
old_missing,,iotsim-combined-cycle,,2661,2661,0,1.0
old_missing,,iotsim-combined-cycle-tls,,409,409,0,1.0
old_missing,,iotsim-domotic-monitor,,908,908,0,1.0
old_missing,,ton-iot-external,,6675,6675,0,1.0
old_missing,,,File Download,3,3,0,1.0
old_missing,,,Merlin C&C Communication,32,32,0,1.0
old_missing,,,Merlin ICMP Flooding,51,51,0,1.0
old_missing,,,Mirai GRE Flooding,70,70,0,1.0
old_missing,,,Mirai UDP Flooding,6,6,0,1.0
