subset,attack_family,targets,semantic_finite,semantic_missing,semantic_finite_rate
full,File Download,18,18,0,1.0
full,Ingress Tool Transfer,21,21,0,1.0
full,Merlin C&C Communication,35,35,0,1.0
full,Merlin ICMP Flooding,51,51,0,1.0
full,Merlin TCP Flooding,71,71,0,1.0
full,Merlin UDP Flooding,36,36,0,1.0
full,Mirai C&C Communication,11,11,0,1.0
full,Mirai GRE Flooding,70,70,0,1.0
full,Mirai TCP Flooding,70,70,0,1.0
full,Mirai UDP Flooding,71,71,0,1.0
full,ToN-credential_bruteforce,2000,2000,0,1.0
full,ToN-reconnaissance_scan,2000,2000,0,1.0
full,benign,21013,21013,0,1.0
