object_label,seed,epoch,train_loss,val_loss
ft_transformer_ae,101,1.0,0.7380149173736572,0.6938345503807067
ft_transformer_ae,101,2.0,0.6708433178067207,0.6351325643062592
ft_transformer_ae,101,3.0,0.6363207238912583,0.5684154763817787
ft_transformer_ae,101,4.0,0.5924603798240423,0.5253542086482048
ft_transformer_ae,101,5.0,0.5486639040708542,0.44158861696720125
ft_transformer_ae,101,6.0,0.4935374629497528,0.38589416414499284
ft_transformer_ae,101,7.0,0.4414653816819191,0.3421932081878185
ft_transformer_ae,101,8.0,0.39212531670928,0.30116203397512437
ft_transformer_ae,101,9.0,0.32645659312605857,0.2789079809188843
ft_transformer_ae,101,10.0,0.3237318107485771,0.2972833725810051
ft_transformer_ae,101,11.0,0.31892423808574677,0.3097966656088829
ft_transformer_ae,101,12.0,0.30966194078326226,0.27745547115802766
