seed,left_role,right_role,mean_abs_feature_delta,max_abs_feature_delta,max_abs_feature_auc
42,medium_support_train,medium_pseudo_query_dev,192.80215454101562,8393.4287109375,0.9038095238095238
42,medium_support_train,medium_attack_eval_report_only,95.77919006347656,1230.57861328125,0.9073155555555555
42,heavy_support_train,heavy_pseudo_query_dev,5998.697265625,56055.453125,1.0
42,heavy_support_train,dev_heavy_query_report_only,5024.794921875,59595.0234375,0.9832135416666667
42,medium_pseudo_query_dev,medium_attack_eval_report_only,267.2701721191406,9624.0068359375,0.9343730158730159
42,heavy_pseudo_query_dev,dev_heavy_query_report_only,9822.09375,107241.0234375,0.8867265625
43,medium_support_train,medium_pseudo_query_dev,98.2820053100586,3626.68603515625,0.9706851119894598
43,medium_support_train,medium_attack_eval_report_only,191.85604858398438,5381.22509765625,0.9217246376811594
43,heavy_support_train,heavy_pseudo_query_dev,5675.75048828125,47753.21875,1.0
43,heavy_support_train,dev_heavy_query_report_only,11434.1591796875,118971.4921875,0.8665
43,medium_pseudo_query_dev,medium_attack_eval_report_only,108.6961441040039,1754.539306640625,0.922020202020202
43,heavy_pseudo_query_dev,dev_heavy_query_report_only,7196.619140625,88504.2109375,0.9790285714285714
44,medium_support_train,medium_pseudo_query_dev,104.84523010253906,3621.77099609375,0.8058823529411765
44,medium_support_train,medium_attack_eval_report_only,155.348388671875,4158.20947265625,0.9242349206349206
44,heavy_support_train,heavy_pseudo_query_dev,4605.07177734375,48335.671875,1.0
44,heavy_support_train,dev_heavy_query_report_only,6651.90576171875,71447.640625,0.9814635416666666
44,medium_pseudo_query_dev,medium_attack_eval_report_only,85.86865997314453,1388.4908447265625,0.893640522875817
44,heavy_pseudo_query_dev,dev_heavy_query_report_only,9907.607421875,109722.0390625,0.8822258064516129
45,medium_support_train,medium_pseudo_query_dev,192.97479248046875,8294.501953125,0.8985714285714286
45,medium_support_train,medium_attack_eval_report_only,102.2193374633789,1329.50537109375,0.9167288888888889
45,heavy_support_train,heavy_pseudo_query_dev,4863.63671875,33499.8125,1.0
45,heavy_support_train,dev_heavy_query_report_only,10010.2021484375,117128.4921875,0.8610326086956521
45,medium_pseudo_query_dev,medium_attack_eval_report_only,267.2701721191406,9624.0068359375,0.9343730158730159
45,heavy_pseudo_query_dev,dev_heavy_query_report_only,7842.20849609375,96136.5703125,0.9776742424242424
46,medium_support_train,medium_pseudo_query_dev,92.3914566040039,3136.87353515625,0.9692028985507246
46,medium_support_train,medium_attack_eval_report_only,183.75852966308594,4891.41259765625,0.915816425120773
46,heavy_support_train,heavy_pseudo_query_dev,3252.875732421875,24097.765625,1.0
46,heavy_support_train,dev_heavy_query_report_only,7673.3984375,91426.2265625,0.975797619047619
46,medium_pseudo_query_dev,medium_attack_eval_report_only,108.6961441040039,1754.539306640625,0.922020202020202
46,heavy_pseudo_query_dev,dev_heavy_query_report_only,9337.5322265625,102301.5546875,0.84695
