seed,role,threshold,detection_or_alarm,score_mean,score_q50,score_q90,score_q95,score_min,score_max
42,medium_support_val,0.0,1.0,0.8025159458505651,0.886824804699322,0.9528779306017439,0.9535880436490414,0.0019594199944934186,0.9545936047413756
42,medium_pseudo_query_dev,0.0,0.7142857142857143,0.5730376356169051,0.8486136914238418,0.9535880436490414,0.9542416583590586,-0.012980598704806013,0.9545936047413756
42,medium_attack_eval_report_only,0.0,0.9497777777777778,0.610033038018666,0.831019657932076,0.9399815046450057,0.9405415619026114,-0.012980598704806013,0.9545936047413756
42,heavy_support_val,0.0,1.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712
42,heavy_pseudo_query_dev,0.0,1.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712
42,dev_heavy_query_report_only,0.0,0.9995,0.9094774768456201,0.9395191281614712,0.9395191281614712,0.9395191281614712,-0.009509934802428151,0.9399815046450057
43,medium_support_val,0.0,1.0,0.6270774503193622,0.7240918157473923,0.7972848828580847,0.7972848828580847,0.0674886732160346,0.7972848828580847
43,medium_pseudo_query_dev,0.0,0.9696969696969697,0.5354303855864704,0.5144861745246068,0.7972848828580847,0.7972848828580847,-0.004234716531844611,0.7972848828580847
43,medium_attack_eval_report_only,0.0,0.9715555555555555,0.5340530605025693,0.6112775793724003,0.7972848828580847,0.7972848828580847,-0.004234716531844611,0.8162057837715062
43,heavy_support_val,0.0,1.0,0.9472107180775263,0.9472107180775263,0.9472107180775263,0.9472107180775263,0.9472107180775263,0.9472107180775263
43,heavy_pseudo_query_dev,0.0,1.0,0.9286319372252508,0.9472107180775263,0.9472107180775263,0.9472107180775263,0.7630621824167253,0.9472107180775263
43,dev_heavy_query_report_only,0.0,0.9995,0.8811262721627834,0.9472107180775263,0.9472107180775263,0.9472107180775263,-0.004234716531844611,0.9472107180775263
44,medium_support_val,0.0,0.9166666666666666,0.6159385393219865,0.6928492059453059,0.7850918256846049,0.7850918256846049,-0.012980598704806013,0.7850918256846049
44,medium_pseudo_query_dev,0.0,0.9117647058823529,0.6011870394276869,0.7486756589400811,0.7780720838070967,0.7780720838070967,-0.012980598704806013,0.7780720838070967
44,medium_attack_eval_report_only,0.0,0.9915555555555555,0.6019801044296512,0.658008659142006,0.711338342805319,0.730243919218055,-0.012980598704806013,0.7780720838070967
44,heavy_support_val,0.0,1.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712
44,heavy_pseudo_query_dev,0.0,1.0,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712,0.9395191281614712
44,dev_heavy_query_report_only,0.0,0.9995,0.8834158364400169,0.9395191281614712,0.9395191281614712,0.9395191281614712,-0.012980598704806013,0.9395191281614712
45,medium_support_val,0.0,1.0,0.7751064622673647,0.8178004036412625,0.8578805532283094,0.8578805532283094,0.34953860883133964,0.8578805532283094
45,medium_pseudo_query_dev,0.0,0.6428571428571429,0.4893903917441666,0.7171780672979797,0.8382328882420605,0.8414722916256716,-0.007103259719683546,0.8518164263569239
45,medium_attack_eval_report_only,0.0,0.9373333333333334,0.5523016203096661,0.740962357158661,0.819857804794744,0.8397137837956401,-0.007103259719683546,0.8578805532283094
45,heavy_support_val,0.0,1.0,0.9401800677621831,0.9430610497326193,0.9430610497326193,0.9430610497326193,0.9200131939691301,0.9430610497326193
45,heavy_pseudo_query_dev,0.0,1.0,0.9406773552151715,0.9430610497326193,0.9430610497326193,0.9430610497326193,0.8874469864203335,0.9430610497326193
45,dev_heavy_query_report_only,0.0,0.9995,0.8962074814706368,0.9430610497326193,0.9430610497326193,0.9430610497326193,-0.007103259719683546,0.9430610497326193
46,medium_support_val,0.0,0.9375,0.6283343058211688,0.8198754046155123,0.8692424393544201,0.8692424393544201,-0.004282499602904748,0.8692424393544201
46,medium_pseudo_query_dev,0.0,0.9393939393939394,0.5854581596234577,0.5708332961964346,0.8692424393544201,0.8692424393544201,-0.004282499602904748,0.8692424393544201
46,medium_attack_eval_report_only,0.0,0.992,0.6616231190843093,0.7299589677949739,0.8277095230621538,0.8692424393544201,-0.004282499602904748,0.8692424393544201
46,heavy_support_val,0.0,1.0,0.9467315461713096,0.9467315461713096,0.9467315461713096,0.9467315461713096,0.9467315461713096,0.9467315461713096
46,heavy_pseudo_query_dev,0.0,1.0,0.9171654977415122,0.9467315461713096,0.9467315461713096,0.9467315461713096,0.09021063307527971,0.9467315461713096
46,dev_heavy_query_report_only,0.0,0.9995,0.907723597414813,0.9467315461713096,0.9467315461713096,0.9467315461713096,-0.004282499602904748,0.9467315461713096
