strategy,pair_name,family,feature_count,max_feature_auc_abs_report_only,mean_top5_auc_abs_report_only,median_auc_abs_report_only,max_ks_stat,mean_top5_ks_stat,report_only_oracle,used_for_protocol_selection
reset_at_split_boundary,id_vs_ood,MI_dir,15,0.7057482777777778,0.6179038555555556,0.5393852222222223,0.5443333333333333,0.3628,False,False
reset_at_split_boundary,id_vs_ood,H,15,0.7059586666666666,0.6176882333333333,0.539266388888889,0.5443333333333333,0.3696666666666667,False,False
reset_at_split_boundary,id_vs_ood,HH,35,0.8060172222222222,0.7146364999999999,0.5706825,0.6303333333333333,0.5311999999999999,False,False
reset_at_split_boundary,id_vs_ood,HH_jit,15,0.7139317777777776,0.6986288333333333,0.6534106111111112,0.6053333333333333,0.5640666666666666,False,False
reset_at_split_boundary,id_vs_ood,HpHp,35,0.7120531666666667,0.6709887222222222,0.5722905,0.5303333333333333,0.4684666666666667,False,False
reset_at_split_boundary,ood_vs_attack_eval,MI_dir,15,0.9921512592592592,0.9559711407407405,0.9002091851851852,0.9512222222222222,0.8441777777777778,True,False
reset_at_split_boundary,ood_vs_attack_eval,H,15,0.9921512592592591,0.9561093777777778,0.9013781481481482,0.9512222222222222,0.8445777777777778,True,False
reset_at_split_boundary,ood_vs_attack_eval,HH,35,0.9921512592592592,0.9628126962962963,0.7805249629629629,0.9512222222222222,0.8441777777777778,True,False
reset_at_split_boundary,ood_vs_attack_eval,HH_jit,15,0.8654338518518518,0.8493026962962963,0.6183457037037037,0.6705555555555556,0.6028,True,False
reset_at_split_boundary,ood_vs_attack_eval,HpHp,35,0.9830782962962964,0.9626495851851852,0.6411514814814815,0.9448888888888889,0.8312888888888889,True,False
reset_at_split_boundary,attack_support_vs_attack_eval,MI_dir,15,0.6568144197530864,0.600055150617284,0.5500344691358026,0.28444444444444444,0.1990222222222222,True,False
reset_at_split_boundary,attack_support_vs_attack_eval,H,15,0.6568144197530864,0.6046059456790125,0.5443972345679012,0.3088888888888889,0.21626666666666666,True,False
reset_at_split_boundary,attack_support_vs_attack_eval,HH,35,0.6568144197530864,0.617294637037037,0.5411093333333333,0.31066666666666665,0.2614222222222222,True,False
reset_at_split_boundary,attack_support_vs_attack_eval,HH_jit,15,0.6182572839506173,0.6116705185185185,0.5759460740740742,0.20933333333333334,0.1991111111111111,True,False
reset_at_split_boundary,attack_support_vs_attack_eval,HpHp,35,0.6591199999999999,0.6069090962962963,0.5395205925925926,0.28444444444444444,0.21751111111111113,True,False
reset_at_split_boundary,support_val_vs_attack_eval,MI_dir,15,0.8616964769647696,0.8218601626016259,0.7665257452574525,0.7169322493224932,0.6295436314363144,True,False
reset_at_split_boundary,support_val_vs_attack_eval,H,15,0.861691056910569,0.8287002710027099,0.7690189701897019,0.7169322493224932,0.6300769647696477,True,False
reset_at_split_boundary,support_val_vs_attack_eval,HH,35,0.900509485094851,0.869658536585366,0.7745474254742548,0.7807154471544715,0.6971360433604336,True,False
reset_at_split_boundary,support_val_vs_attack_eval,HH_jit,15,0.7111761517615176,0.688379403794038,0.6344281842818429,0.47392953929539294,0.42995338753387535,True,False
reset_at_split_boundary,support_val_vs_attack_eval,HpHp,35,0.842769647696477,0.8330688346883468,0.687490514905149,0.6452682926829268,0.6368585365853658,True,False
