candidate,method,seed,seed_group,roc_auc,pr_auc,attack_high_detection,final_ood_high_alarm,feasible_final_1pct,threshold,feature_dim,support_size,train_time,inference_time
V1,M0_V1_original100_kcenter32_fixed_guard,42,main_42_46,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,0.9897541999962414,0.0193740999966394
V1,M0_V1_original100_kcenter32_fixed_guard,43,main_42_46,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.003677799992147,0.0174131999956443
V1,M0_V1_original100_kcenter32_fixed_guard,44,main_42_46,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.0425982999877306,0.0194561999960569
V1,M0_V1_original100_kcenter32_fixed_guard,45,main_42_46,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.0807630999916,0.0184434999973746
V1,M0_V1_original100_kcenter32_fixed_guard,46,main_42_46,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.026553800009424,0.017181300005177
V1,M0_V1_original100_kcenter32_fixed_guard,47,heldout_47_51,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.069260899996152,0.0176484999974491
V1,M0_V1_original100_kcenter32_fixed_guard,48,heldout_47_51,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.0825851999979932,0.0184076000005006
V1,M0_V1_original100_kcenter32_fixed_guard,49,heldout_47_51,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.0364958999998637,0.0190090999967651
V1,M0_V1_original100_kcenter32_fixed_guard,50,heldout_47_51,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.0380749000032663,0.0209075000020675
V1,M0_V1_original100_kcenter32_fixed_guard,51,heldout_47_51,0.9925373090909092,0.969507629361175,0.9294545454545454,0.0036,True,-2.646479427395543,100,32,1.0831113000022017,0.0191130000021075
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,42,main_42_46,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1409295000048587,0.0068717999965883
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,43,main_42_46,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1366818000096827,0.0090901000075973
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,44,main_42_46,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1820453999971505,0.0066835999896284
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,45,main_42_46,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1589505000010831,0.0074556000035954
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,46,main_42_46,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.2273084000044036,0.0075931999890599
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,47,heldout_47_51,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.176243499998236,0.0054418000072473
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,48,heldout_47_51,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1352537000057054,0.0065674999932525
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,49,heldout_47_51,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1447347999928752,0.0062799000006634
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,50,heldout_47_51,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1792928999930154,0.0064219999912893
V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,51,heldout_47_51,0.9546770181818182,0.9482192541507888,0.9243636363636364,0.0156,False,-3.426404387097379,32,32,0.1494456000073114,0.0070496999978786
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,42,main_42_46,0.9825818909090908,0.9706019839871668,0.9476363636363636,0.0037,True,-4.41641482616712,64,32,0.3829521000006934,0.012192900001537
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,43,main_42_46,0.9825818909090908,0.9706019839871668,0.9476363636363636,0.0037,True,-4.41641482616712,64,32,0.432102799997665,0.0128603000048315
V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,44,main_42_46,0.9825818909090908,0.9706019839871668,0.9476363636363636,0.0037,True,-4.41641482616712,64,32,0.3920287000073585,0.0117466999945463
