holdout,candidate,method,seed_group,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate,roc_auc_mean,pr_auc_mean,feature_dim,support_size
chrono_late_train_early_eval,V1,M0_V1_original100_kcenter32_fixed_guard,heldout_47_51,0.6798015178050204,0.0018,1.0,0.705273963806188,0.7560938824515404,100,32
chrono_late_train_early_eval,V1,M0_V1_original100_kcenter32_fixed_guard,main_42_46,0.6798015178050204,0.0018,1.0,0.705273963806188,0.7560938824515404,100,32
chrono_late_train_early_eval,V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,heldout_47_51,0.7314652656158785,0.0097,1.0,0.9806204028021016,0.96126525742852,32,32
chrono_late_train_early_eval,V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,main_42_46,0.7314652656158785,0.0097,1.0,0.9806204028021016,0.96126525742852,32,32
chrono_late_train_early_eval,V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,heldout_47_51,0.9500875656742556,0.0089,1.0,0.9932267950963224,0.9883133894403848,64,32
chrono_late_train_early_eval,V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,main_42_46,0.9500875656742556,0.0089,1.0,0.9932267950963224,0.9883133894403848,64,32
holdout_bin_2,V1,M0_V1_original100_kcenter32_fixed_guard,heldout_47_51,0.3264094955489614,0.0011,1.0,0.3912014094955489,0.4045698979159527,100,32
holdout_bin_2,V1,M0_V1_original100_kcenter32_fixed_guard,main_42_46,0.3264094955489614,0.0011,1.0,0.3912014094955489,0.4045698979159527,100,32
holdout_bin_2,V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,heldout_47_51,0.8093471810089021,0.0068,1.0,0.9406764094955488,0.8874848250315692,32,32
holdout_bin_2,V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,main_42_46,0.8093471810089021,0.0068,1.0,0.9406764094955488,0.8874848250315692,32,32
holdout_bin_2,V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,heldout_47_51,0.9740356083086054,0.0057,1.0,0.9959862759643916,0.9865837153127116,64,32
holdout_bin_2,V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,main_42_46,0.9740356083086054,0.0057,1.0,0.9959862759643916,0.9865837153127116,64,32
primary_lowood,V1,M0_V1_original100_kcenter32_fixed_guard,heldout_47_51,0.9294545454545456,0.0036,1.0,0.9925373090909092,0.9695076293611752,100,32
primary_lowood,V1,M0_V1_original100_kcenter32_fixed_guard,main_42_46,0.9294545454545456,0.0036,1.0,0.9925373090909092,0.9695076293611752,100,32
primary_lowood,V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,heldout_47_51,0.9243636363636364,0.0156,0.0,0.9546770181818184,0.9482192541507888,32,32
primary_lowood,V2_top32,M1_V2_source_rich_top32_kcenter32_fixed_guard,main_42_46,0.9243636363636364,0.0156,0.0,0.9546770181818184,0.9482192541507888,32,32
primary_lowood,V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,heldout_47_51,0.9476363636363636,0.0037,1.0,0.9825818909090908,0.9706019839871668,64,32
primary_lowood,V2_top64,M8_source_rich_top64_kcenter32_fixed_guard,main_42_46,0.9476363636363636,0.0037,1.0,0.9825818909090908,0.9706019839871668,64,32
